회사명,사업자등록번호,회계년도,y_true,y_prob,y_pred,correct,error_type
고스트스튜디오(주),0008120029,2018,0,0.0006,0,1,TN
고스트스튜디오(주),0008120029,2019,0,0.0015,0,1,TN
고스트스튜디오(주),0008120029,2020,0,0.0004,0,1,TN
고스트스튜디오(주),0008120029,2021,0,0.0003,0,1,TN
고스트스튜디오(주),0008120029,2022,0,0.0009,0,1,TN
고스트스튜디오(주),0008120029,2023,0,0.0009,0,1,TN
고스트스튜디오(주),0008120029,2024,0,0.0013,0,1,TN
주식회사와이비엠,1018114655,2014,0,0.0006,0,1,TN
주식회사와이비엠,1018114655,2015,0,0.0003,0,1,TN
주식회사와이비엠,1018114655,2016,0,0.0013,0,1,TN
주식회사와이비엠,1018114655,2017,0,0.0015,0,1,TN
주식회사와이비엠,1018114655,2018,0,0.0007,0,1,TN
주식회사와이비엠,1018114655,2019,0,0.0008,0,1,TN
주식회사와이비엠,1018114655,2020,0,0.0723,1,0,FP
주식회사와이비엠,1018114655,2021,0,0.0211,1,0,FP
주식회사와이비엠,1018114655,2022,0,0.0102,1,0,FP
주식회사와이비엠,1018114655,2023,0,0.0693,1,0,FP
주식회사와이비엠,1018114655,2024,0,0.1162,1,0,FP
(주)연흥개발,1018122626,2014,0,0.0455,1,0,FP
(주)연흥개발,1018122626,2015,1,0.9763,1,1,TP
주식회사아이비케이시스템,1018126317,2014,0,0.0005,0,1,TN
주식회사아이비케이시스템,1018126317,2015,0,0.0002,0,1,TN
주식회사아이비케이시스템,1018126317,2016,0,1e-04,0,1,TN
주식회사아이비케이시스템,1018126317,2017,0,0.0002,0,1,TN
주식회사아이비케이시스템,1018126317,2018,0,0.0005,0,1,TN
주식회사아이비케이시스템,1018126317,2019,0,0.001,0,1,TN
주식회사아이비케이시스템,1018126317,2020,0,0.0007,0,1,TN
주식회사아이비케이시스템,1018126317,2021,0,0.0007,0,1,TN
주식회사아이비케이시스템,1018126317,2022,0,0.0015,0,1,TN
주식회사아이비케이시스템,1018126317,2023,0,0.0007,0,1,TN
주식회사아이비케이시스템,1018126317,2024,0,0.0025,0,1,TN
주식회사김영사,1018126734,2014,0,0.0126,1,0,FP
주식회사김영사,1018126734,2015,0,0.0002,0,1,TN
주식회사김영사,1018126734,2016,0,0.0002,0,1,TN
주식회사김영사,1018126734,2017,0,0.0005,0,1,TN
주식회사김영사,1018126734,2018,0,0.0003,0,1,TN
주식회사김영사,1018126734,2019,0,0.0011,0,1,TN
주식회사김영사,1018126734,2020,0,0.0005,0,1,TN
주식회사김영사,1018126734,2021,0,0.1017,1,0,FP
주식회사김영사,1018126734,2022,0,0.0669,1,0,FP
주식회사김영사,1018126734,2023,1,0.2928,1,1,TP
(주)교원프라퍼티,1018139767,2014,0,0.0002,0,1,TN
(주)교원프라퍼티,1018139767,2015,0,0.0004,0,1,TN
(주)교원프라퍼티,1018139767,2016,0,0.0003,0,1,TN
(주)교원프라퍼티,1018139767,2017,0,0.0003,0,1,TN
(주)교원프라퍼티,1018139767,2018,0,0.0003,0,1,TN
(주)교원프라퍼티,1018139767,2019,0,0.0002,0,1,TN
(주)교원프라퍼티,1018139767,2020,0,0.3096,1,0,FP
(주)교원프라퍼티,1018139767,2021,0,0.2755,1,0,FP
(주)교원프라퍼티,1018139767,2022,1,0.128,1,1,TP
(주)아이퀘스트,1018142433,2015,0,0.0003,0,1,TN
(주)아이퀘스트,1018142433,2016,0,0.0008,0,1,TN
(주)아이퀘스트,1018142433,2017,0,0.0005,0,1,TN
(주)아이퀘스트,1018142433,2018,0,0.0002,0,1,TN
(주)아이퀘스트,1018142433,2019,0,0.0011,0,1,TN
(주)아이퀘스트,1018142433,2020,0,0.0005,0,1,TN
(주)아이퀘스트,1018142433,2021,0,0.0007,0,1,TN
(주)아이퀘스트,1018142433,2022,0,0.0009,0,1,TN
(주)아이퀘스트,1018142433,2023,0,0.0003,0,1,TN
(주)아이퀘스트,1018142433,2024,0,0.0007,0,1,TN
(주)엣데이터,1018145139,2014,0,1e-04,0,1,TN
(주)엣데이터,1018145139,2015,0,0.0007,0,1,TN
(주)엣데이터,1018145139,2016,0,0.0009,0,1,TN
(주)엣데이터,1018145139,2017,0,0.001,0,1,TN
(주)엣데이터,1018145139,2018,0,0.0215,1,0,FP
(주)엣데이터,1018145139,2019,0,0.0948,1,0,FP
주식회사마크애니,1018147345,2014,0,0.0005,0,1,TN
주식회사마크애니,1018147345,2015,0,0.0167,1,0,FP
주식회사마크애니,1018147345,2016,0,0.0002,0,1,TN
주식회사마크애니,1018147345,2017,0,0.0006,0,1,TN
주식회사마크애니,1018147345,2018,0,0.0014,0,1,TN
주식회사마크애니,1018147345,2019,0,0.0014,0,1,TN
주식회사마크애니,1018147345,2020,0,0.0005,0,1,TN
주식회사마크애니,1018147345,2021,0,0.0004,0,1,TN
주식회사마크애니,1018147345,2022,0,0.0011,0,1,TN
주식회사마크애니,1018147345,2023,0,0.0005,0,1,TN
주식회사마크애니,1018147345,2024,0,0.0004,0,1,TN
버라이존코리아주식회사,1018147985,2014,0,0.0005,0,1,TN
버라이존코리아주식회사,1018147985,2015,0,0.001,0,1,TN
버라이존코리아주식회사,1018147985,2016,0,0.0005,0,1,TN
버라이존코리아주식회사,1018147985,2017,0,0.0013,0,1,TN
버라이존코리아주식회사,1018147985,2018,0,0.0157,1,0,FP
버라이존코리아주식회사,1018147985,2019,0,0.0023,0,1,TN
버라이존코리아주식회사,1018147985,2020,0,0.0007,0,1,TN
버라이존코리아주식회사,1018147985,2021,0,0.0014,0,1,TN
버라이존코리아주식회사,1018147985,2022,0,0.0231,1,0,FP
버라이존코리아주식회사,1018147985,2023,0,0.1929,1,0,FP
버라이존코리아주식회사,1018147985,2024,1,0.0445,1,1,TP
아이파트너즈,1018153172,2018,0,0.0011,0,1,TN
아이파트너즈,1018153172,2019,0,0.0007,0,1,TN
아이파트너즈,1018153172,2020,0,0.0946,1,0,FP
아이파트너즈,1018153172,2021,0,0.0015,0,1,TN
아이파트너즈,1018153172,2022,0,0.0002,0,1,TN
아이파트너즈,1018153172,2023,0,0.0003,0,1,TN
아이파트너즈,1018153172,2024,0,0.0002,0,1,TN
(주)디지캡,1018157784,2014,0,0.0004,0,1,TN
(주)디지캡,1018157784,2015,0,0.0002,0,1,TN
(주)디지캡,1018157784,2016,0,1e-04,0,1,TN
(주)디지캡,1018157784,2017,0,0.0006,0,1,TN
(주)디지캡,1018157784,2018,0,0.0029,0,1,TN
(주)디지캡,1018157784,2019,0,0.0733,1,0,FP
(주)디지캡,1018157784,2020,0,0.0024,0,1,TN
(주)디지캡,1018157784,2021,0,0.1487,1,0,FP
(주)디지캡,1018157784,2022,0,0.0173,1,0,FP
(주)디지캡,1018157784,2023,0,0.0562,1,0,FP
(주)디지캡,1018157784,2024,0,0.7302,1,0,FP
주식회사계림북스,1018158309,2014,0,0.3745,1,0,FP
주식회사계림북스,1018158309,2015,0,0.1441,1,0,FP
주식회사계림북스,1018158309,2016,0,0.0149,1,0,FP
주식회사계림북스,1018158309,2017,0,0.0393,1,0,FP
주식회사계림북스,1018158309,2018,0,0.0012,0,1,TN
주식회사계림북스,1018158309,2019,0,0.0035,0,1,TN
(주)연합인포맥스,1018158798,2014,0,1e-04,0,1,TN
(주)연합인포맥스,1018158798,2015,0,0.0002,0,1,TN
(주)연합인포맥스,1018158798,2016,0,0.0003,0,1,TN
(주)연합인포맥스,1018158798,2017,0,0.0002,0,1,TN
(주)연합인포맥스,1018158798,2018,0,0.0003,0,1,TN
(주)연합인포맥스,1018158798,2019,0,0.0008,0,1,TN
(주)연합인포맥스,1018158798,2020,0,0.0002,0,1,TN
(주)연합인포맥스,1018158798,2021,0,0.0006,0,1,TN
(주)연합인포맥스,1018158798,2022,0,0.0023,0,1,TN
(주)연합인포맥스,1018158798,2023,0,0.0002,0,1,TN
(주)연합인포맥스,1018158798,2024,0,0.0003,0,1,TN
(주)케이아이엔엑스,1018159273,2014,0,0.0002,0,1,TN
(주)케이아이엔엑스,1018159273,2015,0,0.0003,0,1,TN
(주)케이아이엔엑스,1018159273,2016,0,0.0002,0,1,TN
(주)케이아이엔엑스,1018159273,2017,0,0.0002,0,1,TN
(주)케이아이엔엑스,1018159273,2018,0,0.0005,0,1,TN
(주)케이아이엔엑스,1018159273,2019,0,0.0016,0,1,TN
(주)케이아이엔엑스,1018159273,2020,0,0.0011,0,1,TN
(주)케이아이엔엑스,1018159273,2021,0,0.0006,0,1,TN
(주)케이아이엔엑스,1018159273,2022,0,0.0013,0,1,TN
(주)케이아이엔엑스,1018159273,2023,0,0.001,0,1,TN
(주)케이아이엔엑스,1018159273,2024,0,0.0019,0,1,TN
넷마블몬스터주식회사,1018161463,2014,0,0.0002,0,1,TN
넷마블몬스터주식회사,1018161463,2015,0,1e-04,0,1,TN
넷마블몬스터주식회사,1018161463,2016,0,0.0002,0,1,TN
넷마블몬스터주식회사,1018161463,2017,0,0.0003,0,1,TN
넷마블몬스터주식회사,1018161463,2018,0,0.0002,0,1,TN
넷마블몬스터주식회사,1018161463,2019,0,0.0109,1,0,FP
넷마블몬스터주식회사,1018161463,2020,0,0.0098,0,1,TN
넷마블몬스터주식회사,1018161463,2021,1,0.964,1,1,TP
(주)동아사이언스,1018162201,2021,0,0.0009,0,1,TN
(주)동아사이언스,1018162201,2022,0,0.0549,1,0,FP
(주)동아사이언스,1018162201,2023,0,0.0995,1,0,FP
(주)동아사이언스,1018162201,2024,0,0.1813,1,0,FP
(주)케이엑스이노베이션,1018163762,2014,0,0.0011,0,1,TN
(주)케이엑스이노베이션,1018163762,2015,0,0.0015,0,1,TN
(주)케이엑스이노베이션,1018163762,2016,0,0.0014,0,1,TN
(주)케이엑스이노베이션,1018163762,2017,0,0.0025,0,1,TN
(주)케이엑스이노베이션,1018163762,2018,0,0.0005,0,1,TN
(주)케이엑스이노베이션,1018163762,2019,0,0.0025,0,1,TN
(주)케이엑스이노베이션,1018163762,2020,0,0.0039,0,1,TN
(주)케이엑스이노베이션,1018163762,2021,0,0.0007,0,1,TN
(주)케이엑스이노베이션,1018163762,2022,0,0.0044,0,1,TN
(주)케이엑스이노베이션,1018163762,2023,0,0.0011,0,1,TN
(주)케이엑스이노베이션,1018163762,2024,0,0.0021,0,1,TN
(주)케이티아이에스,1018171660,2014,0,0.0002,0,1,TN
(주)케이티아이에스,1018171660,2015,0,0.0003,0,1,TN
