회사명,사업자등록번호,회계년도,y_true,y_prob,y_pred,correct,error_type
글로벌에스엠테크리미티드,0008120006,2014,0,0.0057,0,1,TN
글로벌에스엠테크리미티드,0008120006,2015,0,0.0347,0,1,TN
글로벌에스엠테크리미티드,0008120006,2016,0,0.0041,0,1,TN
글로벌에스엠테크리미티드,0008120006,2017,0,0.0818,0,1,TN
글로벌에스엠테크리미티드,0008120006,2018,0,0.125,0,1,TN
글로벌에스엠테크리미티드,0008120006,2019,0,0.002,0,1,TN
글로벌에스엠테크리미티드,0008120006,2020,0,0.002,0,1,TN
글로벌에스엠테크리미티드,0008120006,2021,0,0.0029,0,1,TN
글로벌에스엠테크리미티드,0008120006,2022,0,0.0016,0,1,TN
글로벌에스엠테크리미티드,0008120006,2023,0,0.0089,0,1,TN
글로벌에스엠테크리미티드,0008120006,2024,0,0.0093,0,1,TN
딥커머스리미티드,0008120010,2014,0,0.001,0,1,TN
딥커머스리미티드,0008120010,2015,0,0.0011,0,1,TN
딥커머스리미티드,0008120010,2016,0,0.0041,0,1,TN
딥커머스리미티드,0008120010,2017,0,0.0093,0,1,TN
딥커머스리미티드,0008120010,2018,0,0.0096,0,1,TN
딥커머스리미티드,0008120010,2019,0,0.019,0,1,TN
딥커머스리미티드,0008120010,2020,0,0.1461,0,1,TN
딥커머스리미티드,0008120010,2021,0,0.0085,0,1,TN
딥커머스리미티드,0008120010,2022,0,0.0137,0,1,TN
딥커머스리미티드,0008120010,2023,0,0.003,0,1,TN
딥커머스리미티드,0008120010,2024,0,0.0024,0,1,TN
차이나크리스탈신소재홀딩스,0008120016,2014,0,0.0026,0,1,TN
차이나크리스탈신소재홀딩스,0008120016,2015,0,0.0007,0,1,TN
차이나크리스탈신소재홀딩스,0008120016,2016,0,0.0006,0,1,TN
차이나크리스탈신소재홀딩스,0008120016,2017,0,0.001,0,1,TN
차이나크리스탈신소재홀딩스,0008120016,2018,0,0.0008,0,1,TN
차이나크리스탈신소재홀딩스,0008120016,2019,0,0.001,0,1,TN
차이나크리스탈신소재홀딩스,0008120016,2020,0,0.0008,0,1,TN
차이나크리스탈신소재홀딩스,0008120016,2021,0,0.001,0,1,TN
차이나크리스탈신소재홀딩스,0008120016,2022,0,0.0008,0,1,TN
차이나크리스탈신소재홀딩스,0008120016,2023,0,0.0008,0,1,TN
차이나크리스탈신소재홀딩스,0008120016,2024,0,0.0018,0,1,TN
오가닉티코스메틱스홀딩스컴퍼니리미티드,0008120022,2015,0,0.0036,0,1,TN
오가닉티코스메틱스홀딩스컴퍼니리미티드,0008120022,2016,0,0.0008,0,1,TN
오가닉티코스메틱스홀딩스컴퍼니리미티드,0008120022,2017,0,0.0006,0,1,TN
오가닉티코스메틱스홀딩스컴퍼니리미티드,0008120022,2018,0,0.0006,0,1,TN
오가닉티코스메틱스홀딩스컴퍼니리미티드,0008120022,2019,0,0.0017,0,1,TN
오가닉티코스메틱스홀딩스컴퍼니리미티드,0008120022,2020,0,0.0026,0,1,TN
오가닉티코스메틱스홀딩스컴퍼니리미티드,0008120022,2021,0,0.0039,0,1,TN
오가닉티코스메틱스홀딩스컴퍼니리미티드,0008120022,2022,0,0.3551,0,1,TN
오가닉티코스메틱스홀딩스컴퍼니리미티드,0008120022,2023,0,0.4994,0,1,TN
오가닉티코스메틱스홀딩스컴퍼니리미티드,0008120022,2024,0,0.159,0,1,TN
윙입푸드홀딩스,0008120024,2018,0,0.0015,0,1,TN
윙입푸드홀딩스,0008120024,2019,0,0.0011,0,1,TN
윙입푸드홀딩스,0008120024,2020,0,0.0016,0,1,TN
윙입푸드홀딩스,0008120024,2021,0,0.0022,0,1,TN
윙입푸드홀딩스,0008120024,2022,0,0.0004,0,1,TN
윙입푸드홀딩스,0008120024,2023,0,0.0006,0,1,TN
윙입푸드홀딩스,0008120024,2024,0,0.0013,0,1,TN
(주)네오이뮨텍,0008120027,2019,0,0.0057,0,1,TN
(주)네오이뮨텍,0008120027,2020,0,0.4193,0,1,TN
(주)네오이뮨텍,0008120027,2021,1,0.8552,1,1,TP
(주)소마젠,0008120028,2019,0,0.0237,0,1,TN
(주)소마젠,0008120028,2020,0,0.8228,1,0,FP
(주)소마젠,0008120028,2021,1,0.8046,1,1,TP
대왕산업(주),1018100210,2014,0,0.0032,0,1,TN
대왕산업(주),1018100210,2015,0,0.0007,0,1,TN
대왕산업(주),1018100210,2016,0,0.001,0,1,TN
대왕산업(주),1018100210,2017,0,0.0007,0,1,TN
대왕산업(주),1018100210,2018,0,0.0035,0,1,TN
대왕산업(주),1018100210,2019,0,0.0067,0,1,TN
대왕산업(주),1018100210,2024,0,0.0202,0,1,TN
대일건설주식회사,1018100340,2014,0,0.0935,0,1,TN
대일건설주식회사,1018100340,2015,0,0.0647,0,1,TN
대일건설주식회사,1018100340,2016,0,0.0251,0,1,TN
대일건설주식회사,1018100340,2017,0,0.0097,0,1,TN
대일건설주식회사,1018100340,2018,0,0.0174,0,1,TN
