,FeatureSet,FeatureFile,N_Features,Method,SMOTE_Ratio,Model,Weighted_Score,Test_F1,Test_Recall,Test_Precision,Test_PR_AUC,Test_ROC_AUC,Gap_F1,Gap_Recall,Gap_Precision,Gap_PR_AUC,Gap_ROC_AUC
1,top65_dedup47,lasso_features_top65--47.csv,47,BorderlineSMOTE,0.1,LightGBM,0.4838,0.4827586206896552,0.392,0.6282051282051282,0.5211590230954329,0.9465945945945948,-0.2710965119687229,-0.2139509292972561,-0.3022699522699522,-0.2165678438332972,-0.0541357489567992
2,top50_dedup41,lasso_features_top50--41.csv,41,ClassWeight,-,XGBoost,0.4654,0.4702194357366771,0.6,0.3865979381443299,0.408576023106793,0.9427321867321868,-0.1510078338380121,-0.1648336546012708,-0.0981978882018723,-0.1081233193556823,-0.03520906804709
3,top55_dedup40,lasso_features_top55--40.csv,40,ClassWeight,-,XGBoost,0.4632,0.4720496894409938,0.608,0.3857868020304568,0.3998873887103296,0.9347059787059788,-0.1150923519715649,-0.1435548416268056,-0.0505532315097109,-0.070076150112134,-0.0221290683425132
4,top50_dedup41,lasso_features_top50--41.csv,41,BorderlineSMOTE,0.1,LightGBM,0.4631,0.4579439252336448,0.392,0.550561797752809,0.4946491957237396,0.9452972972972972,-0.1904461743552927,-0.1611626805644797,-0.1437011834126864,-0.1791899789663635,-0.0383284928335135
5,top60_dedup44,lasso_features_top60--44.csv,44,ClassWeight,-,XGBoost,0.4618,0.4701492537313433,0.504,0.4405594405594406,0.4399672764236638,0.9381294021294022,-0.1489533528246215,-0.0514837581209395,-0.1790472880773724,-0.1383733119359888,-0.0265905746955857
6,top60_dedup44,lasso_features_top60--44.csv,44,BorderlineSMOTE,0.1,LightGBM,0.4604,0.467005076142132,0.368,0.6388888888888888,0.4934015831505066,0.9422506142506142,-0.1595468573572548,-0.1125681920944289,-0.2074720068906115,-0.1842276829356476,-0.0391906267467809
7,top55_dedup40,lasso_features_top55--40.csv,40,CTGAN,0.2,LightGBM,0.4555,0.4571428571428571,0.448,0.4666666666666667,0.4575743670054172,0.9341785421785422,-0.1458256188519346,-0.1330274862568715,-0.0324516229712859,-0.0794870572366462,-0.0172474691812681
8,top55_dedup40,lasso_features_top55--40.csv,40,BorderlineSMOTE,0.1,LightGBM,0.4455,0.4653465346534653,0.376,0.6103896103896104,0.461400385777238,0.9426109746109748,-0.1944229291262013,-0.1515086742343114,-0.2122414622414622,-0.1418520518291587,-0.0370009744925763
9,top60_dedup44,lasso_features_top60--44.csv,44,ClassWeight,-,RandomForest,0.4434,0.3323262839879154,0.88,0.2048417132216015,0.3354496760160833,0.9171891891891892,-0.0658902093964912,-0.0003538706837057,-0.0462558375500797,-0.0899278758607421,-0.0046469886217826
10,top60_dedup44,lasso_features_top60--44.csv,44,BorderlineSMOTE,0.2,LightGBM,0.4411,0.4576271186440678,0.432,0.4864864864864865,0.4348133483172947,0.9393087633087636,-0.1840862387202091,-0.1697980057590252,-0.1758645209446125,-0.1311791027610184,-0.0375025638908035
