,FeatureSet,FeatureFile,N_Features,Method,SMOTE_Ratio,Model,Weighted_Score,Test_F1,Test_Recall,Test_Precision,Test_PR_AUC,Test_ROC_AUC,Gap_F1,Gap_Recall,Gap_Precision,Gap_PR_AUC,Gap_ROC_AUC
1,top55_dedup45,lasso_features_top55--43.csv,43,ClassWeight,-,LightGBM,0.4332,0.3900928792569659,0.6847826086956522,0.2727272727272727,0.3583857724667054,0.9196548017200192,-0.1425414482056771,-0.3295331670539229,-0.076108671280039,-0.1216569967466614,-0.035425287328725
2,top60_dedup49,lasso_features_top60--46.csv,46,ClassWeight,-,RandomForest,0.4009,0.3143418467583497,0.8695652173913043,0.1918465227817745,0.2653467745918057,0.906760630673674,-0.0188536236928782,0.0067960724386544,-0.0125274312857353,-0.014501466232857,-0.0173385375432144
3,top65_dedup52,lasso_features_top65--48.csv,48,ClassWeight,-,LightGBM,0.3986,0.3733333333333333,0.6086956521739131,0.2692307692307692,0.3296859582971605,0.917086717630196,-0.1531996658312448,-0.3043983533920018,-0.0900454726946401,-0.0866767464216487,-0.0361056593852032
4,top60_dedup49,lasso_features_top60--46.csv,46,ClassWeight,-,LightGBM,0.3952,0.3619047619047619,0.6195652173913043,0.2556053811659193,0.3254222438659816,0.9175943621595796,-0.139030522275856,-0.3164949647474513,-0.0752894571914098,-0.0945433368651544,-0.0361844274843499
5,top65_dedup52,lasso_features_top65--48.csv,48,ClassWeight,-,RandomForest,0.3896,0.3147410358565737,0.8586956521739131,0.1926829268292683,0.246960905632939,0.9037207357859532,-0.0204883373046418,0.0242846036743441,-0.0144811287798363,-0.0019099674358521,-0.0150558333662944
6,top55_dedup45,lasso_features_top55--43.csv,43,ClassWeight,-,RandomForest,0.3846,0.30859375,0.8586956521739131,0.1880952380952381,0.2406356763370818,0.9034639273769708,-0.0117868288917477,0.023543038972824,-0.0078421545656019,0.0194174783857832,-0.0117807341659033
7,top50_dedup43,lasso_features_top50--40.csv,40,ClassWeight,-,RandomForest,0.3731,0.3046875,0.8478260869565217,0.1857142857142857,0.2241923355368431,0.8993370759675108,-0.010661868932225,0.0235347908930473,-0.0073471895545078,0.0141996163907704,-0.0109475228951197
8,top65_dedup52,lasso_features_top65--48.csv,48,ClassWeight,-,LogisticRegression,0.3717,0.2950108459869848,0.7391304347826086,0.1842818428184282,0.2706965287320794,0.8733695652173913,-0.0730432396443784,-0.1787596264511032,-0.042784111534863,-0.0837974277722574,-0.1361537497078067
9,top60_dedup49,lasso_features_top60--46.csv,46,ClassWeight,-,LogisticRegression,0.3684,0.2959830866807611,0.7608695652173914,0.1837270341207349,0.2548607650952194,0.8706880076445294,-0.0672392356706239,-0.1897816488384108,-0.0372473967714969,-0.0622642032721922,-0.1179390522462796
10,top55_dedup45,lasso_features_top55--43.csv,43,ClassWeight,-,LogisticRegression,0.3673,0.2962962962962963,0.7391304347826086,0.1852861035422343,0.2611510816217415,0.8723244147157191,-0.0252648429978891,-0.0883809602937941,-0.0128285216912353,-0.0340261131493564,-0.0436646000792008
