,FeatureSet,FeatureFile,N_Features,Method,SMOTE_Ratio,Model,Weighted_Score,Test_F1,Test_Recall,Test_Precision,Test_PR_AUC,Test_ROC_AUC,Gap_F1,Gap_Recall,Gap_Precision,Gap_PR_AUC,Gap_ROC_AUC
1,top65_dedup44,lasso_features_top65--44.csv,44,CTGAN,0.2,RandomForest,0.3866,0.4516129032258064,0.5121951219512195,0.4038461538461538,0.2973739334540635,0.8698634503334055,-0.4387923904052936,-0.5052506775067751,-0.3205128205128205,-0.0971998825575547,0.0001406687776942
2,top55_dedup41,lasso_features_top55--41.csv,41,ClassWeight,-,RandomForest,0.3207,0.2049469964664311,0.7073170731707317,0.1198347107438016,0.235420089263789,0.9127663100990654,0.0914582984572283,0.1451310188606936,0.0621764412766192,0.0019981161374716,-0.0169536771199576
3,top65_dedup44,lasso_features_top65--44.csv,44,ClassWeight,-,RandomForest,0.3096,0.2083333333333333,0.7317073170731707,0.1214574898785425,0.2016095270765078,0.918261446074994,0.0809425648123161,0.0790741082915879,0.0568748518831592,0.0340112970823085,-0.0178580497738911
4,top50_dedup39,lasso_features_top50--39.csv,39,ClassWeight,-,RandomForest,0.3047,0.2061855670103092,0.7317073170731707,0.12,0.1930373917130833,0.9141432815269084,0.0781902176110598,0.0952778119952916,0.0544867148334915,0.0570747529134252,-0.0155115718977881
5,top65_dedup44,lasso_features_top65--44.csv,44,CTGAN,0.2,XGBoost,0.3038,0.253393665158371,0.6829268292682927,0.1555555555555555,0.1824117103768507,0.8927747249244579,-0.1807625925272984,-0.6298965262379898,0.0444444444444444,0.0466571712826083,-0.0015940021460731
6,top65_dedup44,lasso_features_top65--44.csv,44,CTGAN,0.2,LightGBM,0.3014,0.1693989071038251,0.7560975609756098,0.0953846153846153,0.1988100745619297,0.8770033021814797,-0.0948185502234418,-0.704785832580548,0.0927106227106227,0.0436959108494253,0.0125893405069208
7,top60_dedup43,lasso_features_top60--43.csv,43,ClassWeight,-,RandomForest,0.2957,0.2049469964664311,0.7073170731707317,0.1198347107438016,0.1854461910148249,0.9153290069231064,0.0830569831923266,0.117353241082916,0.0574773445490219,0.0466758538748057,-0.0175133156939403
8,top55_dedup41,lasso_features_top55--41.csv,41,BorderlineSMOTE,0.2,RandomForest,0.2916,0.2695035460992908,0.4634146341463415,0.19,0.2362125188062953,0.9071691762395928,0.0070282360559514,-0.0790501560318633,0.0290265853759695,0.0365610070685369,-0.0066349239395107
9,top55_dedup41,lasso_features_top55--41.csv,41,ClassWeight,-,LightGBM,0.2892,0.2575757575757575,0.4146341463414634,0.1868131868131868,0.2580841125915136,0.9170629709433528,-0.0471795042818707,-0.1803117557690728,0.0340233296115649,-0.0433183621204417,-0.0548195729127619
10,top50_dedup39,lasso_features_top50--39.csv,39,BorderlineSMOTE,0.2,RandomForest,0.2864,0.2517482517482518,0.4390243902439024,0.1764705882352941,0.2460880869025741,0.9052439661877016,0.0253106999788921,-0.0631475664504119,0.0456314298294568,0.014442863075138,-0.002487293236084
