,FeatureSet,FeatureFile,N_Features,Method,SMOTE_Ratio,Model,Weighted_Score,Test_F1,Test_Recall,Test_Precision,Test_PR_AUC,Test_ROC_AUC,Gap_F1,Gap_Recall,Gap_Precision,Gap_PR_AUC,Gap_ROC_AUC
1,top50_dedup38,lasso_features_top50--37.csv,37,ClassWeight,-,RandomForest,0.3943,0.3125581395348837,0.8936170212765957,0.1894024802705749,0.2436764279342666,0.9211376280624138,-0.0413691125347897,0.000571141389001,-0.0292866810354502,0.0162552500889396,-0.0028969004487445
2,top60_dedup43,lasso_features_top60--45.csv,45,ClassWeight,-,RandomForest,0.387,0.3031423290203327,0.8723404255319149,0.1834451901565995,0.2432038010080733,0.9183725764083888,-0.0407398336944648,0.0248880696459971,-0.0295170815807639,0.0151296443464202,-0.0012528387476778
3,top65_dedup43,lasso_features_top65--47.csv,47,ClassWeight,-,RandomForest,0.3835,0.2917771883289125,0.8776595744680851,0.1749734888653234,0.240960940666262,0.9180924957451576,-0.0303279022967002,0.022315496241012,-0.0217367081432992,0.0132551318477354,-0.0021920405880369
4,top65_dedup43,lasso_features_top65--47.csv,47,ClassWeight,-,XGBoost,0.3819,0.3442838370565046,0.6968085106382979,0.2286212914485166,0.2785923107968115,0.9249193129323372,-0.0409953596249908,-0.1165992717703369,-0.0221290552537826,-0.0090949575133065,-0.0122733718478323
5,top55_dedup38,lasso_features_top55--42.csv,42,ClassWeight,-,RandomForest,0.3817,0.2930728241563055,0.8776595744680851,0.1759061833688699,0.2364583706720684,0.9174060001620892,-0.0312002514328558,0.0263325097661391,-0.0225151783972403,0.0245816186278999,-0.0005026711801858
6,top65_dedup43,lasso_features_top65--47.csv,47,ClassWeight,-,LightGBM,0.3754,0.3417085427135678,0.723404255319149,0.2236842105263158,0.2563295903683831,0.922586896515558,-0.0515250106795481,-0.1038768190130615,-0.033285638801931,0.0046341562059392,-0.0136003812270425
7,top50_dedup38,lasso_features_top50--37.csv,37,ClassWeight,-,XGBoost,0.3753,0.3636363636363636,0.6276595744680851,0.2559652928416486,0.2813059376311028,0.9289632009763492,-0.0643232930305526,-0.1080027589346214,-0.0418327481636534,-0.0174056557272442,-0.0154875733904908
8,top55_dedup38,lasso_features_top55--42.csv,42,ClassWeight,-,XGBoost,0.3746,0.3619344773790952,0.6170212765957447,0.2560706401766004,0.285147619540228,0.9283994641520588,-0.0542104124154412,-0.0821157997056075,-0.0381968188404618,-0.0219005849836785,-0.0140695368123907
9,top65_dedup43,lasso_features_top65--47.csv,47,CTGAN,0.2,XGBoost,0.3717,0.3896103896103896,0.5585106382978723,0.2991452991452991,0.2862409308676837,0.9304422652447308,-0.2112850207575035,-0.4307268352319952,0.0337416056166056,-0.005588394177468,-0.0107591143824912
10,top60_dedup43,lasso_features_top60--45.csv,45,ClassWeight,-,LightGBM,0.3717,0.3492957746478873,0.6595744680851063,0.2375478927203065,0.2699209334912594,0.926118296537488,-0.0459940626144515,-0.0856705171369109,-0.029421164141415,0.0085702991374989,-0.0124969525710036
