,FeatureSet,FeatureFile,N_Features,Method,SMOTE_Ratio,Model,Weighted_Score,Test_F1,Test_Recall,Test_PR_AUC,Test_ROC_AUC,Gap_F1,Gap_Recall,Gap_PR_AUC,Gap_ROC_AUC
1,top55_dedup44,lasso_features_top55--44.csv,44,BorderlineSMOTE,0.2,LightGBM,0.5595,0.5513513513513514,0.5483870967741935,0.5689319576536847,0.9565696649029984,-0.2850815278286209,-0.1456026207138553,-0.241537223190816,-0.0620594437542867
2,top60_dedup45,lasso_features_top60--45.csv,45,BorderlineSMOTE,0.1,LightGBM,0.4951,0.4647887323943662,0.3548387096774194,0.5693290169795033,0.9635389998293225,-0.2654437791020445,-0.1361933703424248,-0.2298180491461064,-0.0604252349025944
3,top65_dedup49,lasso_features_top65--49.csv,49,ClassWeight,-,RandomForest,0.4897,0.4224598930481283,0.8494623655913979,0.386174419308455,0.9263668430335096,-0.0333337089764559,-0.1287819367630269,-0.0524225681220779,-0.0096209559942457
4,top60_dedup45,lasso_features_top60--45.csv,45,ClassWeight,-,RandomForest,0.4821,0.4105263157894737,0.8387096774193549,0.3823938537281779,0.92542100472208,-0.0324227930882498,-0.1244018001526344,0.0031033635806585,-0.0047808122511942
5,top55_dedup44,lasso_features_top55--44.csv,44,ClassWeight,-,RandomForest,0.4662,0.4,0.8172043010752689,0.3656133472259003,0.9229177334016044,-0.0249529174222983,-0.1133665416896785,0.0233448401481328,-0.0033892958153665
6,top55_dedup44,lasso_features_top55--44.csv,44,ClassWeight,-,LightGBM,0.4574,0.4921465968586387,0.5053763440860215,0.4174261733886851,0.934310462536269,-0.2049711498719707,-0.159445215827307,-0.0862174231249697,-0.0259813882063426
7,top60_dedup45,lasso_features_top60--45.csv,45,ClassWeight,-,LightGBM,0.4475,0.467065868263473,0.4193548387096774,0.4469630193596901,0.9461298856460146,-0.1847653101047913,-0.0528516101374833,-0.1257758899089748,-0.0352068507741398
8,top65_dedup49,lasso_features_top65--49.csv,49,CTGAN,0.2,LightGBM,0.4348,0.3943661971830985,0.3010752688172043,0.512562745409269,0.9563918757467144,-0.2760746611329418,-0.141232423490488,-0.2614443499729725,-0.086853706822976
9,top65_dedup49,lasso_features_top65--49.csv,49,CTGAN,0.1,LightGBM,0.4171,0.3829787234042553,0.2903225806451613,0.4883793877696406,0.9511079820219606,-0.2577704504398971,-0.1435153494385975,-0.2403123105160728,-0.1151834778870907
10,top65_dedup49,lasso_features_top65--49.csv,49,BorderlineSMOTE,0.1,LightGBM,0.4006,0.3714285714285714,0.2795698924731182,0.4665959897365361,0.9512359902144848,-0.2428190040318187,-0.1837497180239115,-0.274290594358256,-0.1405344005708834
