,FeatureSet,FeatureFile,N_Features,Method,SMOTE_Ratio,Model,Weighted_Score,Test_F1,Test_Recall,Test_Precision,Test_PR_AUC,Test_ROC_AUC,Gap_F1,Gap_Recall,Gap_Precision,Gap_PR_AUC,Gap_ROC_AUC
1,top65_dedup52,lasso_features_top65--52.csv,52,ClassWeight,-,XGBoost,0.5176,0.4439169139465875,0.8237885462555066,0.3038180341186027,0.4392832665877688,0.9596636478629332,-0.0060666053750658,-0.1611638730647956,0.0269474518658556,-0.00410606338724,0.0004235018742951
2,top50_dedup43,lasso_features_top50--43.csv,43,ClassWeight,-,XGBoost,0.5138,0.4419642857142857,0.8722466960352423,0.2959641255605381,0.4135245964386764,0.9590779851805592,-0.0207229535544383,-0.2197016307543279,0.0183413409658533,-0.0018364037389129,-0.0019444341823628
3,top55_dedup45,lasso_features_top55--45.csv,45,ClassWeight,-,XGBoost,0.513,0.4351648351648352,0.8722466960352423,0.2898975109809663,0.4159254494152891,0.9587111692631176,-0.0075241297855239,-0.2184360390170381,0.0357091527303595,0.0016552395924929,-0.0015902264863829
4,top60_dedup49,lasso_features_top60--49.csv,49,ClassWeight,-,XGBoost,0.5061,0.4412811387900356,0.8193832599118943,0.3019480519480519,0.4196377362572062,0.9579878292459282,-0.0094750720460016,-0.1598625667119557,0.0255137697734357,-0.0039008139454699,0.0007932742333405
5,top65_dedup52,lasso_features_top65--52.csv,52,ClassWeight,-,RandomForest,0.4255,0.2913952691121014,0.9361233480176212,0.172553796183516,0.3017673578882509,0.9265045763635396,-0.0150777834674547,-0.0189907841869441,-0.0095789811645419,-0.0117172021475756,0.0125176742443054
6,top50_dedup43,lasso_features_top50--43.csv,43,ClassWeight,-,RandomForest,0.424,0.2752353132099968,0.933920704845815,0.1614008374571754,0.30931659407981,0.9240858050201544,-0.0168054978048151,-0.0143885581438569,-0.0107933473061064,-0.0170306851076035,0.0115288431855161
7,top55_dedup45,lasso_features_top55--45.csv,45,ClassWeight,-,RandomForest,0.4239,0.2757723577235772,0.933920704845815,0.1617703166730255,0.3088462845750514,0.9253050941390624,-0.0142036569586095,-0.0166636904189892,-0.0089066838850085,-0.0052072348349804,0.0113532323041865
8,top60_dedup49,lasso_features_top60--49.csv,49,ClassWeight,-,RandomForest,0.4222,0.2876665527844209,0.9273127753303964,0.1702385766275778,0.3009584473546133,0.926118536107386,-0.0158640500886304,-0.0171943685138763,-0.0101580189255023,-0.0064551322530855,0.012923311453511
9,top65_dedup52,lasso_features_top65--52.csv,52,ClassWeight,-,LightGBM,0.4142,0.3628205128205128,0.6233480176211453,0.255877034358047,0.3613804772969897,0.9266096305781168,0.050495100598926,0.1127788909585933,0.0328219374975562,0.0636752234657234,0.0324443336840635
10,top60_dedup49,lasso_features_top60--49.csv,49,ClassWeight,-,LightGBM,0.4111,0.360779384035198,0.6321585903083701,0.2524186455584872,0.3528146747687848,0.9241397885167394,0.0617807614511385,0.1138431931462435,0.0437064206860178,0.066939979788513,0.0351489675192266
