,FeatureSet,FeatureFile,N_Features,Method,SMOTE_Ratio,Model,Weighted_Score,Test_F1,Test_Recall,Test_PR_AUC,Test_ROC_AUC,Gap_F1,Gap_Recall,Gap_PR_AUC,Gap_ROC_AUC
1,top55_dedup41,lasso_features_top55--41.csv,41,ClassWeight,-,XGBoost,0.636,0.4831196581196581,0.919853539462978,0.6142126523987839,0.90811881728517,-0.1480436797255863,-0.3364963690234842,-0.3474679193668396,-0.0317758360194109
2,top65_dedup44,lasso_features_top65--44.csv,44,ClassWeight,-,XGBoost,0.6279,0.5035207203047443,0.8873067534580961,0.5988497958535154,0.9059878446992444,-0.1583633331904059,-0.3227677940443829,-0.3128058341588252,-0.024019413331202
3,top60_dedup43,lasso_features_top60--43.csv,43,ClassWeight,-,XGBoost,0.6051,0.4784103114930182,0.9060211554109032,0.5607013002223526,0.8984536279362281,-0.1431919258686245,-0.3219664480384264,-0.2875482961664856,-0.0192623591890039
4,top55_dedup41,lasso_features_top55--41.csv,41,BorderlineSMOTE,0.2,LightGBM,0.5793,0.5510276399716513,0.6326281529698943,0.5748643178911007,0.900751746270878,-0.2504278242261898,-0.2160109162606552,-0.3035982659325431,-0.0191807197696257
5,top65_dedup44,lasso_features_top65--44.csv,44,ClassWeight,-,RandomForest,0.5763,0.4377845220030349,0.9389747762408462,0.514348263923114,0.8690051329092461,-0.1108659239577701,-0.0792624604278651,-0.2171716696526016,0.0214777959234433
6,top60_dedup43,lasso_features_top60--43.csv,43,BorderlineSMOTE,0.2,LightGBM,0.5724,0.5511581251139887,0.6147274206672091,0.5681499847928477,0.9002386626129258,-0.2407562175127525,-0.1940240387444428,-0.2952210270854041,-0.0206555510868385
7,top60_dedup43,lasso_features_top60--43.csv,43,ClassWeight,-,LogisticRegression,0.5606,0.4368410171593963,0.8596419853539463,0.5152731485710862,0.8520089221384075,-0.1462756036338366,-0.1864340194722443,-0.3104918076397691,-0.0248713067555222
8,top55_dedup41,lasso_features_top55--41.csv,41,ClassWeight,-,RandomForest,0.5596,0.4337440045142481,0.9381611065907242,0.4836756535271277,0.8635227326114139,-0.1210292504276893,-0.0762155048473443,-0.2075420558002441,0.0201088453927816
9,top60_dedup43,lasso_features_top60--43.csv,43,ClassWeight,-,RandomForest,0.558,0.4341362438840798,0.9385679414157851,0.4799990622042658,0.8640649322988162,-0.1214206203684238,-0.0820540783209244,-0.2055085432578989,0.0194856919542607
10,top65_dedup44,lasso_features_top65--44.csv,44,ClassWeight,-,LogisticRegression,0.5579,0.4344877196588223,0.8600488201790073,0.5110788180937547,0.851644243869546,-0.1447850813081302,-0.1888953233866067,-0.306375225887687,-0.0246609002514761
