Industry,FeatureSet,FeatureFile,N_Features,Method,SMOTE_Ratio,Model,Recall_min,Threshold_basis,Threshold,CV_Val_F1,Test_F1,Gap_F1,CV_Val_Recall,Test_Recall,Gap_Recall,CV_Val_Precision,Test_Precision,Gap_Precision,CV_Val_ROC_AUC,Test_ROC_AUC,Gap_ROC_AUC,CV_Val_PR_AUC,Test_PR_AUC,Gap_PR_AUC,CV_Val_Accuracy,Test_Accuracy,Gap_Accuracy
M10_제1차금속산업,top65_dedup44,lasso_features_top65--44.csv,44,CTGAN,0.2,RandomForest,0.9,Test,0.02,0.0699,0.0411,-0.0288,1.0,1.0,0.0,0.0363,0.021,-0.0153,0.8677,0.8597,-0.0081,0.2132,0.1313,-0.082,0.0363,0.021,-0.0153
M11_조립금속제품_제조업,top60_dedup43,lasso_features_top60--43.csv,43,CTGAN,0.2,XGBoost,0.9,Test,0.03,0.189,0.2789,0.0899,0.9321,0.9126,-0.0195,0.1067,0.1646,0.0579,0.9234,0.916,-0.0074,0.3709,0.288,-0.0829,0.7164,0.8331,0.1167
M12_기타기계장비_제조업,top50_dedup38,lasso_features_top50--37.csv,37,ClassWeight,-,RandomForest,0.9,Test,0.48,0.2631,0.3059,0.0428,0.9058,0.9096,0.0038,0.1542,0.1839,0.0297,0.9183,0.9211,0.0029,0.2599,0.2437,-0.0162,0.8129,0.8332,0.0203
M13_전자부품_컴퓨터_전기장비_제조업,top50_dedup38,lasso_features_top50--5.csv,5,ClassWeight,-,RandomForest,0.9,Test,0.26,0.1468,0.1724,0.0256,0.874,0.9004,0.0264,0.0802,0.0953,0.0151,0.7952,0.8144,0.0192,0.2074,0.2141,0.0067,0.5279,0.5421,0.0142
M15_운송장비_제조업,top55_dedup38,lasso_features_top55--39.csv,39,ClassWeight,-,XGBoost,0.9,Test,0.17,0.2527,0.3777,0.125,0.8212,0.9026,0.0814,0.1671,0.2388,0.0717,0.9048,0.9374,0.0327,0.3809,0.3558,-0.0252,0.7472,0.8554,0.1082
M17_전기_가스_수도사업,top55_dedup44,lasso_features_top55--44.csv,44,BorderlineSMOTE,0.2,LightGBM,0.9,Test,0.15,0.2831,0.5045,0.2214,0.6528,0.9032,0.2504,0.193,0.35,0.157,0.8945,0.9566,0.0621,0.3274,0.5689,0.2415,0.8444,0.8972,0.0528
M18_건설업,top55_dedup36,lasso_features_top55--36.csv,36,ClassWeight,-,RandomForest,0.9,Test,0.46,0.2762,0.3235,0.0473,0.9178,0.9034,-0.0145,0.1635,0.197,0.0336,0.9236,0.914,-0.0096,0.3319,0.5605,0.2286,0.8081,0.7542,-0.0539
M20_숙박_음식점업,top60_dedup6,lasso_features_top60--6.csv,6,ClassWeight,-,RandomForest,0.9,Test,0.22,0.225,0.2467,0.0217,1.0,0.9036,-0.0964,0.1271,0.1429,0.0158,0.7748,0.7654,-0.0095,0.2683,0.2745,0.0061,0.2187,0.438,0.2194
M21_운수_창고업,top55_dedup37,lasso_features_top55--37.csv,37,ClassWeight,-,RandomForest,0.9,Test,0.49,0.3148,0.4408,0.126,0.7827,0.9115,0.1288,0.2034,0.2907,0.0873,0.8969,0.9421,0.0452,0.276,0.4434,0.1674,0.8167,0.8525,0.0358
M22_정보통신업,top65_dedup47,lasso_features_top65--47.csv,47,ClassWeight,-,LogisticRegression,0.9,Test,0.05,0.0815,0.2161,0.1346,0.9878,0.9085,-0.0794,0.0426,0.1227,0.0801,0.8377,0.8342,-0.0036,0.1881,0.3354,0.1473,0.1668,0.5032,0.3364
M23_부동산_임대_사업서비스업,top55_dedup41,lasso_features_top55--41.csv,41,ClassWeight,-,XGBoost,0.9,Test,0.52,0.3351,0.4833,0.1483,0.5518,0.9003,0.3485,0.2477,0.3303,0.0826,0.8801,0.9012,0.0212,0.2729,0.5895,0.3166,0.8697,0.7503,-0.1194
M25_오락_문화_개인서비스업,top55_dedup39,lasso_features_top55--39.csv,39,ClassWeight,-,RandomForest,0.9,Test,0.39,0.2951,0.4084,0.1132,0.8516,0.9072,0.0556,0.179,0.2635,0.0845,0.8863,0.8966,0.0104,0.3128,0.404,0.0911,0.772,0.7854,0.0134
M03_음식료품_제조업,top65_dedup47,lasso_features_top65--47.csv,47,BorderlineSMOTE,0.1,LightGBM,0.9,Test,0.04,0.2753,0.3781,0.1028,0.8273,0.912,0.0847,0.1694,0.2385,0.0691,0.8924,0.9466,0.0541,0.3046,0.5212,0.2166,0.8217,0.8539,0.0322
M04_섬유_가죽_신발_제조업,top55_dedup45,lasso_features_top55--43.csv,43,ClassWeight,-,LightGBM,0.9,Test,0.18,0.2421,0.3242,0.0821,0.5888,0.9022,0.3134,0.1538,0.1976,0.0438,0.8817,0.92,0.0383,0.2385,0.3231,0.0846,0.856,0.819,-0.037
M08_화학_의약품_고무_플라스틱_제조업,top60_dedup41,lasso_features_top60--41.csv,41,CTGAN,0.2,LightGBM,0.9,Test,0.09,0.3127,0.479,0.1663,0.8203,0.9176,0.0973,0.1978,0.3241,0.1263,0.8929,0.9743,0.0814,0.3099,0.76,0.45,0.8426,0.9035,0.061
