Combined_Rank,Feature,Category,Feature_Type,SHAP_Rank,mean_abs_SHAP,Perm_Rank,Perm_Mean,Perm_Std,Rank_Diff,Consistency,Combined_Score,Category_Order
1,총자본영업이익률_diff,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),1,1.347846543510303,1,0.2518291455123665,0.016691374419730298,0,일치,0.0,2
2,ROA변화_ratio,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),2,0.4500398567074903,2,0.101496549985435,0.01770602620458602,0,일치,0.021739130434782608,2
3,금융비용부담률,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),4,0.3119361389018577,3,0.06019441838713792,0.012730974536218805,1,일치,0.05434782608695652,2
4,영업CF_총부채,현금흐름 (Cash Flow),★ 핵심피처 (SHAP+Perm 모두 높음),3,0.4310983649309392,6,0.03794706002614609,0.011751085975907348,3,일치,0.07608695652173914,5
5,사내유보율_ratio_industry,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),8,0.18674272780687862,7,0.026529815942998424,0.009540152525509453,1,일치,0.14130434782608697,2
6,매입채무회전율_ratio_industry,활동성 (Activity),★ 핵심피처 (SHAP+Perm 모두 높음),10,0.15741389588474147,11,0.017416138274471044,0.006140589888205246,1,일치,0.20652173913043478,4
7,EBITDA증가율_ratio,성장성 (Growth),"▲ 상호작용 (Perm 높음, SHAP 낮음)",19,0.10352216206797218,4,0.0424060164944085,0.009977592208417463,15,대폭 불일치,0.2282608695652174,3
8,영업이익증가율_diff,성장성 (Growth),"△ 대체가능 (SHAP 높음, Perm 낮음)",11,0.15577413089408224,15,0.010983785317754022,0.007560395062480115,4,소폭 불일치,0.2608695652173913,3
8,순차입금비율,안정성 (Solvency),"▲ 상호작용 (Perm 높음, SHAP 낮음)",21,0.09739615582985231,5,0.03980718167657269,0.0053212603957223555,16,대폭 불일치,0.2608695652173913,1
10,영업CF_유동부채,현금흐름 (Cash Flow),"△ 대체가능 (SHAP 높음, Perm 낮음)",7,0.19217395621019792,20,0.00723998643127793,0.007774843426272623,13,대폭 불일치,0.2717391304347826,5
10,감가상각비율_ratio,현금흐름 (Cash Flow),★ 핵심피처 (SHAP+Perm 모두 높음),14,0.1384207442745411,13,0.013331613848064633,0.00456569258196735,1,일치,0.2717391304347826,5
12,순이익률_diff,수익성 (Profitability),"△ 대체가능 (SHAP 높음, Perm 낮음)",5,0.2801700300411431,27,0.004463073602654634,0.01361528165081343,22,대폭 불일치,0.32608695652173914,2
13,유형자산회전율_ratio_industry,활동성 (Activity),- 일반피처,17,0.11126744705787334,16,0.010556313497468583,0.00825949602317574,1,일치,0.33695652173913043,4
