Combined_Rank,Feature,Category,Feature_Type,SHAP_Rank,mean_abs_SHAP,Perm_Rank,Perm_Mean,Perm_Std,Rank_Diff,Consistency,Combined_Score,Category_Order
1,총자본영업이익률,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),2,0.8279369156241474,1,0.06505250835551593,0.02170891002798252,1,일치,0.011904761904761904,2
2,영업이익률_ratio,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),1,0.9271770450413145,5,0.026157560215081036,0.018344469222832088,4,소폭 불일치,0.047619047619047616,2
2,금융비용부담률,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),3,0.7155762528991746,3,0.029523345492036352,0.01380684783259185,0,일치,0.047619047619047616,2
2,영업CF_유동부채,현금흐름 (Cash Flow),★ 핵심피처 (SHAP+Perm 모두 높음),4,0.39693690610413396,2,0.030349708197243617,0.0164939456658092,2,일치,0.047619047619047616,5
5,총자산증가율_ratio_industry,성장성 (Growth),★ 핵심피처 (SHAP+Perm 모두 높음),5,0.3073925562935461,6,0.021859729231388823,0.010772171419398823,1,일치,0.10714285714285714,3
6,매출액증가율,성장성 (Growth),★ 핵심피처 (SHAP+Perm 모두 높음),6,0.2579019581675014,7,0.017808102653466287,0.01227323292241486,1,일치,0.13095238095238093,3
7,순이익률_ratio,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),12,0.16333532075503554,4,0.026207780836727222,0.012919038078050775,8,소폭 불일치,0.16666666666666669,2
8,영업CF_총부채,현금흐름 (Cash Flow),★ 핵심피처 (SHAP+Perm 모두 높음),10,0.19499761654603848,11,0.014281097187985897,0.01608776684224528,1,일치,0.22619047619047616,5
9,ROE_diff,수익성 (Profitability),"△ 대체가능 (SHAP 높음, Perm 낮음)",9,0.2230767750688823,13,0.012850154885168266,0.010603567233020163,4,소폭 불일치,0.23809523809523808,2
10,순운전자본회전율_diff,활동성 (Activity),"△ 대체가능 (SHAP 높음, Perm 낮음)",8,0.22537214637831487,15,0.011382225735736792,0.013239911274407289,7,소폭 불일치,0.25,4
11,자본잠식률,안정성 (Solvency),"▲ 상호작용 (Perm 높음, SHAP 낮음)",17,0.13091443876708822,8,0.017305426027694693,0.008276006562390453,9,대폭 불일치,0.2738095238095238,1
12,유형자산증가율_ratio,성장성 (Growth),"▲ 상호작용 (Perm 높음, SHAP 낮음)",22,0.10278138804877582,9,0.01634259338469109,0.008001201312805977,13,대폭 불일치,0.34523809523809523,3
13,ROA_ratio,수익성 (Profitability),"△ 대체가능 (SHAP 높음, Perm 낮음)",7,0.22934198932799355,25,0.003764365615678104,0.005729335852978173,18,대폭 불일치,0.3571428571428571,2
14,판관비율_ratio,수익성 (Profitability),- 일반피처,14,0.15345509421916187,19,0.007404366390428376,0.00888862590392691,5,소폭 불일치,0.36904761904761907,2
15,감가상각비율,현금흐름 (Cash Flow),"△ 대체가능 (SHAP 높음, Perm 낮음)",11,0.17014397410820523,24,0.0038664783764795966,0.004620765638535171,13,대폭 불일치,0.3928571428571429,5
16,매입채무회전율,활동성 (Activity),"▲ 상호작용 (Perm 높음, SHAP 낮음)",28,0.07261710989490924,10,0.015538539358126187,0.004677242857692112,18,대폭 불일치,0.4285714285714286,4
17,비유동비율_ratio_industry,안정성 (Solvency),- 일반피처,15,0.15131303467366833,26,0.003000234032365684,0.0062558408950099025,11,대폭 불일치,0.4642857142857143,1
17,종업원,기타 (Other),- 일반피처,18,0.1165508096044152,23,0.0043438130942715725,0.006490031889895205,5,소폭 불일치,0.4642857142857143,6
19,비유동장기적합률,안정성 (Solvency),- 일반피처,29,0.06933407275734033,14,0.012252239840020692,0.007673089751140104,15,대폭 불일치,0.4880952380952381,1
20,현금ROA_diff,수익성 (Profitability),- 일반피처,16,0.13811891456629977,27,0.0026621505789957384,0.005167362575549439,11,대폭 불일치,0.48809523809523814,2
21,부채비율변화,안정성 (Solvency),- 일반피처,24,0.09510328568420243,22,0.006003850310302687,0.009138963559219952,2,일치,0.5238095238095238,1
21,금융부채비율_ratio,안정성 (Solvency),- 일반피처,30,0.06849590823231108,16,0.010099734387409227,0.0059281028746879655,14,대폭 불일치,0.5238095238095238,1
23,장기부채의존도_ratio,안정성 (Solvency),- 일반피처,33,0.061010381707232046,18,0.007571626501460036,0.004289094766739138,15,대폭 불일치,0.5833333333333333,1
24,유동비율_diff_industry,안정성 (Solvency),- 일반피처,31,0.06554999084720435,20,0.007104093605856996,0.00730122947161879,11,대폭 불일치,0.5833333333333334,1
24,영업현금흐름비율_ratio,현금흐름 (Cash Flow),"▲ 상호작용 (Perm 높음, SHAP 낮음)",39,0.051861210528968284,12,0.013606796751985234,0.005106334427207612,27,대폭 불일치,0.5833333333333334,5
24,유형자산회전율_diff,활동성 (Activity),- 일반피처,23,0.09929897626960146,28,0.002249227471093131,0.006117905789093753,5,소폭 불일치,0.5833333333333334,4
27,매출액순이익률_ratio_industry,수익성 (Profitability),- 일반피처,36,0.05436059394840183,17,0.008199461083231507,0.0034679815639005285,19,대폭 불일치,0.6071428571428572,2
28,업력,기타 (Other),- 일반피처,13,0.16008841744313354,42,-0.010043432583174878,0.011357022591588897,29,대폭 불일치,0.6309523809523809,6
29,ROIC_ratio,수익성 (Profitability),- 일반피처,26,0.07943205945613614,30,0.0016944759148434425,0.004509201310148274,4,소폭 불일치,0.6428571428571428,2
30,매출채권회전율_ratio_industry,활동성 (Activity),- 일반피처,19,0.11555261730896697,38,-0.003922739889881562,0.012012381077500463,19,대폭 불일치,0.6547619047619048,4
30,매출채권회수기간,활동성 (Activity),- 일반피처,25,0.09221360416029303,32,9.746172755580688e-05,0.0038153549396665073,7,소폭 불일치,0.6547619047619048,4
32,유동비율변화,안정성 (Solvency),- 일반피처,20,0.111230687104003,39,-0.006199874473877174,0.008046688482561107,19,대폭 불일치,0.6785714285714286,1
32,장기부채비율_ratio,안정성 (Solvency),- 일반피처,38,0.052894116985295274,21,0.0066301436164629916,0.007362857296195974,17,대폭 불일치,0.6785714285714286,1
34,총자산회전율_diff_industry,활동성 (Activity),- 일반피처,21,0.10908843440029604,41,-0.007993372297415686,0.005055228000712158,20,대폭 불일치,0.7142857142857142,4
35,자기자본증가율_diff_industry,성장성 (Growth),- 일반피처,37,0.05326797217223329,29,0.0018960522118986005,0.0036413830445828975,8,소폭 불일치,0.7619047619047619,3
36,매출원가율,수익성 (Profitability),- 일반피처,34,0.060718285501589746,35,-0.002208137722558627,0.004519663455076283,1,일치,0.7976190476190477,2
37,FCF_총자산_diff,현금흐름 (Cash Flow),- 일반피처,27,0.07731746692963994,43,-0.0102087963350651,0.006696980832164266,16,대폭 불일치,0.8095238095238095,5
38,현금비율_diff,안정성 (Solvency),- 일반피처,35,0.055446094550170896,36,-0.0031151048063839835,0.006331424132568486,1,일치,0.8214285714285714,1
39,매입채무지급기간,활동성 (Activity),- 일반피처,32,0.06336921268320428,40,-0.007589839493316621,0.003790090955304468,8,소폭 불일치,0.8333333333333334,4
40,순운전자본대총자본_diff_industry,안정성 (Solvency),- 일반피처,43,0.015736144928814727,31,0.0011948274240417037,0.002285572978624435,12,대폭 불일치,0.8571428571428572,1
41,총부채비율,안정성 (Solvency),- 일반피처,42,0.02239039495983586,33,-0.0005953348926787727,0.005259266124583789,9,대폭 불일치,0.8690476190476191,1
41,차입금의존도_ratio,안정성 (Solvency),- 일반피처,41,0.030349127590427967,34,-0.0009690306337570657,0.006757489408978301,7,소폭 불일치,0.8690476190476191,1
43,현금ROE_ratio,수익성 (Profitability),- 일반피처,40,0.0419926774633188,37,-0.0038752898109796043,0.002743222290007171,3,일치,0.8928571428571428,2
