Combined_Rank,Feature,Category,Feature_Type,SHAP_Rank,mean_abs_SHAP,Perm_Rank,Perm_Mean,Perm_Std,Rank_Diff,Consistency,Combined_Score,Category_Order
1,총자본영업이익률,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),1,1.193519905229334,2,0.07174692007580516,0.006896250284029901,1,일치,0.0125,2
2,금융비용부담률,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),2,0.6418282023408988,5,0.016016779491227495,0.0049226911555888715,3,일치,0.0625,2
2,EBITDA마진,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),3,0.5702612321299196,4,0.058580239922540016,0.005428140436113019,1,일치,0.0625,2
4,영업이익률변화,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),5,0.3914800080800187,3,0.05897180344033999,0.005733682377821686,2,일치,0.07500000000000001,2
5,영업CF_유동부채_diff,현금흐름 (Cash Flow),★ 핵심피처 (SHAP+Perm 모두 높음),6,0.26859777042010435,8,0.007918280179180023,0.001988518775516465,2,일치,0.15,5
5,순운전자본회전율,활동성 (Activity),"▲ 상호작용 (Perm 높음, SHAP 낮음)",13,0.1295180665426105,1,0.18719959444876677,0.0050081728915436,12,대폭 불일치,0.15,4
7,ROE,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),8,0.19658289800169995,11,0.0053808306326892045,0.0022623666216300925,3,일치,0.2125,2
8,감가상각비율,현금흐름 (Cash Flow),★ 핵심피처 (SHAP+Perm 모두 높음),10,0.17912640371078833,10,0.005954985824156422,0.0018719826104460506,0,일치,0.225,5
8,ROIC,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),11,0.1514734924045385,9,0.006612833057753202,0.0017371652402452078,2,일치,0.225,2
10,순이익증가율,성장성 (Growth),"▲ 상호작용 (Perm 높음, SHAP 낮음)",17,0.07932343004780082,7,0.010106861677084219,0.0026810388448208957,10,대폭 불일치,0.275,3
10,장기부채비율,안정성 (Solvency),"▲ 상호작용 (Perm 높음, SHAP 낮음)",18,0.07479304850276493,6,0.015884188943969955,0.0014757373545010884,12,대폭 불일치,0.275,1
12,총자산증가율_ratio,성장성 (Growth),"△ 대체가능 (SHAP 높음, Perm 낮음)",12,0.1375885326543709,17,0.0029544078661133512,0.0006443676196990539,5,소폭 불일치,0.3375,3
12,영업이익률_ratio,수익성 (Profitability),- 일반피처,16,0.08478736861602727,13,0.005213198362292478,0.0016408006280419947,3,일치,0.3375,2
14,부채비율변화,안정성 (Solvency),- 일반피처,19,0.07007112272216183,15,0.003654596093096659,0.0014082287203302443,4,소폭 불일치,0.4,1
15,업력_ratio,기타 (Other),- 일반피처,15,0.0978753105672563,23,0.0012385475861620902,0.0023171185540742235,8,소폭 불일치,0.45,6
16,부채비율_ratio,안정성 (Solvency),"△ 대체가능 (SHAP 높음, Perm 낮음)",7,0.2483879237486341,34,-0.0006207701318978891,0.005176082022233856,27,대폭 불일치,0.4875,1
17,현금ROE,수익성 (Profitability),- 일반피처,29,0.04095003680081087,14,0.004431640300507896,0.0009042924956148575,15,대폭 불일치,0.5125,2
18,유형자산증가율_ratio,성장성 (Growth),- 일반피처,24,0.05105119867695851,20,0.0014470135587163072,0.0006456131467354707,4,소폭 불일치,0.5249999999999999,3
19,유형자산비율,기타 (Other),"▲ 상호작용 (Perm 높음, SHAP 낮음)",32,0.03314971640841047,12,0.005270462592438241,0.0006474692800281622,20,대폭 불일치,0.525,6
20,유보율,안정성 (Solvency),"△ 대체가능 (SHAP 높음, Perm 낮음)",4,0.5438786779552358,41,-0.07055012623663348,0.00889914514450228,37,대폭 불일치,0.5375,1
21,현금비율_diff,안정성 (Solvency),- 일반피처,21,0.05636023029270507,25,0.0008915522936198424,0.0013403584142363024,4,소폭 불일치,0.55,1
22,총부채비율,안정성 (Solvency),- 일반피처,31,0.03832602914824387,16,0.0031129413628729454,0.0005555582225686361,15,대폭 불일치,0.5625,1
