Combined_Rank,Feature,Category,Feature_Type,SHAP_Rank,mean_abs_SHAP,Perm_Rank,Perm_Mean,Perm_Std,Rank_Diff,Consistency,Combined_Score,Category_Order
1,유형자산회전율_ratio,활동성 (Activity),★ 핵심피처 (SHAP+Perm 모두 높음),1,0.027011380845414514,1,0.03566780337664449,0.00045295288345053724,0,일치,0.0,4
2,당좌비율_추정_ratio,안정성 (Solvency),★ 핵심피처 (SHAP+Perm 모두 높음),3,0.019806316416594555,4,0.015244868055558431,0.0033251750805903028,1,일치,0.05813953488372093,1
3,매출원가율,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),6,0.01473208885429436,2,0.01829403001750588,0.003387079461409297,4,소폭 불일치,0.06976744186046512,2
3,EBITDA대매출액_ratio_industry,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),5,0.015894791551252962,3,0.017210776039585346,0.0019258567754185773,2,일치,0.06976744186046512,2
5,영업이익률_diff,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),2,0.020574398738522792,7,0.007643715520814279,0.00272904015141863,5,소폭 불일치,0.08139534883720931,2
6,순운전자본대총자본_ratio_industry,안정성 (Solvency),★ 핵심피처 (SHAP+Perm 모두 높음),4,0.016513915746223656,6,0.008678136647077362,0.004346826781804106,2,일치,0.09302325581395349,1
7,자기자본증가율_ratio_industry,성장성 (Growth),★ 핵심피처 (SHAP+Perm 모두 높음),7,0.014301674084540484,8,0.007305516185275557,0.004158769258563139,1,일치,0.1511627906976744,3
8,순운전자본회전율,활동성 (Activity),★ 핵심피처 (SHAP+Perm 모두 높음),13,0.005673652181069007,5,0.011364666823018562,0.0017922844570106597,8,소폭 불일치,0.18604651162790697,4
9,ROIC,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),9,0.006598029732355497,10,0.004202794356125544,0.0030369977488157993,1,일치,0.19767441860465118,2
10,순차입금비율_diff,안정성 (Solvency),★ 핵심피처 (SHAP+Perm 모두 높음),10,0.006235218924901077,11,0.0027627360932175327,0.002828258835865759,1,일치,0.22093023255813954,1
11,금융부채비율_ratio,안정성 (Solvency),★ 핵심피처 (SHAP+Perm 모두 높음),11,0.006205712427092258,12,0.0024375460297052566,0.0028287737451621786,1,일치,0.2441860465116279,1
12,금융비용부담률,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),12,0.006010954818765936,13,0.002297071506797707,0.0018408151390507316,1,일치,0.2674418604651163,2
13,자기자본비율_diff_industry,안정성 (Solvency),- 일반피처,18,0.0023185560483306366,14,0.001911335388801952,0.0009988589679377228,4,소폭 불일치,0.34883720930232553,1
14,순이익률_ratio,수익성 (Profitability),"▲ 상호작용 (Perm 높음, SHAP 낮음)",24,0.001627905941265514,9,0.004665551544283911,0.0014421871969493363,15,대폭 불일치,0.36046511627906974,2
15,총자산증가율_ratio_industry,성장성 (Growth),- 일반피처,20,0.001949104596325449,18,0.0010135238142594065,0.0024064225517374956,2,일치,0.41860465116279066,3
15,현금ROE_diff,수익성 (Profitability),- 일반피처,22,0.0017349610537840648,16,0.0011502621705257953,0.001315081171676071,6,소폭 불일치,0.41860465116279066,2
17,장기부채비율_ratio,안정성 (Solvency),- 일반피처,21,0.0017809890270829535,24,2.3762995484771788e-05,0.000987108749870811,3,일치,0.5,1
18,총자본영업이익률,수익성 (Profitability),- 일반피처,19,0.0023147072374306633,27,-0.0002707687131713321,0.004265976437029841,8,소폭 불일치,0.5116279069767442,2
