Combined_Rank,Feature,Category,Feature_Type,SHAP_Rank,mean_abs_SHAP,Perm_Rank,Perm_Mean,Perm_Std,Rank_Diff,Consistency,Combined_Score,Category_Order
1,총자본영업이익률,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),1,1.0009762,2,0.055807256723205544,0.013388465105084494,1,일치,0.011904761904761904,2
2,ROA변화,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),4,0.48079875,1,0.13246927438995199,0.013936972075487695,3,일치,0.03571428571428571,2
3,EBITDA마진_diff,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),3,0.5994855,6,0.02736839278761701,0.007173802745804712,3,일치,0.08333333333333333,2
4,금융비용부담률,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),8,0.31120875,4,0.03177331480291322,0.00956341473866447,4,소폭 불일치,0.11904761904761904,2
5,ROIC,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),5,0.34795573,9,0.021185045055570416,0.007855161900607765,4,소폭 불일치,0.14285714285714285,2
6,자본잠식률,안정성 (Solvency),"△ 대체가능 (SHAP 높음, Perm 낮음)",2,0.60493827,13,0.016996757847361897,0.019184215138544774,11,대폭 불일치,0.15476190476190477,1
6,순운전자본회전율,활동성 (Activity),★ 핵심피처 (SHAP+Perm 모두 높음),12,0.20737688,3,0.038627950245698,0.014195581293369822,9,대폭 불일치,0.15476190476190477,4
8,총자산회전율_diff_industry,활동성 (Activity),★ 핵심피처 (SHAP+Perm 모두 높음),9,0.27427378,7,0.02235129438121537,0.00788856989457547,2,일치,0.16666666666666666,4
9,유동비율_ratio_industry,안정성 (Solvency),★ 핵심피처 (SHAP+Perm 모두 높음),7,0.3141754,11,0.018405213388227138,0.008449008934876445,4,소폭 불일치,0.19047619047619047,1
10,매출액증가율,성장성 (Growth),"▲ 상호작용 (Perm 높음, SHAP 낮음)",14,0.20079124,5,0.02795476089555326,0.010474926614391618,9,대폭 불일치,0.20238095238095238,3
11,영업CF_유동부채_diff,현금흐름 (Cash Flow),"▲ 상호작용 (Perm 높음, SHAP 낮음)",15,0.17816032,10,0.020462699273967034,0.006824843342836572,5,소폭 불일치,0.2738095238095238,5
12,현금ROA,수익성 (Profitability),"△ 대체가능 (SHAP 높음, Perm 낮음)",10,0.26443145,18,0.01168287815042614,0.015094997812090376,8,소폭 불일치,0.30952380952380953,2
13,유형자산회전율,활동성 (Activity),"▲ 상호작용 (Perm 높음, SHAP 낮음)",23,0.095648296,8,0.021286878146433343,0.007108373160888085,15,대폭 불일치,0.34523809523809523,4
14,ROA,수익성 (Profitability),- 일반피처,16,0.17599994,17,0.01252417691855518,0.004509121740532237,1,일치,0.36904761904761907,2
15,부채비율_ratio_industry,안정성 (Solvency),- 일반피처,22,0.109665826,15,0.015409191061267116,0.013249483245257716,7,소폭 불일치,0.41666666666666663,1
16,총부채비율_diff,안정성 (Solvency),- 일반피처,13,0.20102434,24,0.009781784947302937,0.01262120754871671,11,대폭 불일치,0.4166666666666667,1
17,감가상각비율,현금흐름 (Cash Flow),- 일반피처,18,0.15509272,20,0.011494844149790073,0.006770891062428929,2,일치,0.4285714285714286,5
18,영업현금흐름비율_ratio,현금흐름 (Cash Flow),"▲ 상호작용 (Perm 높음, SHAP 낮음)",27,0.07246179,12,0.01728949847665324,0.004414170464987305,15,대폭 불일치,0.44047619047619047,5
19,자기자본증가율_ratio,성장성 (Growth),- 일반피처,26,0.078291304,14,0.01613057848749663,0.003561148073231383,12,대폭 불일치,0.4523809523809524,3
20,유형자산증가율_ratio,성장성 (Growth),- 일반피처,17,0.16029169,25,0.009294033387809996,0.006331350356423779,8,소폭 불일치,0.47619047619047616,3
20,부채비율변화,안정성 (Solvency),- 일반피처,20,0.13372536,22,0.010395559575769304,0.011699826766562648,2,일치,0.47619047619047616,1
