Combined_Rank,Feature,Category,Feature_Type,SHAP_Rank,mean_abs_SHAP,Perm_Rank,Perm_Mean,Perm_Std,Rank_Diff,Consistency,Combined_Score,Category_Order
1,총자본영업이익률,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),1,0.0910605943450821,1,0.020982175627444533,0.007830448022273267,0,일치,0.0,2
2,영업이익률_ratio,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),2,0.08112092704178547,3,0.007361727232787477,0.006799437926571222,1,일치,0.041666666666666664,2
3,금융비용부담률_ratio,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),4,0.05565598192723814,2,0.015926380124436153,0.009518202916323493,2,일치,0.05555555555555555,2
4,영업CF_총부채,현금흐름 (Cash Flow),★ 핵심피처 (SHAP+Perm 모두 높음),5,0.03604271613456164,4,0.0037460306596497767,0.0109518686677247,1,일치,0.09722222222222221,5
5,영업CF_유동부채,현금흐름 (Cash Flow),★ 핵심피처 (SHAP+Perm 모두 높음),6,0.03016634453945032,5,0.0032126104489726194,0.010663798105634977,1,일치,0.125,5
6,감가상각비율_diff,현금흐름 (Cash Flow),★ 핵심피처 (SHAP+Perm 모두 높음),9,0.0116716062841714,6,0.002889584676593482,0.0026287525277256594,3,일치,0.18055555555555555,5
7,비유동장기적합률,안정성 (Solvency),★ 핵심피처 (SHAP+Perm 모두 높음),11,0.011349917841681472,7,0.0019006313308993883,0.002808676420345775,4,소폭 불일치,0.2222222222222222,1
8,순운전자본비율,안정성 (Solvency),★ 핵심피처 (SHAP+Perm 모두 높음),10,0.011567671846270363,10,0.0005980675420558773,0.003137453781125104,0,일치,0.25,1
9,총부채비율_diff,안정성 (Solvency),"▲ 상호작용 (Perm 높음, SHAP 낮음)",15,0.005475118087771172,9,0.0015120150717863796,0.000951802870867863,6,소폭 불일치,0.3055555555555556,1
10,총자산회전율_ratio_industry,활동성 (Activity),"▲ 상호작용 (Perm 높음, SHAP 낮음)",16,0.004811299237027668,11,0.0003729654451443243,0.0017734618777488984,5,소폭 불일치,0.3472222222222222,4
10,비유동비율_diff,안정성 (Solvency),- 일반피처,13,0.007731637519492885,14,0.0002585635685205867,0.002380222227612394,1,일치,0.3472222222222222,1
12,차입금의존도_ratio,안정성 (Solvency),- 일반피처,21,0.0023432755037516564,12,0.0003574081745741642,0.00017659635016700062,9,대폭 불일치,0.4305555555555556,1
13,EBITDA증가율_diff,성장성 (Growth),"▲ 상호작용 (Perm 높음, SHAP 낮음)",26,0.0013858829658732741,8,0.0015398602897825826,0.0008431223834366719,18,대폭 불일치,0.4444444444444444,3
14,장기부채비율,안정성 (Solvency),- 일반피처,18,0.0035450617819582655,21,-0.0003142216853055602,0.0016623776122529443,3,일치,0.5138888888888888,1
14,당좌비율_추정_diff,안정성 (Solvency),- 일반피처,12,0.007884747248481119,27,-0.000552962823862399,0.0030320869699096277,15,대폭 불일치,0.5138888888888888,1
16,매출액순이익률_ratio_industry,수익성 (Profitability),"△ 대체가능 (SHAP 높음, Perm 낮음)",3,0.06638337764882207,37,-0.006355606460518462,0.005504514868269347,34,대폭 불일치,0.5277777777777778,2
17,자본잠식률,안정성 (Solvency),"△ 대체가능 (SHAP 높음, Perm 낮음)",7,0.018139521794817953,35,-0.003200424024656054,0.0056619485863821355,28,대폭 불일치,0.5555555555555556,1
17,ROA_ratio,수익성 (Profitability),- 일반피처,14,0.006001106037353473,28,-0.0005713761677669654,0.0005186221415067646,14,대폭 불일치,0.5555555555555556,2
19,유형자산비율_ratio,기타 (Other),- 일반피처,30,0.0006919440350304672,13,0.00026588765923413746,0.000384847110374179,17,대폭 불일치,0.5694444444444444,6
20,매출원가율,수익성 (Profitability),"△ 대체가능 (SHAP 높음, Perm 낮음)",8,0.012030658000696994,36,-0.004241669914139326,0.001852001372158917,28,대폭 불일치,0.5833333333333334,2
21,매입채무지급기간_ratio,활동성 (Activity),- 일반피처,27,0.0012613353874935862,18,3.450212123556895e-07,0.00044772257901186575,9,대폭 불일치,0.5972222222222222,4
21,현금ROE_ratio,수익성 (Profitability),- 일반피처,29,0.0008376227596811437,16,0.00016362691798723627,0.00018104833173767228,13,대폭 불일치,0.5972222222222222,2
23,매출채권회전율_diff_industry,활동성 (Activity),- 일반피처,22,0.00198086359387066,24,-0.00037773610398861567,0.0006974912159637391,2,일치,0.6111111111111112,4
23,재고자산회전율_diff_industry,활동성 (Activity),- 일반피처,24,0.0015469446348130237,22,-0.00033705938471636777,0.0007962363504698402,2,일치,0.6111111111111112,4
25,판관비율_diff,수익성 (Profitability),- 일반피처,23,0.001823798589924381,25,-0.000424458677500017,0.0015772628123204234,2,일치,0.6388888888888888,2
26,FCF_총자산,현금흐름 (Cash Flow),- 일반피처,33,0.0005324525927611889,17,1.4176852078121027e-05,0.0002060801195735455,16,대폭 불일치,0.6666666666666666,5
