Combined_Rank,Feature,Category,Feature_Type,SHAP_Rank,mean_abs_SHAP,Perm_Rank,Perm_Mean,Perm_Std,Rank_Diff,Consistency,Combined_Score,Category_Order
1,금융비용부담률_ratio,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),1,1.0299321,1,0.10544493937965786,0.019061533048964005,0,일치,0.0,7
2,총자본영업이익률,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),2,0.5799408,4,0.03280697056984652,0.012603052278421595,2,일치,0.046511627906976744,7
3,재고자산회전율_ratio,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),6,0.36284238,2,0.0594193009692687,0.018549090855384878,4,소폭 불일치,0.06976744186046512,7
4,ROA,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),5,0.45309487,5,0.024613844983419578,0.008603754873459202,0,일치,0.09302325581395349,7
5,영업CF_총부채_diff,현금흐름 (Cash Flow),★ 핵심피처 (SHAP+Perm 모두 높음),3,0.50771004,9,0.0165623508206523,0.01309967118433803,6,소폭 불일치,0.11627906976744186,5
6,자본잠식률_ratio,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),8,0.3266008,6,0.02098099921226287,0.00708940694434622,2,일치,0.13953488372093023,7
7,순이익증가율_ratio,미분류,"▲ 상호작용 (Perm 높음, SHAP 낮음)",14,0.1563399,3,0.05567714609163721,0.008939761643059842,11,대폭 불일치,0.17441860465116277,7
8,자기자본회전율_ratio,미분류,"▲ 상호작용 (Perm 높음, SHAP 낮음)",16,0.14544511,7,0.01827225459925282,0.00726316911660392,9,대폭 불일치,0.2441860465116279,7
9,ROIC_diff,수익성 (Profitability),"△ 대체가능 (SHAP 높음, Perm 낮음)",10,0.23715623,15,0.0023258385247458637,0.007097288801394405,5,소폭 불일치,0.2674418604651163,2
10,순운전자본회전율_diff,활동성 (Activity),"△ 대체가능 (SHAP 높음, Perm 낮음)",9,0.2663146,20,3.9220457663400694e-05,0.00870048403813251,11,대폭 불일치,0.313953488372093,4
11,유형자산회전율_ratio,미분류,"▲ 상호작용 (Perm 높음, SHAP 낮음)",19,0.12150195,11,0.005984055385669687,0.007962944405661074,8,소폭 불일치,0.32558139534883723,7
11,현금ROE_diff,미분류,"▲ 상호작용 (Perm 높음, SHAP 낮음)",18,0.12461015,12,0.005382556585196026,0.005359165391407464,6,소폭 불일치,0.32558139534883723,7
