Combined_Rank,Feature,Category,Feature_Type,SHAP_Rank,mean_abs_SHAP,Perm_Rank,Perm_Mean,Perm_Std,Rank_Diff,Consistency,Combined_Score,Category_Order
1,금융비용부담률,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),1,0.0999647327637557,1,0.229479245081956,0.01407188385482161,0,일치,0.0,2
2,자기자본증가율,성장성 (Growth),★ 핵심피처 (SHAP+Perm 모두 높음),3,0.03760858966863998,4,0.07739217637647164,0.01012270517385021,1,일치,0.07142857142857142,3
2,유보율_ratio,안정성 (Solvency),★ 핵심피처 (SHAP+Perm 모두 높음),4,0.03669390158022874,3,0.12537525259430343,0.012895600981322912,1,일치,0.07142857142857142,1
4,ROA,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),2,0.06490522533974562,6,0.04705105967637109,0.006919355138429615,4,소폭 불일치,0.08571428571428572,2
5,ROE,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),7,0.01836514013669817,2,0.18867195642357876,0.003869259815587758,5,소폭 불일치,0.1,2
6,비유동비율,안정성 (Solvency),★ 핵심피처 (SHAP+Perm 모두 높음),6,0.022745756338099412,8,0.0431802206251673,0.005262207425705926,2,일치,0.17142857142857143,1
7,영업CF_총부채,현금흐름 (Cash Flow),★ 핵심피처 (SHAP+Perm 모두 높음),9,0.01680588138092936,7,0.04698444598379188,0.008993347855760628,2,일치,0.2,5
8,총자산회전율_ratio_industry,활동성 (Activity),★ 핵심피처 (SHAP+Perm 모두 높음),8,0.017821042499777586,10,0.012267009374148364,0.001728160906250636,2,일치,0.22857142857142856,4
9,EBITDA대매출액_ratio_industry,수익성 (Profitability),"△ 대체가능 (SHAP 높음, Perm 낮음)",5,0.03371878126062078,15,0.007541200244342705,0.0018868680725759506,10,대폭 불일치,0.2571428571428572,2
10,총자본영업이익률_diff,수익성 (Profitability),"△ 대체가능 (SHAP 높음, Perm 낮음)",10,0.016520436020371926,11,0.01034548716175956,0.0022083536193454574,1,일치,0.2714285714285714,2
11,재고자산회전율_ratio_industry,활동성 (Activity),"▲ 상호작용 (Perm 높음, SHAP 낮음)",17,0.006851156612467173,5,0.05191975233655849,0.005978500287183889,12,대폭 불일치,0.2857142857142857,4
12,영업이익률변화_diff,수익성 (Profitability),"▲ 상호작용 (Perm 높음, SHAP 낮음)",15,0.008149161282740075,9,0.020836293573940724,0.003484142728467701,6,소폭 불일치,0.3142857142857143,2
13,자기자본비율,안정성 (Solvency),- 일반피처,13,0.009905758427660645,12,0.00953019901780292,0.002055532678767114,1,일치,0.32857142857142857,1
14,판관비율_diff,수익성 (Profitability),- 일반피처,11,0.012061389425431316,17,0.00656324575487055,0.0009555974055432593,6,소폭 불일치,0.37142857142857144,2
15,현금ROA,수익성 (Profitability),- 일반피처,16,0.007356936754665868,13,0.008064425709947132,0.004947101543213554,3,일치,0.3857142857142857,2
16,ROIC_ratio,수익성 (Profitability),- 일반피처,12,0.011658734659355003,22,0.0033101649682723,0.001136809089212715,10,대폭 불일치,0.45714285714285713,2
17,순이익증가율,성장성 (Growth),- 일반피처,20,0.004443877420738757,16,0.006745889064679322,0.0018896354384995778,4,소폭 불일치,0.48571428571428565,3
18,순운전자본비율_diff,안정성 (Solvency),- 일반피처,18,0.005815146393278407,18,0.006174508084208452,0.0008083204549178149,0,일치,0.4857142857142857,1
19,투하자본회전율_diff,활동성 (Activity),- 일반피처,19,0.005541893936860521,21,0.0033481209673840383,0.0007087416703556864,2,일치,0.5428571428571428,4
20,자기자본회전율_ratio_industry,활동성 (Activity),- 일반피처,21,0.0036877606328658244,20,0.005401409450609185,0.0007908062307962759,1,일치,0.5571428571428572,4
20,현금ROE_ratio,수익성 (Profitability),- 일반피처,27,0.001167437829315302,14,0.00786283370297225,0.0020466267367052183,13,대폭 불일치,0.5571428571428572,2
22,금융부채비율,안정성 (Solvency),- 일반피처,14,0.009652728159294762,30,5.772530784390328e-05,0.0018887453248460115,16,대폭 불일치,0.6000000000000001,1
23,감가상각비율,현금흐름 (Cash Flow),- 일반피처,22,0.00316866148623107,24,0.001342071896017194,0.00044721725830521806,2,일치,0.6285714285714286,5
24,업력_ratio,기타 (Other),- 일반피처,23,0.002330824121367243,25,0.001205831921052025,0.0009842442479625574,2,일치,0.6571428571428571,6
25,차입금의존도_ratio,안정성 (Solvency),- 일반피처,26,0.00118449074949814,23,0.0014135721922005628,0.00044341332305829824,3,일치,0.6714285714285715,1
26,순운전자본회전율_diff,활동성 (Activity),- 일반피처,31,0.0008011596387637923,19,0.005496634099507158,0.0009385049197195613,12,대폭 불일치,0.6857142857142857,4
27,종업원,기타 (Other),- 일반피처,24,0.001955701287062842,28,0.0003110795592309756,0.0003357939903054062,4,소폭 불일치,0.7142857142857143,6
28,매입채무회전율_diff,활동성 (Activity),- 일반피처,30,0.00085805026091619,27,0.0007477141652789898,0.0007181160064943877,3,일치,0.7857142857142858,4
29,현금전환주기_CCC,활동성 (Activity),- 일반피처,32,0.00080052480904831,26,0.001177488305497154,0.0005700382943757145,6,소폭 불일치,0.8,4
29,유형자산회전율_ratio,활동성 (Activity),- 일반피처,25,0.0016126607877196817,33,-0.0001781735942273155,0.00040458117692171837,8,소폭 불일치,0.8,4
31,영업CF_유동부채_ratio,현금흐름 (Cash Flow),- 일반피처,28,0.0010406932004157726,31,-2.440410501708401e-05,0.0004790663788097798,3,일치,0.8142857142857143,5
32,영업현금흐름비율_diff,현금흐름 (Cash Flow),- 일반피처,29,0.000865651578979308,36,-0.009384806877592989,0.000499269945412722,7,소폭 불일치,0.9,5
32,FCF_총자산_ratio,현금흐름 (Cash Flow),- 일반피처,36,0.00024624880532104923,29,0.0001131962007998144,0.0002384553830901645,7,소폭 불일치,0.9,5
