Combined_Rank,Feature,Category,Feature_Type,SHAP_Rank,mean_abs_SHAP,Perm_Rank,Perm_Mean,Perm_Std,Rank_Diff,Consistency,Combined_Score,Category_Order
1,금융비용부담률,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),1,1.4744487,1,0.17420804834720346,0.010168215543247091,0,일치,0.0,2
2,재고자산회전율_ratio_industry,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),2,0.8770581,3,0.08094970906647211,0.011579693537820753,1,일치,0.04285714285714286,7
3,영업이익률변화_diff,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),6,0.36259106,2,0.08718163805401716,0.007531276043993306,4,소폭 불일치,0.08571428571428572,7
4,EBITDA대매출액_ratio_industry,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),4,0.4698518,8,0.02923755301623064,0.006201092107786975,4,소폭 불일치,0.14285714285714285,7
4,ROA,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),5,0.39905488,7,0.0339169584290315,0.006718216378893044,2,일치,0.14285714285714285,7
6,총자본영업이익률_diff,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),3,0.74305975,10,0.019139240360069622,0.010243142032149431,7,소폭 불일치,0.15714285714285714,2
7,유보율_ratio,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),9,0.26747167,5,0.05543278434038319,0.003885691697547675,4,소폭 불일치,0.17142857142857143,7
8,ROE,미분류,"▲ 상호작용 (Perm 높음, SHAP 낮음)",11,0.2498716,4,0.0692608179751678,0.005767703157193382,7,소폭 불일치,0.18571428571428572,7
9,ROIC_ratio,미분류,"△ 대체가능 (SHAP 높음, Perm 낮음)",7,0.2848817,13,0.009546137649025498,0.0035409995213059263,6,소폭 불일치,0.2571428571428571,7
10,자기자본증가율,성장성 (Growth),"△ 대체가능 (SHAP 높음, Perm 낮음)",10,0.25528538,11,0.016760251091381958,0.004476806686461424,1,일치,0.2714285714285714,3
10,비유동비율,미분류,"▲ 상호작용 (Perm 높음, SHAP 낮음)",12,0.23572144,9,0.022202866071880357,0.003275266354883241,3,일치,0.2714285714285714,7
12,순이익증가율,미분류,"▲ 상호작용 (Perm 높음, SHAP 낮음)",16,0.17351799,6,0.03770527731060557,0.0052089653064382865,10,대폭 불일치,0.2857142857142857,7
13,영업CF_총부채,미분류,- 일반피처,14,0.19729565,12,0.014431205907658905,0.005574262620148085,2,일치,0.34285714285714286,7
14,차입금의존도_ratio,미분류,- 일반피처,17,0.11748541,17,0.0032408111871370824,0.003459689950768646,0,일치,0.45714285714285713,7
15,업력_ratio,미분류,"△ 대체가능 (SHAP 높음, Perm 낮음)",8,0.27392036,27,-0.0013487625909358277,0.006274231884202379,19,대폭 불일치,0.4714285714285714,7
16,순운전자본비율_diff,미분류,- 일반피처,20,0.08410809,16,0.004311514510601068,0.0016448043171380716,4,소폭 불일치,0.48571428571428565,7
17,자기자본회전율_ratio_industry,미분류,- 일반피처,23,0.058107324,15,0.00451432412748406,0.0011874812878628338,8,소폭 불일치,0.5142857142857142,7
18,총자산회전율_ratio_industry,미분류,- 일반피처,15,0.17374182,25,-0.0010496577151898816,0.002247856297526304,10,대폭 불일치,0.5428571428571429,7
19,현금ROE_ratio,수익성 (Profitability),- 일반피처,28,0.04693145,14,0.006702422124463734,0.00266261408694514,14,대폭 불일치,0.5714285714285714,2
20,FCF_총자산_ratio,현금흐름 (Cash Flow),- 일반피처,22,0.0801234,21,0.001327429225411351,0.001507392977781739,1,일치,0.5857142857142856,5
21,순운전자본회전율_diff,활동성 (Activity),- 일반피처,26,0.050542347,18,0.0029677794301433986,0.0017140796651056967,8,소폭 불일치,0.6,4
21,현금ROA,수익성 (Profitability),- 일반피처,25,0.051004946,19,0.0015888052674171002,0.002360097504821891,6,소폭 불일치,0.6,2
