Combined_Rank,Feature,Category,Feature_Type,SHAP_Rank,mean_abs_SHAP,Perm_Rank,Perm_Mean,Perm_Std,Rank_Diff,Consistency,Combined_Score,Category_Order
1,총자본영업이익률_diff,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),1,1.4593697,2,0.08585717905077835,0.00948578721483232,1,일치,0.00980392156862745,2
2,영업이익률_ratio,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),2,1.3422601,3,0.06981418607527151,0.008741779584782346,1,일치,0.029411764705882353,7
2,ROA변화,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),4,0.6660077,1,0.18634460751443396,0.008759074325973146,3,일치,0.029411764705882353,2
4,금융비용부담률,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),3,0.7480392,4,0.06608625869967154,0.010204668849261063,1,일치,0.049019607843137254,2
5,자본잠식률,안정성 (Solvency),★ 핵심피처 (SHAP+Perm 모두 높음),7,0.30643213,5,0.04790688819845587,0.003670043880775195,2,일치,0.09803921568627451,1
6,금융비용대매출액_ratio_industry,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),5,0.43424737,8,0.026115509826446098,0.0066217107102129686,3,일치,0.10784313725490197,7
7,매출액순이익률_diff_industry,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),6,0.35292578,10,0.018418878110933463,0.005688888059483651,4,소폭 불일치,0.13725490196078433,2
8,매출액증가율,성장성 (Growth),★ 핵심피처 (SHAP+Perm 모두 높음),12,0.14786322,6,0.030555267222130658,0.004623895319731692,6,소폭 불일치,0.1568627450980392,3
9,영업CF_유동부채_diff,현금흐름 (Cash Flow),★ 핵심피처 (SHAP+Perm 모두 높음),11,0.16360009,11,0.017566235781533504,0.006737350414113491,0,일치,0.19607843137254902,5
10,매출채권회전율_diff,미분류,"▲ 상호작용 (Perm 높음, SHAP 낮음)",16,0.08843556,14,0.011757498682904065,0.0032128622100824657,2,일치,0.27450980392156865,7
10,순차입금비율,미분류,"△ 대체가능 (SHAP 높음, Perm 낮음)",13,0.14156108,17,0.005983335524206553,0.0025704367912076026,4,소폭 불일치,0.27450980392156865,7
12,영업CF_총부채_diff,현금흐름 (Cash Flow),- 일반피처,17,0.08213727,16,0.006131712666647484,0.003982697652754133,1,일치,0.303921568627451,5
13,ROIC_diff,수익성 (Profitability),"△ 대체가능 (SHAP 높음, Perm 낮음)",8,0.2609088,28,0.0017545783045949058,0.003218271315886028,20,대폭 불일치,0.33333333333333337,2
14,비유동장기적합률_ratio,안정성 (Solvency),"▲ 상호작용 (Perm 높음, SHAP 낮음)",31,0.05961322,7,0.02874587969164589,0.0016690079846667853,24,대폭 불일치,0.35294117647058826,1
15,유형자산비율_ratio,미분류,"△ 대체가능 (SHAP 높음, Perm 낮음)",14,0.14105096,26,0.00195380715432605,0.004960082753287605,12,대폭 불일치,0.37254901960784315,7
16,비유동비율_ratio,미분류,"▲ 상호작용 (Perm 높음, SHAP 낮음)",26,0.064843416,15,0.008724436055431974,0.002384455704756257,11,대폭 불일치,0.38235294117647056,7
17,순운전자본대총자본_ratio_industry,안정성 (Solvency),"▲ 상호작용 (Perm 높음, SHAP 낮음)",29,0.060112655,13,0.013344155334114679,0.0016487517724549628,16,대폭 불일치,0.3921568627450981,1
