Combined_Rank,Feature,Category,Feature_Type,SHAP_Rank,mean_abs_SHAP,Perm_Rank,Perm_Mean,Perm_Std,Rank_Diff,Consistency,Combined_Score,Category_Order
1,총자본영업이익률,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),1,1.7584451,1,0.16316111773883155,0.008152606628792584,0,일치,0.0,7
2,재고자산회전율,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),2,1.4759372,2,0.06571054542405018,0.02191205476458527,0,일치,0.027777777777777776,7
3,금융비용부담률_diff,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),4,0.5936617,4,0.03816641265109647,0.005264125337793727,0,일치,0.08333333333333333,7
4,영업이익률변화,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),7,0.36206472,3,0.056912102093277794,0.0068049010666464994,4,소폭 불일치,0.1111111111111111,7
5,영업CF_총부채,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),8,0.3511882,5,0.025876350288710707,0.007800361854487077,3,일치,0.1527777777777778,7
6,비유동비율,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),10,0.26636204,7,0.01139963767820955,0.006033457678638058,3,일치,0.20833333333333331,7
7,매출원가율,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),11,0.20944023,8,0.005963349253272996,0.0048832317151317325,3,일치,0.2361111111111111,2
8,ROE,미분류,"▲ 상호작용 (Perm 높음, SHAP 낮음)",14,0.16016613,6,0.01384961640981084,0.003171655023342806,8,소폭 불일치,0.25,7
9,매입채무회전율_diff,미분류,"△ 대체가능 (SHAP 높음, Perm 낮음)",6,0.4015303,19,0.00060280541752236,0.0011075572178544312,13,대폭 불일치,0.3194444444444444,7
10,유형자산회전율_ratio_industry,미분류,"▲ 상호작용 (Perm 높음, SHAP 낮음)",17,0.10266389,10,0.0027499269317238875,0.0031762225268196016,7,소폭 불일치,0.3472222222222222,7
11,총자산증가율_diff,미분류,- 일반피처,20,0.088059165,15,0.0014283702110112484,0.002611609918658334,5,소폭 불일치,0.45833333333333337,7
12,총자산회전율_ratio,활동성 (Activity),- 일반피처,18,0.09992768,18,0.0007353035007665098,0.004260408819102136,0,일치,0.4722222222222222,4
13,FCF_총자산,미분류,- 일반피처,22,0.07926405,17,0.0009905738589469563,0.00335682004512784,5,소폭 불일치,0.5138888888888888,7
13,현금전환주기_CCC,미분류,"△ 대체가능 (SHAP 높음, Perm 낮음)",5,0.41063163,34,-0.016387428802052573,0.008879375071242895,29,대폭 불일치,0.5138888888888888,7
13,총부채비율,미분류,- 일반피처,15,0.11891382,24,-0.000807099183165529,0.0025001263251619135,9,대폭 불일치,0.5138888888888888,7
16,재고자산보유기간_diff,미분류,"△ 대체가능 (SHAP 높음, Perm 낮음)",3,0.8931012,37,-0.0626521864086111,0.01619483630441934,34,대폭 불일치,0.5277777777777778,7
16,종업원,미분류,"▲ 상호작용 (Perm 높음, SHAP 낮음)",31,0.050240207,9,0.0033497386639314156,0.0024239977050893864,22,대폭 불일치,0.5277777777777778,7
18,장기부채의존도,안정성 (Solvency),"▲ 상호작용 (Perm 높음, SHAP 낮음)",30,0.052537486,11,0.002402126424723422,0.002673585144875335,19,대폭 불일치,0.5416666666666667,1
19,현금ROA_diff,미분류,- 일반피처,12,0.20844725,31,-0.006641146626681567,0.006647764786619716,19,대폭 불일치,0.5694444444444444,7
20,유보율_ratio,미분류,"△ 대체가능 (SHAP 높음, Perm 낮음)",9,0.30968234,35,-0.018280254615526476,0.004036658977499235,26,대폭 불일치,0.5833333333333333,7
21,영업CF_유동부채_ratio,미분류,- 일반피처,21,0.08132353,23,-0.000771684538312369,0.003795025802046417,2,일치,0.5833333333333334,7
21,부채비율_ratio,미분류,- 일반피처,32,0.048715718,12,0.0017310331799216428,0.0012900398710219176,20,대폭 불일치,0.5833333333333334,7
