Combined_Rank,Feature,Category,Feature_Type,SHAP_Rank,mean_abs_SHAP,Perm_Rank,Perm_Mean,Perm_Std,Rank_Diff,Consistency,Combined_Score,Category_Order
1,금융비용부담률_diff,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),1,3.0705838864159616,2,0.07695666267357773,0.005348654082542791,1,일치,0.010869565217391304,2
2,재고자산회전율,활동성 (Activity),★ 핵심피처 (SHAP+Perm 모두 높음),4,1.0960623589056273,3,0.04792727682417652,0.004527130507167472,1,일치,0.05434782608695652,4
3,금융부채비율_ratio,안정성 (Solvency),★ 핵심피처 (SHAP+Perm 모두 높음),9,0.8940006458187665,1,0.14514457090687427,0.003689146902945621,8,소폭 불일치,0.08695652173913043,1
4,영업CF_유동부채_ratio,현금흐름 (Cash Flow),★ 핵심피처 (SHAP+Perm 모두 높음),3,1.5436657620459406,9,0.023212970925086743,0.0049343676797237454,6,소폭 불일치,0.10869565217391304,5
5,유동비율_ratio,안정성 (Solvency),★ 핵심피처 (SHAP+Perm 모두 높음),5,1.0650820726382078,8,0.023248250900913627,0.002921000556649128,3,일치,0.11956521739130435,1
6,감가상각비율_ratio,현금흐름 (Cash Flow),★ 핵심피처 (SHAP+Perm 모두 높음),8,0.9013098429205458,6,0.03100732165426885,0.00450443495037292,2,일치,0.13043478260869565,5
7,영업CF_총부채,현금흐름 (Cash Flow),★ 핵심피처 (SHAP+Perm 모두 높음),6,0.9563003262657546,10,0.019877736807572263,0.0042461781674891135,4,소폭 불일치,0.15217391304347827,5
8,비유동장기적합률,안정성 (Solvency),★ 핵심피처 (SHAP+Perm 모두 높음),13,0.3766072836097472,4,0.0417538105418586,0.0022958300718174908,9,대폭 불일치,0.16304347826086957,1
9,ROE,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),12,0.41313554024020166,12,0.013586593656170922,0.0030989293003419738,0,일치,0.2391304347826087,2
9,매입채무지급기간,활동성 (Activity),"▲ 상호작용 (Perm 높음, SHAP 낮음)",19,0.25973630968471484,5,0.034403552236670985,0.0023210730432913834,14,대폭 불일치,0.2391304347826087,4
11,재고자산보유기간_diff,활동성 (Activity),"▲ 상호작용 (Perm 높음, SHAP 낮음)",18,0.26045589908146766,7,0.027004802315723626,0.0018587809204892182,11,대폭 불일치,0.25,4
12,영업현금흐름비율_diff,현금흐름 (Cash Flow),"△ 대체가능 (SHAP 높음, Perm 낮음)",7,0.903206291980906,24,0.0027881396667551388,0.002315391712396543,17,대폭 불일치,0.31521739130434784,5
13,총자산증가율_ratio,성장성 (Growth),- 일반피처,16,0.26709031703169733,20,0.003369555587019559,0.0016061543584083766,4,소폭 불일치,0.3695652173913043,3
14,현금비율_diff,안정성 (Solvency),"▲ 상호작용 (Perm 높음, SHAP 낮음)",23,0.18976295777300556,14,0.009201186517709244,0.002975252819255401,9,대폭 불일치,0.3804347826086957,1
15,부채비율변화_diff,안정성 (Solvency),"▲ 상호작용 (Perm 높음, SHAP 낮음)",25,0.18134631958229291,13,0.010300352835147474,0.0022172116419125736,12,대폭 불일치,0.3913043478260869,1
15,장기부채비율_ratio,안정성 (Solvency),"▲ 상호작용 (Perm 높음, SHAP 낮음)",27,0.16429766334923493,11,0.014720663289574417,0.00195500156225319,16,대폭 불일치,0.3913043478260869,1
17,판관비율_ratio,수익성 (Profitability),- 일반피처,24,0.18474442991288445,15,0.009189290758470414,0.002707897993308137,9,대폭 불일치,0.40217391304347827,2
17,장기부채의존도_diff,안정성 (Solvency),- 일반피처,20,0.2170151293336958,19,0.0050194481847163465,0.0017849140410386005,1,일치,0.40217391304347827,1
19,총자본영업이익률,수익성 (Profitability),- 일반피처,26,0.16518520009160623,16,0.008763550081080198,0.001210311347059106,10,대폭 불일치,0.43478260869565216,2
19,유동비율변화_diff,안정성 (Solvency),- 일반피처,21,0.20974667792832905,21,0.0032391196689503243,0.001934210949734353,0,일치,0.43478260869565216,1
21,FCF_총자산_ratio,현금흐름 (Cash Flow),- 일반피처,28,0.16148768876342345,18,0.006509995673140314,0.0017118142025455423,10,대폭 불일치,0.4782608695652174,5
22,현금ROE_ratio,수익성 (Profitability),"△ 대체가능 (SHAP 높음, Perm 낮음)",2,1.843703455306799,45,-0.009556659764109663,0.007630364754965199,43,대폭 불일치,0.4891304347826087,2
23,총부채비율_diff,안정성 (Solvency),- 일반피처,31,0.11886212130985095,17,0.007341302581856575,0.001091568004148114,14,대폭 불일치,0.5,1
