Combined_Rank,Feature,Category,Feature_Type,SHAP_Rank,mean_abs_SHAP,Perm_Rank,Perm_Mean,Perm_Std,Rank_Diff,Consistency,Combined_Score,Category_Order
1,재고자산회전율,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),1,1.1233045,1,0.048749402303516286,0.003894724140316847,0,일치,0.0,7
2,영업이익률_ratio,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),2,1.0504129,3,0.027711150030593747,0.003387472986126619,1,일치,0.03260869565217391,7
2,총자본영업이익률,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),3,0.99961454,2,0.033491950519034974,0.004199586297368901,1,일치,0.03260869565217391,7
4,금융비용부담률_diff,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),5,0.9065063,4,0.01875836104456984,0.0032833202827423492,1,일치,0.07608695652173914,7
5,ROIC,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),8,0.29749075,6,0.011190489356599524,0.001625917974498557,2,일치,0.13043478260869565,7
6,재고자산보유기간_diff,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),7,0.36957973,8,0.004537591481197191,0.0009702707597641083,1,일치,0.14130434782608697,7
6,영업이익증가율,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),10,0.25949365,5,0.017355722965261233,0.001983841311540077,5,소폭 불일치,0.14130434782608697,7
8,매입채무지급기간,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),12,0.16256003,11,0.0028699992119757775,0.0008603746759710864,1,일치,0.2282608695652174,7
9,순이익증가율,미분류,"▲ 상호작용 (Perm 높음, SHAP 낮음)",18,0.110253125,7,0.005401955401577248,0.0007460968388891501,11,대폭 불일치,0.25,7
10,자본잠식률_ratio,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),14,0.15027449,12,0.001946083496426329,0.0005742696740016908,2,일치,0.2608695652173913,7
11,감가상각비율_ratio,미분류,"▲ 상호작용 (Perm 높음, SHAP 낮음)",17,0.11888474,13,0.0018017778570667063,0.0006940764020920899,4,소폭 불일치,0.30434782608695654,7
