Combined_Rank,Feature,Category,Feature_Type,SHAP_Rank,mean_abs_SHAP,Perm_Rank,Perm_Mean,Perm_Std,Rank_Diff,Consistency,Combined_Score,Category_Order
1,금융비용부담률,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),1,1.305636,1,0.24112751093147067,0.006985080035395579,0,일치,0.0,2
2,총자본영업이익률,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),2,1.1648556,6,0.07188915751641291,0.0048592354448600515,4,소폭 불일치,0.075,7
3,영업CF_총부채,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),3,0.40452778,5,0.08319516284330879,0.005045172254416519,2,일치,0.07500000000000001,7
3,총부채비율,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),5,0.24458311,3,0.14107100490853897,0.005409628095760544,2,일치,0.07500000000000001,7
5,유보율_ratio,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),4,0.3078503,7,0.06690615042056525,0.004942659063285789,3,일치,0.11249999999999999,7
6,부채비율_ratio,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),11,0.16534053,2,0.20117775639804727,0.0028912942190996074,9,대폭 불일치,0.1375,7
7,총자산회전율,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),10,0.17051227,4,0.09439653852600745,0.0038785153413944872,6,소폭 불일치,0.15,7
8,EBITDA마진_ratio,미분류,★ 핵심피처 (SHAP+Perm 모두 높음),7,0.20207284,9,0.04052666227966803,0.002679205919004919,2,일치,0.175,7
9,감가상각비율,현금흐름 (Cash Flow),"△ 대체가능 (SHAP 높음, Perm 낮음)",6,0.21885106,13,0.023366315523801955,0.0034770623500568246,7,소폭 불일치,0.2125,5
10,영업CF_유동부채_diff,현금흐름 (Cash Flow),★ 핵심피처 (SHAP+Perm 모두 높음),9,0.18916759,11,0.03085890026740647,0.00385649410668331,2,일치,0.225,5
11,현금ROA_diff,미분류,"△ 대체가능 (SHAP 높음, Perm 낮음)",8,0.19631165,14,0.02282974068786017,0.0032608113952328588,6,소폭 불일치,0.25,7
11,부채비율변화,안정성 (Solvency),★ 핵심피처 (SHAP+Perm 모두 높음),12,0.12470375,10,0.03182137627861276,0.0019841584320784305,2,일치,0.25,1
13,ROIC_diff,수익성 (Profitability),"▲ 상호작용 (Perm 높음, SHAP 낮음)",14,0.08666571,12,0.025061432690349817,0.0026437940408562777,2,일치,0.30000000000000004,2
14,차입금의존도,미분류,- 일반피처,15,0.085197434,15,0.0177890630953258,0.0022948775638436335,0,일치,0.35,7
15,판관비율_ratio,미분류,- 일반피처,16,0.08234601,20,0.008898379155074253,0.002771147472520123,4,소폭 불일치,0.425,7
16,FCF_총자산_diff,미분류,- 일반피처,20,0.058081914,18,0.012747545071219713,0.002082783755712988,2,일치,0.44999999999999996,7
17,부채증가율,미분류,- 일반피처,19,0.06117575,19,0.01038786028355616,0.002030188458046673,0,일치,0.45,7
18,순이익률_diff,미분류,- 일반피처,13,0.09988681,29,-0.0004429181065371749,0.0019250311615970515,16,대폭 불일치,0.5,7
18,장기부채비율,안정성 (Solvency),- 일반피처,18,0.0663358,24,0.004887907642149928,0.0027173482326109393,6,소폭 불일치,0.5,1
20,매입채무지급기간,미분류,"▲ 상호작용 (Perm 높음, SHAP 낮음)",36,0.02905258,8,0.06520424165901686,0.0015984974594346999,28,대폭 불일치,0.525,7
21,재고자산회전율,미분류,- 일반피처,23,0.047705717,23,0.0055018593612598905,0.0010041335584223938,0,일치,0.55,7
22,현금비율_ratio,미분류,- 일반피처,21,0.050082497,26,0.0010326832436107622,0.0018784439592947945,5,소폭 불일치,0.5625,7
22,ROA_ratio,수익성 (Profitability),- 일반피처,25,0.046643853,22,0.00613154791247457,0.0011705466961180388,3,일치,0.5625,2
24,업력_diff,미분류,- 일반피처,17,0.07186085,33,-0.00273709313867847,0.00228905349616722,16,대폭 불일치,0.6000000000000001,7
25,현금전환주기_CCC_diff,미분류,- 일반피처,37,0.02693387,16,0.015732501678357626,0.0008268570340880871,21,대폭 불일치,0.6375,7
25,매출총이익률_ratio,미분류,- 일반피처,26,0.04434454,27,0.0005215406920239103,0.0011016439119992606,1,일치,0.6375,7
27,비유동자산회전율_ratio,활동성 (Activity),- 일반피처,30,0.037464906,25,0.0013432126588395728,0.0012492539006714164,5,소폭 불일치,0.6625,4
28,자기자본회전율_ratio,미분류,- 일반피처,39,0.024322214,17,0.015251181634972058,0.0013056777379399458,22,대폭 불일치,0.675,7
28,영업현금흐름증가율_diff,미분류,- 일반피처,35,0.029917931,21,0.007270294757158572,0.0016921528008095887,14,대폭 불일치,0.675,7
30,유동자산회전율,활동성 (Activity),- 일반피처,27,0.041626133,30,-0.0018416456884072711,0.0008121056997416722,3,일치,0.6875,4
31,매출채권회수기간,미분류,- 일반피처,24,0.047060102,35,-0.003828365494458178,0.0008006300983427599,11,대폭 불일치,0.7124999999999999,7
32,종업원,미분류,- 일반피처,28,0.041207455,31,-0.0019929217141359903,0.001642318987228306,3,일치,0.7125,7
33,영업현금흐름비율_diff,미분류,- 일반피처,22,0.049523927,40,-0.00883488815490541,0.0013106680837864934,18,대폭 불일치,0.75,7
34,순운전자본회전율_ratio,미분류,- 일반피처,29,0.040486094,36,-0.0045414912015074825,0.0010752149749272118,7,소폭 불일치,0.7875,7
34,투하자본회전율,미분류,- 일반피처,31,0.034575548,34,-0.0036129496015112395,0.00120273863303837,3,일치,0.7875,7
36,순운전자본비율_diff,미분류,- 일반피처,40,0.022123195,28,0.00015499629058588111,0.001129167007659733,12,대폭 불일치,0.825,7
37,재고자산보유기간,미분류,- 일반피처,32,0.034280106,38,-0.004711999001069397,0.0017722433210785537,6,소폭 불일치,0.8500000000000001,7
38,유동비율_diff,미분류,- 일반피처,34,0.031373896,37,-0.004610390929893697,0.0010580992843192778,3,일치,0.8625,7
39,비유동장기적합률_ratio,안정성 (Solvency),- 일반피처,41,0.019518122,32,-0.00203200572192721,0.0005024264812752574,9,대폭 불일치,0.8875,1
40,비유동비율_ratio,미분류,- 일반피처,33,0.03352104,41,-0.046718761795011526,0.0013816495432133096,8,소폭 불일치,0.9,7
