Combined_Rank,Feature,Category,Feature_Type,SHAP_Rank,mean_abs_SHAP,Perm_Rank,Perm_Mean,Perm_Std,Rank_Diff,Consistency,Combined_Score,Category_Order
1,영업CF_총부채,현금흐름 (Cash Flow),★ 핵심피처 (SHAP+Perm 모두 높음),1,0.05410855041950404,4,0.018896241175150107,0.014888504736975528,3,일치,0.039473684210526314,5
2,총자본영업이익률,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),3,0.05171167561053746,3,0.024738695706332324,0.01159940970912756,0,일치,0.05263157894736842,2
2,유보율,안정성 (Solvency),★ 핵심피처 (SHAP+Perm 모두 높음),4,0.04699364573654067,2,0.030488475868255,0.010301390791276708,2,일치,0.05263157894736842,1
4,영업CF_유동부채,현금흐름 (Cash Flow),★ 핵심피처 (SHAP+Perm 모두 높음),2,0.05404656244290999,5,0.01821851197213246,0.01629344288991204,3,일치,0.06578947368421052,5
5,금융비용부담률,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),7,0.030584842302998416,1,0.04306388861154871,0.010440242242088017,6,소폭 불일치,0.07894736842105263,2
6,자기자본증가율,성장성 (Growth),★ 핵심피처 (SHAP+Perm 모두 높음),5,0.03747971958059764,7,0.011085532991307306,0.008439274630788612,2,일치,0.13157894736842105,3
7,ROIC,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),6,0.032854821665914774,8,0.010000991664912556,0.007207990877701382,2,일치,0.15789473684210525,2
8,영업이익률_diff,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음),8,0.027039358641527685,9,0.008368784215707619,0.00816244280331851,1,일치,0.19736842105263158,2
9,ROE_diff,수익성 (Profitability),"▲ 상호작용 (Perm 높음, SHAP 낮음)",13,0.00827634206666717,6,0.015424933577009432,0.003434637395505628,7,소폭 불일치,0.22368421052631576,2
10,비유동비율,안정성 (Solvency),★ 핵심피처 (SHAP+Perm 모두 높음),11,0.008813370041310293,11,0.0067939404723198595,0.004081778812303548,0,일치,0.2631578947368421,1
11,현금ROE,수익성 (Profitability),- 일반피처,12,0.008610610081963873,14,0.0038372999535555676,0.001844035860839844,2,일치,0.3157894736842105,2
12,매출채권회수기간_diff,활동성 (Activity),- 일반피처,15,0.0076251606794476455,13,0.004830601721901112,0.005531867731811223,2,일치,0.3421052631578947,4
13,순운전자본회전율_ratio,활동성 (Activity),"△ 대체가능 (SHAP 높음, Perm 낮음)",9,0.020202280435393905,22,0.0009932106601838297,0.005653757696425009,13,대폭 불일치,0.3815789473684211,4
14,차입금의존도_diff,안정성 (Solvency),"▲ 상호작용 (Perm 높음, SHAP 낮음)",22,0.004421569933876006,10,0.006829162353124724,0.0034274967042959834,12,대폭 불일치,0.39473684210526316,1
15,비유동장기적합률,안정성 (Solvency),- 일반피처,17,0.006591459915204392,17,0.0026095627854643756,0.005000072742174446,0,일치,0.42105263157894735,1
16,감가상각비율,현금흐름 (Cash Flow),- 일반피처,14,0.007858408821507339,24,0.0005914271567458052,0.0017825181239879563,10,대폭 불일치,0.4736842105263158,5
17,부채비율,안정성 (Solvency),- 일반피처,21,0.004440747796614106,18,0.0023055440879108714,0.001109560030590313,3,일치,0.48684210526315785,1
17,총부채비율,안정성 (Solvency),- 일반피처,19,0.00574383702529727,20,0.0018852035926518907,0.0012713936765726078,1,일치,0.48684210526315785,1
19,업력,기타 (Other),- 일반피처,28,0.0032789746142682943,15,0.002896076148510035,0.0035414221255262277,13,대폭 불일치,0.5394736842105263,6
20,재고자산회전율,활동성 (Activity),- 일반피처,32,0.0021651745944236953,12,0.0058371609875953415,0.002245685844842743,20,대폭 불일치,0.5526315789473684,4
21,영업이익률변화_diff,수익성 (Profitability),- 일반피처,26,0.003576085813324424,19,0.0019736621843465863,0.0008574641486381405,7,소폭 불일치,0.5657894736842105,2
