사업자등록번호,회사명,테스트_연도,훈련_끝,beta_i,beta_i_raw,beta_sign,beta_quality,beta_src,S2,r2,n_obs,granger_p
0008120015,(주)엑세스바이오인코퍼레이션,2015,2014,6.506023249304226,10.681615191883955,1.0,low,ols_shrunk,0.4802588996763754,0.00982314352046132,3.0,
0008120019,잉글우드랩(주),2015,2014,0.2426353354346337,,1.0,,global_median,0.14789644012944983,,,
1018110436,디아이지에어가스주식회사,2015,2014,5.039355419269327,8.237168808492457,1.0,low,ols_shrunk,0.4414239482200647,0.955348951246866,3.0,
1018118476,대정화금(주),2015,2014,7.430146562194441,12.221820713367647,1.0,low,ols_shrunk,0.5093851132686085,0.8931615649109159,3.0,
1018121307,다무라케미컬코리아(주),2015,2014,0.24263533543463373,0.2426353354346337,1.0,low,ols_shrunk,0.2854368932038835,6.309485667721493e-05,3.0,
1018192272,(주)협화화학,2015,2014,-77.37916989498403,-129.12704004859648,-1.0,low,ols_shrunk,0.970873786407767,0.346313534598377,3.0,
1018195610,금호타이어(주),2015,2014,-14.891675905246808,-24.981216732367773,-1.0,low,ols_shrunk,0.6750809061488673,0.9982659364254461,3.0,
1018660116,에스케이지오센트릭주식회사,2015,2014,19.02270004927337,31.542743191832535,1.0,low,ols_shrunk,0.7378640776699029,0.9932878331327673,3.0,
1018660644,울산아로마틱스주식회사,2015,2014,0.2426353354346337,,1.0,,global_median,0.14789644012944983,,,
1018666823,(주)삼양바이오팜,2015,2014,0.2426353354346337,,1.0,,global_median,0.14789644012944983,,,
1018672475,에네오스코리아주식회사,2015,2014,0.2426353354346337,,1.0,,global_median,0.14789644012944983,,,
1028119589,(주)협화,2015,2014,-8.152081910021318,-13.74856007365862,-1.0,low,ols_shrunk,0.5275080906148867,0.11621430589190007,3.0,
1028131147,금호석유화학(주),2015,2014,-2.2385388046318435,-3.8926548980094946,-1.0,low,ols_shrunk,0.34951456310679613,0.11659317690987225,3.0,
1028131282,금호미쓰이화학주식회사,2015,2014,-22.695504427357044,-37.987597602551496,-1.0,low,ols_shrunk,0.7851132686084142,0.26902430590355664,3.0,
1028132239,(주)아케마,2015,2014,-20.07602992851252,-33.62180677114395,-1.0,low,ols_shrunk,0.7521035598705501,0.9318470261805438,3.0,
1028134256,진양산업(주),2015,2014,4.819767155370232,7.871188368660631,1.0,low,ols_shrunk,0.43171521035598703,0.2002973925913799,3.0,
1028134955,(주)한솔케미칼,2015,2014,-6.713999394850809,-11.35175588170777,-1.0,low,ols_shrunk,0.4854368932038835,0.5128342615828374,3.0,
1048106794,대한유화(주),2015,2014,-5.952533955146155,-10.082646815533348,-1.0,low,ols_shrunk,0.4692556634304207,0.2295304569386356,3.0,
1048107677,주식회사지에스켐,2015,2014,3.796505890406612,6.165752927054598,1.0,low,ols_shrunk,0.39676375404530745,0.7769362008802725,3.0,
1048124846,(주)유니드,2015,2014,9.490285872520674,15.655386230578033,1.0,low,ols_shrunk,0.570873786407767,0.6659197306603666,3.0,
1048125904,서울화인테크주식회사,2015,2014,6.274188894229036,10.295224600091972,1.0,low,ols_shrunk,0.47508090614886733,0.9288027528924861,3.0,
1048128099,상신화학공업주식회사,2015,2014,-5.817602969228773,-9.857761839004377,-1.0,low,ols_shrunk,0.4634304207119741,0.9999463653258203,3.0,
1048128347,(주)화진화장품,2015,2014,-40.224333647508566,-67.2023129694707,-1.0,low,ols_shrunk,0.8996763754045307,0.9108938536431203,3.0,
1048131916,니카코리아주식회사,2015,2014,72.75074685914751,121.08948787495609,1.0,low,ols_shrunk,0.9676375404530745,0.3269071243645667,3.0,
1048134515,금호폴리켐주식회사,2015,2014,-12.889818547579429,-21.64478780292214,-1.0,low,ols_shrunk,0.6381877022653721,0.3868354732974273,3.0,
1048136755,한덕화학주식회사,2015,2014,-15.049094892431519,-25.243581711008957,-1.0,low,ols_shrunk,0.6783171521035599,0.937484796055422,3.0,
1048149115,여천NCC(주),2015,2014,-9.637584404340545,-16.224397564190667,-1.0,low,ols_shrunk,0.5728155339805825,0.5635048318016358,3.0,
1048152769,코오롱생명과학(주),2015,2014,-28.4280769950183,-47.54188521532026,-1.0,low,ols_shrunk,0.8323624595469256,0.837488177419045,3.0,
1048156367,폴리미래주식회사,2015,2014,25.196272940245088,41.83203134345206,1.0,low,ols_shrunk,0.8084142394822007,0.8029716968700102,3.0,
1048158517,정우신약주식회사,2015,2014,-50.597899173190406,-84.4915888456071,-1.0,low,ols_shrunk,0.9281553398058252,0.9556262487654729,3.0,
1048167850,오씨아이페로(주),2015,2014,-6.817408313667492,-11.524104079735576,-1.0,low,ols_shrunk,0.4899676375404531,0.985256198424846,3.0,
1048655679,주식회사현대엘앤씨,2015,2014,0.2426353354346337,,1.0,,global_median,0.14789644012944983,,,
1058100769,삼진제약(주),2015,2014,14.470855060307375,23.9563348768892,1.0,low,ols_shrunk,0.6679611650485436,0.897883829300715,3.0,
1058103956,주식회사풍농,2015,2014,21.10843518951422,35.01896842556728,1.0,low,ols_shrunk,0.7676375404530744,0.25227918445826913,3.0,
1058127512,대한파카라이징(주),2015,2014,-2.7490978842363645,-4.743586697350363,-1.0,low,ols_shrunk,0.3637540453074434,0.07695058594619808,3.0,
1058137077,용산케미칼주식회사,2015,2014,-10.98841357726042,-18.475779519057124,-1.0,low,ols_shrunk,0.6071197411003236,0.09202998474038426,3.0,
1058159649,한국엔지니어링플라스틱(주),2015,2014,0.7933749271041503,1.160534654883828,1.0,low,ols_shrunk,0.3022653721682848,0.004692574338491351,3.0,
1058173485,(주)현일코프레이션,2015,2014,38.53246840782467,64.05902378941803,1.0,low,ols_shrunk,0.8906148867313916,0.5913753201426096,3.0,
1058184395,(주)다산제약,2015,2014,-53.90899079218512,-90.01007487726496,-1.0,low,ols_shrunk,0.9365695792880259,0.4490611418416438,3.0,
1058195679,아이에스티엠씨주식회사,2015,2014,24.34972519383582,40.421118432769944,1.0,low,ols_shrunk,0.8025889967637541,0.2426550612452555,3.0,
1058614410,(주)에스이엠,2015,2014,14.909715031395224,24.687768162035617,1.0,low,ols_shrunk,0.6770226537216828,0.6857803290864123,3.0,
1058638896,주식회사펜믹스,2015,2014,0.5563686875297853,0.7655242555932197,1.0,low,ols_shrunk,0.29579288025889966,0.0021643162988052023,3.0,
1058650172,(주)듀켐바이오,2015,2014,-11.401355596443231,-19.164016217695142,-1.0,low,ols_shrunk,0.6116504854368932,0.10591765936560704,3.0,
1058661077,주식회사수달코리아,2015,2014,-13.65223807505489,-22.91548701538124,-1.0,low,ols_shrunk,0.6550161812297735,0.4570933508288456,3.0,
1058690704,(주)라파스,2015,2014,0.2426353354346337,,1.0,,global_median,0.14789644012944983,,,
1058762694,(주)카버코리아,2015,2014,0.2426353354346337,,1.0,,global_median,0.14789644012944983,,,
1068100011,(주)아모레퍼시픽홀딩스,2015,2014,4.830987129955186,7.889888326302221,1.0,low,ols_shrunk,0.4323624595469256,0.17798219185419317,3.0,
1068100516,이연제약(주),2015,2014,7.586617385943028,12.482605419615291,1.0,low,ols_shrunk,0.513915857605178,0.3932436164838261,3.0,
1068100710,일성아이에스(주),2015,2014,-30.525459640266845,-51.037522957401166,-1.0,low,ols_shrunk,0.8491909385113269,0.7774277498641275,3.0,
1068108804,한국베링거인겔하임주식회사,2015,2014,-3.491066851477996,-5.980201642753083,-1.0,low,ols_shrunk,0.3889967637540453,0.2283197798540153,3.0,
1068118826,주식회사태준제약,2015,2014,7.398800867753267,12.169577889299024,1.0,low,ols_shrunk,0.5074433656957928,0.8515248590352456,3.0,
1068121414,디디피스페셜티프로덕츠코리아주식회사,2015,2014,-16.516763987846282,-27.68969687003356,-1.0,low,ols_shrunk,0.7029126213592233,0.859848472874566,3.0,
1068156683,주식회사글락소스미스클라인,2015,2014,-1.390893994680538,-2.4799135480906527,-1.0,low,ols_shrunk,0.32297734627831715,0.17131306037394878,3.0,
1068157886,에어리퀴드코리아주식회사,2015,2014,-61.650023930166505,-102.9117967739006,-1.0,low,ols_shrunk,0.9508090614886732,0.9909793449200199,3.0,
1068185742,용산미쓰이화학주식회사,2015,2014,20.6778338412213,34.301299511745746,1.0,low,ols_shrunk,0.7585760517799353,0.83556786721923,3.0,
1068643373,(주)아모레퍼시픽,2015,2014,3.608077647201237,5.85170585504564,1.0,low,ols_shrunk,0.39223300970873787,0.028220338542228385,3.0,
1068676646,주식회사아미코스메틱,2015,2014,0.2426353354346337,,1.0,,global_median,0.14789644012944983,,,
1078114046,주식회사유상,2015,2014,3.8740496066707735,6.294992454161534,1.0,low,ols_shrunk,0.4006472491909385,0.8282567981364263,3.0,
1078132423,대일소재(주),2015,2014,-11.74391619750237,-19.73495055279371,-1.0,low,ols_shrunk,0.6161812297734628,0.711809392229676,3.0,
1078134737,대한약품공업(주),2015,2014,-5.721025102538757,-9.69679872785435,-1.0,low,ols_shrunk,0.4608414239482201,0.31229139196740074,3.0,
1078135890,한양잉크주식회사,2015,2014,-4.670600403683816,-7.946090896429448,-1.0,low,ols_shrunk,0.42394822006472493,0.17563072513311773,3.0,
1078156099,(주)세풍폴리머,2015,2014,0.2426353354346337,,1.0,,global_median,0.14789644012944983,,,
1078158461,(주)한신기전,2015,2014,11.522445743774231,19.04231934933396,1.0,low,ols_shrunk,0.6142394822006473,0.054134789125584004,3.0,
1078163213,(주)성원피앤에스,2015,2014,9.636715535895798,15.899435669536574,1.0,low,ols_shrunk,0.572168284789644,0.7654446678815177,3.0,
1078176528,(주)유창하이텍,2015,2014,8.064607145307551,13.279255018556162,1.0,low,ols_shrunk,0.5262135922330097,0.9732988135173395,3.0,
1078180508,(주)엠케이켐앤텍,2015,2014,-8.169093172583965,-13.7769121779297,-1.0,low,ols_shrunk,0.5288025889967638,0.5550661823910192,3.0,
1078187457,주식회사엠엔비그린어스,2015,2014,-1.7384740220546115,-3.0592135937141087,-1.0,low,ols_shrunk,0.3320388349514563,0.049172114430074965,3.0,
1078195530,(주)신오케미칼,2015,2014,12.903348109469768,21.343823292159858,1.0,low,ols_shrunk,0.6388349514563106,0.7996604548225401,3.0,
1078198139,(주)엘지화학,2015,2014,-4.481677087649608,-7.631218703039103,-1.0,low,ols_shrunk,0.41423948220064727,0.6510252253003926,3.0,
1078198143,(주)엘지생활건강,2015,2014,-3.343340896542512,-5.73399171786061,-1.0,low,ols_shrunk,0.3857605177993528,0.386217599628808,3.0,
1078646956,발카코리아주식회사,2015,2014,-37.4283527436013,-62.54234479629192,-1.0,low,ols_shrunk,0.886084142394822,0.9003050750048089,3.0,
1078718122,(주)엘엑스하우시스,2015,2014,9.665224990726514,15.946951427587766,1.0,low,ols_shrunk,0.574757281553398,0.9368691220032085,3.0,
1078734817,(주)에스씨엘사이언스,2015,2014,0.2426353354346337,,1.0,,global_median,0.14789644012944983,,,
1078740449,주식회사실리만,2015,2014,89.30986698043799,148.68802141044023,1.0,low,ols_shrunk,0.976051779935275,0.8397430808105186,3.0,
1078760028,주식회사동우에너지소재,2015,2014,53.177219698126734,88.46694260658813,1.0,low,ols_shrunk,0.9326860841423948,0.8343133117658212,3.0,
1088600365,(주)마녀공장,2015,2014,0.2426353354346337,,1.0,,global_median,0.14789644012944983,,,
1098104258,(주)원풍,2015,2014,-11.794493403850652,-19.81924589670751,-1.0,low,ols_shrunk,0.6181229773462783,0.7811138628720062,3.0,
1098128100,주식회사태광뉴텍,2015,2014,-32.385906912396145,-54.13826841095,-1.0,low,ols_shrunk,0.86084142394822,0.9433713394016522,3.0,
