사업자등록번호,회사명,테스트_연도,훈련_끝,beta_i,beta_i_raw,beta_sign,beta_quality,beta_src,S2,r2,n_obs,granger_p
0008120006,글로벌에스엠테크리미티드,2015,2014,0.8331516639933846,1.388586106655641,1.0,low,ols_shrunk,0.5873671782762692,0.0033255398723450735,3.0,
0008120010,딥커머스리미티드,2015,2014,-15.119494896187328,-25.199158160312216,-1.0,low,ols_shrunk,0.7638724911452184,0.26397659880312363,3.0,
0008120016,차이나크리스탈신소재홀딩스,2015,2014,0.0,,0.0,,global_median,0.28659976387249114,,,
0008120022,오가닉티코스메틱스홀딩스컴퍼니리미티드,2015,2014,0.0,,0.0,,global_median,0.28659976387249114,,,
1018100210,대왕산업(주),2015,2014,-5.695381561914032,-9.492302603190053,-1.0,low,ols_shrunk,0.6649940968122786,0.8800016217208185,3.0,
1018100340,대일건설주식회사,2015,2014,-3.7682245720207677,-6.28037428670128,-1.0,low,ols_shrunk,0.6384297520661157,0.7833571968752138,3.0,
1018101126,우성개발(주),2015,2014,2.656339462423373,4.427232437372289,1.0,low,ols_shrunk,0.6195395513577332,0.16911647013741282,3.0,
1018101242,주식회사코아토탈시스템,2015,2014,11.526621123409802,19.211035205683004,1.0,low,ols_shrunk,0.7296340023612751,0.9987875292415879,3.0,
1018103819,대광흥산주식회사,2015,2014,5.837655775261446,9.72942629210241,1.0,low,ols_shrunk,0.6682408500590319,0.9844479329908276,3.0,
1018104161,에이치와이에셋(주),2015,2014,-16.329119937704053,-27.215199896173424,-1.0,low,ols_shrunk,0.7742030696576151,0.2723684569684357,3.0,
1018104477,신창기업,2015,2014,-5.014500352104844,-8.357500586841407,-1.0,low,ols_shrunk,0.6549586776859504,0.6866609298487063,3.0,
1018117254,서우수력주식회사,2015,2014,7.754614900785125,12.924358167975209,1.0,low,ols_shrunk,0.6906729634002361,0.982044406967264,3.0,
1018119140,성안흥업주식회사,2015,2014,0.05953275591614475,0.09922125986024126,1.0,low,ols_shrunk,0.5737898465171193,4.369041619167735e-05,3.0,
1018121646,오원물산(주),2015,2014,-15.716854321536754,-26.19475720256126,-1.0,low,ols_shrunk,0.7688902007083825,0.9044555523689262,3.0,
1018133287,신영흥산(주),2015,2014,14.385521597508648,23.97586932918108,1.0,low,ols_shrunk,0.7567886658795749,0.43641566660734976,3.0,
1018135117,주식회사에스케이산업,2015,2014,4.9786461182035255,8.29774353033921,1.0,low,ols_shrunk,0.6537780401416765,0.9999686760198934,3.0,
1018137885,(주)진영디앤씨,2015,2014,0.0,,0.0,,global_median,0.28659976387249114,,,
1018138657,레오버넷주식회사,2015,2014,-25.495082395810986,-42.49180399301831,-1.0,low,ols_shrunk,0.8282172373081464,0.8324427434172352,3.0,
1018138768,세일여행사,2015,2014,-31.42542501860083,-52.37570836433472,-1.0,low,ols_shrunk,0.8538961038961039,0.9613747125467551,3.0,
1018146496,주식회사아우건이앤씨,2015,2014,-1.147242932975128,-1.9120715549585467,-1.0,low,ols_shrunk,0.5935655253837072,0.14285578146546973,3.0,
1018148121,국제갤러리주식회사,2015,2014,0.0,,0.0,,global_median,0.28659976387249114,,,
1018149343,씨비알이코리아(주),2015,2014,0.0,,0.0,,global_median,0.28659976387249114,,,
1018150419,주식회사엠티홀딩스,2015,2014,8.830061989101898,14.716769981836496,1.0,low,ols_shrunk,0.7024793388429752,0.18449450358555808,3.0,
1018151437,페이토(주),2015,2014,-11.280957510258782,-18.801595850431305,-1.0,low,ols_shrunk,0.7269775678866588,0.25797129538139485,3.0,
1018151742,미디어브랜즈코리아주식회사,2015,2014,26.896435380742158,44.827392301236934,1.0,low,ols_shrunk,0.8361865407319953,0.8650346558425405,3.0,
1018154297,우암홀딩스주식회사,2015,2014,0.0,,0.0,,global_median,0.28659976387249114,,,
1018155054,주식회사새빛한빛,2015,2014,0.0,,0.0,,global_median,0.28659976387249114,,,
1018157329,(주)드림씨아이에스,2015,2014,-37.61276913949073,-62.68794856581789,-1.0,low,ols_shrunk,0.8695395513577332,0.7428897788068787,3.0,
1018166755,현대엔지니어링(주),2015,2014,16.858398743992616,28.097331239987696,1.0,low,ols_shrunk,0.7774498229043684,0.015926863480255626,3.0,
1018166911,(주)나라감정평가법인,2015,2014,8.00578257890665,13.342970964844419,1.0,low,ols_shrunk,0.6942148760330579,0.9866836450704985,3.0,
