산업명,코드,테스트_연도,훈련_시작,훈련_끝,n_obs,beta_i,alpha,r2,decay_lambda,granger_p,actual_dM,actual_dF,pred_dF,beta_bench,beta_adj,beta_adj_minmax
음식료품 제조업,"C10, C11",2015,2012,2014,3,-21.562502,96.629603,0.985521,0.8,,6.243,4.54,-37.9859,-4.788244,-16.774258,8.98
음식료품 제조업,"C10, C11",2016,2012,2015,4,-1.189583,11.074634,0.092924,0.8,,5.2994,2.94,4.7706,-0.468927,-0.720656,57.71
음식료품 제조업,"C10, C11",2017,2012,2016,5,-1.405462,11.614533,0.122628,0.8,0.6438,5.5213,4.73,3.8545,-0.470742,-0.93472,57.06
음식료품 제조업,"C10, C11",2018,2012,2017,6,-1.250679,11.053406,0.106399,0.8,0.7063,3.7607,4.18,6.35,0.269455,-1.520134,55.28
음식료품 제조업,"C10, C11",2019,2012,2018,7,-0.520247,6.994764,0.034577,0.8,0.7947,1.6751,2.3,6.1233,0.630432,-1.150679,56.4
음식료품 제조업,"C10, C11",2020,2012,2019,8,0.395916,2.363138,0.067375,0.8,0.6126,0.8758,2.32,2.7099,0.819945,-0.424029,58.61
음식료품 제조업,"C10, C11",2021,2012,2020,9,0.456593,2.071701,0.159223,0.8,0.173,7.9402,6.75,5.6971,1.223764,-0.767172,57.57
음식료품 제조업,"C10, C11",2022,2012,2021,10,0.5862,1.743263,0.413547,0.8,0.6188,4.5847,14.08,4.4308,2.095924,-1.509724,55.31
음식료품 제조업,"C10, C11",2023,2012,2022,11,0.660629,3.526614,0.108218,0.8,0.1916,3.6538,1.98,5.9404,2.169575,-1.508945,55.32
음식료품 제조업,"C10, C11",2024,2012,2023,12,0.782761,2.157831,0.128853,0.8,0.1454,6.1515,2.81,6.973,2.320631,-1.53787,55.23
