산업명,코드,테스트_연도,훈련_시작,훈련_끝,n_obs,beta_i,alpha,r2,decay_lambda,granger_p,actual_dM,actual_dF,pred_dF,beta_bench,beta_adj,beta_adj_minmax
"화학, 의약품, 고무, 플라스틱 제조업","C20, C21, C22",2015,2012,2014,3,-0.285966,4.632393,0.006933,0.8,,6.243,1.41,2.8471,-4.788244,4.502278,73.56
"화학, 의약품, 고무, 플라스틱 제조업","C20, C21, C22",2016,2012,2015,4,-0.974438,7.523597,0.71041,0.8,,5.2994,3.88,2.3597,-0.468927,-0.505511,58.36
"화학, 의약품, 고무, 플라스틱 제조업","C20, C21, C22",2017,2012,2016,5,-0.795144,7.075195,0.380162,0.8,0.7362,5.5213,7.81,2.6849,-0.470742,-0.324403,58.91
"화학, 의약품, 고무, 플라스틱 제조업","C20, C21, C22",2018,2012,2017,6,0.110959,3.790347,0.001302,0.8,0.2468,3.7607,5.71,4.2076,0.269455,-0.158496,59.42
"화학, 의약품, 고무, 플라스틱 제조업","C20, C21, C22",2019,2012,2018,7,-0.394748,6.600307,0.028616,0.8,0.4127,1.6751,0.9,5.939,0.630432,-1.02518,56.78
"화학, 의약품, 고무, 플라스틱 제조업","C20, C21, C22",2020,2012,2019,8,0.812748,0.495858,0.267472,0.8,0.192,0.8758,4.36,1.2077,0.819945,-0.007197,59.87
"화학, 의약품, 고무, 플라스틱 제조업","C20, C21, C22",2021,2012,2020,9,0.322176,2.852137,0.082076,0.8,0.5566,7.9402,17.81,5.4103,1.223764,-0.901589,57.16
"화학, 의약품, 고무, 플라스틱 제조업","C20, C21, C22",2022,2012,2021,10,1.848589,-1.01593,0.601289,0.8,0.1545,4.5847,11.63,7.4593,2.095924,-0.247335,59.15
"화학, 의약품, 고무, 플라스틱 제조업","C20, C21, C22",2023,2012,2022,11,1.880759,-0.245112,0.55441,0.8,0.1362,3.6538,-4.76,6.6268,2.169575,-0.288816,59.02
"화학, 의약품, 고무, 플라스틱 제조업","C20, C21, C22",2024,2012,2023,12,2.231906,-4.180569,0.384358,0.8,0.5023,6.1515,3.44,9.549,2.320631,-0.088724,59.63
