산업명,코드,테스트_연도,훈련_시작,훈련_끝,n_obs,beta_i,alpha,r2,decay_lambda,granger_p,actual_dM,actual_dF,pred_dF,beta_bench,beta_adj,beta_adj_minmax
금속가공제품 제조업,C25,2015,2012,2014,3,-0.990007,7.889848,0.136102,0.8,,6.243,2.48,1.7092,-4.788244,3.798237,71.42
금속가공제품 제조업,C25,2016,2012,2015,4,-0.620739,6.33913,0.656282,0.8,,5.2994,1.84,3.0496,-0.468927,-0.151812,59.44
금속가공제품 제조업,C25,2017,2012,2016,5,-0.763386,6.69588,0.488039,0.8,0.2196,5.5213,5.24,2.481,-0.470742,-0.292645,59.01
금속가공제품 제조업,C25,2018,2012,2017,6,-0.275594,4.927515,0.024513,0.8,0.0645,3.7607,1.37,3.8911,0.269455,-0.54505,58.24
금속가공제품 제조업,C25,2019,2012,2018,7,0.573021,0.212187,0.119862,0.8,0.1929,1.6751,2.47,1.1721,0.630432,-0.057411,59.72
금속가공제품 제조업,C25,2020,2012,2019,8,0.262004,1.784522,0.097526,0.8,0.7621,0.8758,-1.88,2.014,0.819945,-0.557941,58.2
금속가공제품 제조업,C25,2021,2012,2020,9,0.868,-1.126148,0.519532,0.8,0.1451,7.9402,14.27,5.7659,1.223764,-0.355765,58.82
금속가공제품 제조업,C25,2022,2012,2021,10,1.914854,-3.778969,0.764291,0.8,0.7808,4.5847,13.88,5.0001,2.095924,-0.18107,59.35
금속가공제품 제조업,C25,2023,2012,2022,11,1.983349,-2.137796,0.511109,0.8,0.6981,3.6538,3.23,5.1089,2.169575,-0.186226,59.33
금속가공제품 제조업,C25,2024,2012,2023,12,2.041291,-2.787184,0.521899,0.8,0.9752,6.1515,-0.07,9.7698,2.320631,-0.27934,59.05
