산업명,코드,테스트_연도,훈련_시작,훈련_끝,n_obs,beta_i,alpha,r2,decay_lambda,granger_p,actual_dM,actual_dF,pred_dF,beta_bench,beta_adj,beta_adj_minmax
기타 기계 및 장비 제조업,C29,2015,2012,2014,3,0.142131,-0.013828,0.000337,0.8,,6.243,2.29,0.8735,-4.788244,4.930375,74.86
기타 기계 및 장비 제조업,C29,2016,2012,2015,4,0.820736,-2.863593,0.260335,0.8,,5.2994,2.78,1.4858,-0.468927,1.289662,63.81
기타 기계 및 장비 제조업,C29,2017,2012,2016,5,0.97336,-3.245296,0.291325,0.8,0.6361,5.5213,15.44,2.1289,-0.470742,1.444102,64.28
기타 기계 및 장비 제조업,C29,2018,2012,2017,6,3.326741,-11.776879,0.15688,0.8,0.8279,3.7607,-0.05,0.734,0.269455,3.057286,69.18
기타 기계 및 장비 제조업,C29,2019,2012,2018,7,3.590632,-13.243188,0.289939,0.8,0.5035,1.6751,-1.82,-7.2283,0.630432,2.9602,68.88
기타 기계 및 장비 제조업,C29,2020,2012,2019,8,2.294642,-6.691358,0.383729,0.8,0.3174,0.8758,0.53,-4.6816,0.819945,1.474697,64.37
기타 기계 및 장비 제조업,C29,2021,2012,2020,9,1.483591,-2.795782,0.30786,0.8,0.3325,7.9402,13.28,8.9842,1.223764,0.259827,60.68
기타 기계 및 장비 제조업,C29,2022,2012,2021,10,2.012403,-4.135838,0.633278,0.8,0.7347,4.5847,9.63,5.0905,2.095924,-0.083521,59.64
기타 기계 및 장비 제조업,C29,2023,2012,2022,11,2.047418,-3.296847,0.580498,0.8,0.949,3.6538,0.06,4.184,2.169575,-0.122156,59.53
기타 기계 및 장비 제조업,C29,2024,2012,2023,12,2.174594,-4.72216,0.564954,0.8,0.9294,6.1515,1.99,8.6548,2.320631,-0.146037,59.45
