산업명,코드,테스트_연도,훈련_시작,훈련_끝,n_obs,beta_i,alpha,r2,decay_lambda,granger_p,actual_dM,actual_dF,pred_dF,beta_bench,beta_adj,beta_adj_minmax
"전자부품, 컴퓨터, 전기장비 제조업","C26, C28",2015,2012,2014,3,-18.260756,77.309714,0.426493,0.8,,6.243,-1.44,-36.6928,-4.788244,-13.472512,19.01
"전자부품, 컴퓨터, 전기장비 제조업","C26, C28",2016,2012,2015,4,-1.372136,6.386873,0.073979,0.8,,5.2994,0.17,-0.8846,-0.468927,-0.903209,57.15
"전자부품, 컴퓨터, 전기장비 제조업","C26, C28",2017,2012,2016,5,-1.247765,6.075828,0.063938,0.8,0.8723,5.5213,15.52,-0.8135,-0.470742,-0.777023,57.54
"전자부품, 컴퓨터, 전기장비 제조업","C26, C28",2018,2012,2017,6,1.639977,-4.392943,0.02448,0.8,0.663,3.7607,4.07,1.7745,0.269455,1.370522,64.06
"전자부품, 컴퓨터, 전기장비 제조업","C26, C28",2019,2012,2018,7,0.8673,-0.099563,0.012929,0.8,0.6122,1.6751,-4.39,1.3533,0.630432,0.236867,60.62
"전자부품, 컴퓨터, 전기장비 제조업","C26, C28",2020,2012,2019,8,2.243553,-7.057157,0.251345,0.8,0.3986,0.8758,4.28,-5.0922,0.819945,1.423608,64.22
"전자부품, 컴퓨터, 전기장비 제조업","C26, C28",2021,2012,2020,9,0.785025,-0.051671,0.059412,0.8,0.7694,7.9402,15.66,6.1816,1.223764,-0.438739,58.56
"전자부품, 컴퓨터, 전기장비 제조업","C26, C28",2022,2012,2021,10,1.951823,-3.008442,0.421081,0.8,0.4237,4.5847,8.31,5.9401,2.095924,-0.144101,59.46
"전자부품, 컴퓨터, 전기장비 제조업","C26, C28",2023,2012,2022,11,1.970103,-2.570445,0.417471,0.8,0.5616,3.6538,-3.84,4.6279,2.169575,-0.199471,59.29
"전자부품, 컴퓨터, 전기장비 제조업","C26, C28",2024,2012,2023,12,2.231237,-5.497085,0.378712,0.8,0.5964,6.1515,9.2,8.2283,2.320631,-0.089394,59.62
