산업명,코드,테스트_연도,훈련_시작,훈련_끝,n_obs,beta_i,alpha,r2,decay_lambda,granger_p,actual_dM,actual_dF,pred_dF,beta_bench,beta_adj,beta_adj_minmax
운송장비 제조업,"C30, C31",2015,2012,2014,3,-0.910403,4.413935,0.069505,0.8,,6.243,3.07,-1.2697,-4.788244,3.877841,71.67
운송장비 제조업,"C30, C31",2016,2012,2015,4,1.168642,-4.316903,0.73454,0.8,,5.2994,-5.69,1.8762,-0.468927,1.637569,64.87
운송장비 제조업,"C30, C31",2017,2012,2016,5,0.276358,-2.085361,0.004509,0.8,0.5804,5.5213,-11.72,-0.5595,-0.470742,0.7471,62.16
운송장비 제조업,"C30, C31",2018,2012,2017,6,-1.696806,5.067842,0.049141,0.8,0.1038,3.7607,-4.77,-1.3133,0.269455,-1.966262,53.93
운송장비 제조업,"C30, C31",2019,2012,2018,7,-0.533267,-1.397359,0.009083,0.8,0.2252,1.6751,8.42,-2.2907,0.630432,-1.163699,56.36
운송장비 제조업,"C30, C31",2020,2012,2019,8,-3.09984,11.57785,0.491149,0.8,0.0774,0.8758,-0.45,8.8629,0.819945,-3.919785,48.0
운송장비 제조업,"C30, C31",2021,2012,2020,9,-1.650536,4.616668,0.275006,0.8,0.2569,7.9402,3.26,-8.4889,1.223764,-2.8743,51.17
운송장비 제조업,"C30, C31",2022,2012,2021,10,-0.204237,0.951618,0.008832,0.8,0.1919,4.5847,13.72,0.0152,2.095924,-2.300161,52.91
운송장비 제조업,"C30, C31",2023,2012,2022,11,-0.098526,3.484518,0.000886,0.8,0.7683,3.6538,21.23,3.1245,2.169575,-2.2681,53.01
운송장비 제조업,"C30, C31",2024,2012,2023,12,-0.656866,9.74207,0.017774,0.8,0.6414,6.1515,11.24,5.7014,2.320631,-2.977496,50.86
