산업명,코드,테스트_연도,훈련_시작,훈련_끝,n_obs,beta_i,alpha,r2,decay_lambda,granger_p,actual_dM,actual_dF,pred_dF
"전기, 가스, 증기 및 수도사업",D35,2015,2012,2014,3,-24.522605,110.780722,0.805812,0.8,,6.243,-10.86,-42.3148
"전기, 가스, 증기 및 수도사업",D35,2016,2012,2015,4,-9.453524,47.498936,0.88131,0.8,,5.2994,-4.75,-2.599
"전기, 가스, 증기 및 수도사업",D35,2017,2012,2016,5,-9.70719,48.133335,0.880385,0.8,0.3792,5.5213,3.18,-5.4632
"전기, 가스, 증기 및 수도사업",D35,2018,2012,2017,6,-8.179084,42.593578,0.650979,0.8,0.4179,3.7607,7.78,11.8346
"전기, 가스, 증기 및 수도사업",D35,2019,2012,2018,7,-6.814294,35.01013,0.687678,0.8,0.1686,1.6751,-2.42,23.5952
"전기, 가스, 증기 및 수도사업",D35,2020,2012,2019,8,-0.580333,3.494579,0.018135,0.8,0.0945,0.8758,-7.79,2.9863
"전기, 가스, 증기 및 수도사업",D35,2021,2012,2020,9,1.096709,-4.560458,0.090443,0.8,0.1694,7.9402,13.74,4.1476
"전기, 가스, 증기 및 수도사업",D35,2022,2012,2021,10,2.277535,-7.552775,0.452702,0.8,0.6353,4.5847,47.48,2.8891
"전기, 가스, 증기 및 수도사업",D35,2023,2012,2022,11,2.621486,0.688477,0.08639,0.8,0.2879,3.6538,0.1,10.2668
"전기, 가스, 증기 및 수도사업",D35,2024,2012,2023,12,2.935012,-2.825343,0.102852,0.8,0.1933,6.1515,-2.17,15.2293
