산업명,코드,테스트_연도,훈련_시작,훈련_끝,n_obs,beta_i,alpha,r2,decay_lambda,granger_p,actual_dM,actual_dF,pred_dF
숙박 및 음식점업,I,2015,2012,2014,3,-3.109912,24.803922,0.119115,0.8,,6.243,8.73,5.3886
숙박 및 음식점업,I,2016,2012,2015,4,-1.509158,18.081642,0.491888,0.8,,5.2994,9.04,10.084
숙박 및 음식점업,I,2017,2012,2016,5,-1.632279,18.389561,0.510403,0.8,0.3509,5.5213,5.23,9.3772
숙박 및 음식점업,I,2018,2012,2017,6,-2.365504,21.047678,0.414613,0.8,0.4916,3.7607,7.01,12.1517
숙박 및 음식점업,I,2019,2012,2018,7,-0.634758,11.430798,0.050631,0.8,0.553,1.6751,7.01,10.3675
숙박 및 음식점업,I,2020,2012,2019,8,0.169789,7.363443,0.013509,0.8,0.8234,0.8758,-16.07,7.5121
숙박 및 음식점업,I,2021,2012,2020,9,3.839717,-10.263665,0.498379,0.8,0.0421,7.9402,15.12,20.2245
숙박 및 음식점업,I,2022,2012,2021,10,3.211355,-8.67134,0.606309,0.8,0.1436,4.5847,24.65,6.0518
숙박 및 음식점업,I,2023,2012,2022,11,3.354811,-5.234044,0.381609,0.8,0.0331,3.6538,16.17,7.0237
숙박 및 음식점업,I,2024,2012,2023,12,3.072756,-2.072932,0.308417,0.8,0.1063,6.1515,9.6,16.8291
