산업명,코드,테스트_연도,훈련_시작,훈련_끝,n_obs,beta_i,alpha,r2,decay_lambda,granger_p,actual_dM,actual_dF,pred_dF
운수업,H,2015,2012,2014,3,-15.639673,69.333665,0.931355,0.8,,6.243,0.66,-28.3054
운수업,H,2016,2012,2015,4,-1.763197,11.060158,0.311237,0.8,,5.2994,-1.02,1.7163
운수업,H,2017,2012,2016,5,-2.085888,11.867185,0.333262,0.8,0.1413,5.5213,4.2,0.3503
운수업,H,2018,2012,2017,6,-1.40527,9.399778,0.134227,0.8,0.2366,3.7607,5.78,4.115
운수업,H,2019,2012,2018,7,-1.965723,12.513935,0.352481,0.8,0.9759,1.6751,2.11,9.2211
운수업,H,2020,2012,2019,8,-0.261716,3.899391,0.024358,0.8,0.957,0.8758,-7.25,3.6702
운수업,H,2021,2012,2020,9,1.437715,-4.263183,0.32257,0.8,0.0821,7.9402,29.88,7.1526
운수업,H,2022,2012,2021,10,4.235475,-11.352956,0.696887,0.8,0.5062,4.5847,25.52,8.0655
운수업,H,2023,2012,2022,11,4.37011,-8.127037,0.51528,0.8,0.6805,3.6538,-8.96,7.8404
운수업,H,2024,2012,2023,12,4.888204,-13.93353,0.452826,0.8,0.8715,6.1515,11.6,16.1362
