산업명,코드,테스트_연도,훈련_시작,훈련_끝,n_obs,beta_i,alpha,r2,decay_lambda,granger_p,actual_dM,actual_dF,pred_dF
"출판, 영상, 방송통신 및 정보서비스업","J61, J62, J63",2015,2012,2014,3,-4.928464,23.611132,0.762183,0.8,,6.243,1.57,-7.1575
"출판, 영상, 방송통신 및 정보서비스업","J61, J62, J63",2016,2012,2015,4,-0.747396,6.05296,0.407238,0.8,,5.2994,6.98,2.0922
"출판, 영상, 방송통신 및 정보서비스업","J61, J62, J63",2017,2012,2016,5,-0.170977,4.611378,0.003824,0.8,0.0945,5.5213,8.39,3.6674
"출판, 영상, 방송통신 및 정보서비스업","J61, J62, J63",2018,2012,2017,6,0.663981,1.584451,0.03018,0.8,0.006,3.7607,3.02,4.0815
"출판, 영상, 방송통신 및 정보서비스업","J61, J62, J63",2019,2012,2018,7,1.021282,-0.40089,0.120045,0.8,0.1893,1.6751,6.65,1.3099
"출판, 영상, 방송통신 및 정보서비스업","J61, J62, J63",2020,2012,2019,8,-0.258353,6.068254,0.026436,0.8,0.4342,0.8758,7.64,5.842
"출판, 영상, 방송통신 및 정보서비스업","J61, J62, J63",2021,2012,2020,9,-0.538166,7.412232,0.179604,0.8,0.9236,7.9402,20.0,3.1391
"출판, 영상, 방송통신 및 정보서비스업","J61, J62, J63",2022,2012,2021,10,1.537422,2.152505,0.381331,0.8,0.1616,4.5847,6.24,9.2012
"출판, 영상, 방송통신 및 정보서비스업","J61, J62, J63",2023,2012,2022,11,1.514581,1.605226,0.357602,0.8,0.0588,3.6538,5.75,7.1392
"출판, 영상, 방송통신 및 정보서비스업","J61, J62, J63",2024,2012,2023,12,1.557421,1.125104,0.371538,0.8,0.0423,6.1515,6.64,10.7056
