산업명,코드,테스트_연도,훈련_시작,훈련_끝,n_obs,beta_i,alpha,r2,decay_lambda,granger_p,actual_dM,actual_dF,pred_dF,beta_bench,beta_adj,beta_adj_minmax
부동산업 및 임대업,"L, M, N",2015,2012,2014,3,-2.062967,16.626147,0.114779,0.8,,6.243,14.05,3.747,-4.788244,2.725277,68.17
부동산업 및 임대업,"L, M, N",2016,2012,2015,4,2.872917,-4.101831,0.817767,0.8,,5.2994,10.77,11.1229,-0.468927,3.341844,70.04
부동산업 및 임대업,"L, M, N",2017,2012,2016,5,2.8313,-3.99775,0.817489,0.8,0.9612,5.5213,13.42,11.6348,-0.470742,3.302042,69.92
부동산업 및 임대업,"L, M, N",2018,2012,2017,6,3.146927,-5.141974,0.788006,0.8,0.8563,3.7607,4.73,6.6927,0.269455,2.877472,68.63
부동산업 및 임대업,"L, M, N",2019,2012,2018,7,3.807569,-8.812828,0.884021,0.8,0.6186,1.6751,5.11,-2.4346,0.630432,3.177137,69.54
부동산업 및 임대업,"L, M, N",2020,2012,2019,8,1.999676,0.326904,0.718631,0.8,0.7137,0.8758,6.83,2.0783,0.819945,1.179731,63.48
부동산업 및 임대업,"L, M, N",2021,2012,2020,9,1.2602,3.878699,0.540356,0.8,0.6833,7.9402,16.52,13.8849,1.223764,0.036435,60.01
부동산업 및 임대업,"L, M, N",2022,2012,2021,10,1.584577,3.056698,0.791334,0.8,0.3027,4.5847,10.93,10.3215,2.095924,-0.511347,58.34
부동산업 및 임대업,"L, M, N",2023,2012,2022,11,1.58927,3.169152,0.789537,0.8,0.2823,3.6538,1.0,8.976,2.169575,-0.580304,58.13
부동산업 및 임대업,"L, M, N",2024,2012,2023,12,1.835236,0.412514,0.512021,0.8,0.469,6.1515,6.73,11.7019,2.320631,-0.485395,58.42
