산업명,코드,테스트_연도,훈련_시작,훈련_끝,n_obs,beta_i,alpha,r2,decay_lambda,granger_p,actual_dM,actual_dF,pred_dF,beta_bench,beta_adj,beta_adj_minmax
"예술, 스포츠 및 여가관련 서비스업","R, S95, S96",2015,2012,2014,3,-2.886517,21.547172,0.907564,0.8,,6.243,7.56,3.5265,-4.788244,1.901727,65.67
"예술, 스포츠 및 여가관련 서비스업","R, S95, S96",2016,2012,2015,4,-0.954203,13.432522,0.859176,0.8,,5.2994,8.56,8.3758,-0.468927,-0.485276,58.42
"예술, 스포츠 및 여가관련 서비스업","R, S95, S96",2017,2012,2016,5,-0.932483,13.378202,0.851175,0.8,0.7339,5.5213,6.83,8.2297,-0.470742,-0.461741,58.49
"예술, 스포츠 및 여가관련 서비스업","R, S95, S96",2018,2012,2017,6,-1.179942,14.275301,0.642987,0.8,0.526,3.7607,8.23,9.8379,0.269455,-1.449397,55.5
"예술, 스포츠 및 여가관련 서비스업","R, S95, S96",2019,2012,2018,7,-0.638711,11.267957,0.355667,0.8,0.553,1.6751,6.27,10.198,0.630432,-1.269144,56.04
"예술, 스포츠 및 여가관련 서비스업","R, S95, S96",2020,2012,2019,8,0.302552,6.509437,0.160082,0.8,0.5095,0.8758,-14.94,6.7744,0.819945,-0.517393,58.33
"예술, 스포츠 및 여가관련 서비스업","R, S95, S96",2021,2012,2020,9,3.681818,-9.721588,0.53206,0.8,0.0049,7.9402,14.37,19.5128,1.223764,2.458053,67.36
"예술, 스포츠 및 여가관련 서비스업","R, S95, S96",2022,2012,2021,10,3.048737,-8.117306,0.630666,0.8,0.0575,4.5847,31.16,5.8603,2.095924,0.952813,62.79
"예술, 스포츠 및 여가관련 서비스업","R, S95, S96",2023,2012,2022,11,3.243886,-3.441441,0.281836,0.8,0.0113,3.6538,-2.76,8.411,2.169575,1.074312,63.16
"예술, 스포츠 및 여가관련 서비스업","R, S95, S96",2024,2012,2023,12,3.58838,-7.302327,0.292143,0.8,0.0081,6.1515,6.84,14.7715,2.320631,1.267749,63.74
