기준연도,사업자등록번호,회계년도,생애주기_최종,생애주기_점수,부실라벨_ICR3년
2015,1018186090,2012,도입기,56.5,1
2015,1018636260,2015,성숙기,2.2,0
2015,1018666838,2015,성숙기,2.2,0
2015,1028105450,2015,성숙기,2.2,0
2015,1028141121,2015,성숙기,2.2,0
2015,1048104326,2015,성숙기,2.2,0
2015,1048104345,2015,성숙기,2.2,0
2015,1048126373,2015,쇠퇴기,100.0,0
2015,1048127881,2015,성숙기,2.2,0
2015,1048148421,2012,성숙기,2.2,1
2015,1048609535,2015,성숙기,2.2,0
2015,1058122365,2015,성장기,0.0,0
2015,1058175218,2015,성장기,0.0,0
2015,1058187714,2013,조정기,33.7,0
2015,1058616475,2015,쇠퇴기,100.0,1
2015,1058633421,2015,도입기,56.5,0
2015,1058675514,2015,도입기,56.5,0
2015,1058770267,2015,성숙기,2.2,0
2015,1068115815,2013,성숙기,2.2,1
2015,1068118317,2015,성숙기,2.2,0
2015,1068134151,2013,성숙기,2.2,0
2015,1068138502,2015,쇠퇴기,100.0,0
2015,1068649789,2013,쇠퇴기,100.0,0
2015,1068681606,2013,조정기,33.7,0
2015,1078109320,2014,성장기,0.0,0
2015,1078111826,2013,쇠퇴기,100.0,1
2015,1078112091,2012,도입기,56.5,1
2015,1078114027,2015,성숙기,2.2,0
2015,1078132817,2015,성숙기,2.2,0
2015,1078134571,2013,성장기,0.0,0
2015,1078689222,2015,쇠퇴기,100.0,0
2015,1078689241,2015,성숙기,2.2,0
2015,1078722801,2015,성장기,0.0,0
2015,1078723080,2015,도입기,56.5,0
2015,1078809504,2015,성숙기,2.2,0
2015,1088105142,2015,쇠퇴기,100.0,0
2015,1088117143,2015,도입기,56.5,0
2015,1088163967,2015,성숙기,2.2,0
2015,1098114886,2015,성장기,0.0,0
2015,1098155970,2014,성장기,0.0,1
2015,1098178672,2015,도입기,56.5,0
2015,1098179083,2015,성장기,0.0,0
2015,1098601367,2015,성장기,0.0,0
2015,1108109699,2015,조정기,33.7,0
2015,1108165518,2015,도입기,56.5,1
2015,1108175466,2015,도입기,56.5,0
2015,1128122058,2015,성숙기,2.2,0
2015,1128148631,2014,성숙기,2.2,1
2015,1138106497,2015,조정기,33.7,0
2015,1138188859,2015,성장기,0.0,0
2015,1148101796,2015,성숙기,2.2,0
2015,1148116663,2012,조정기,33.7,0
2015,1148134190,2015,조정기,33.7,0
2015,1148149223,2015,성숙기,2.2,0
2015,1148160631,2015,성숙기,2.2,0
2015,1148170065,2015,성숙기,2.2,0
2015,1148186515,2015,성장기,0.0,0
2015,1148663443,2012,도입기,56.5,1
2015,1168133616,2014,성숙기,2.2,1
2015,1178118879,2015,성장기,0.0,0
2015,1188103914,2015,성숙기,2.2,0
2015,1188110754,2015,성장기,0.0,0
2015,1188112107,2015,성숙기,2.2,0
2015,1188113746,2015,성장기,0.0,0
2015,1198132746,2015,성장기,0.0,0
2015,1198139870,2015,성숙기,2.2,0
2015,1198160577,2015,성장기,0.0,0
2015,1208116542,2015,성숙기,2.2,0
2015,1208130530,2015,성장기,0.0,0
2015,1208131960,2014,쇠퇴기,100.0,0
2015,1208154599,2015,성장기,0.0,0
2015,1208601608,2015,조정기,33.7,0
2015,1218107309,2015,도입기,56.5,0
2015,1218125383,2015,성숙기,2.2,0
2015,1218160906,2015,성숙기,2.2,0
2015,1218169514,2013,성숙기,2.2,0
2015,1218195220,2012,도입기,56.5,1
2015,1228100804,2015,성숙기,2.2,0
2015,1228112275,2012,쇠퇴기,100.0,1
2015,1228119787,2015,성숙기,2.2,0
2015,1228119958,2015,성숙기,2.2,0
2015,1228159192,2015,성숙기,2.2,0
2015,1228163696,2015,성장기,0.0,0
2015,1238102673,2015,성장기,0.0,0
2015,1238112055,2012,성숙기,2.2,1
2015,1238117593,2015,성장기,0.0,0
2015,1238129255,2012,조정기,33.7,1
2015,1238133948,2015,성장기,0.0,0
2015,1238161032,2015,성숙기,2.2,0
2015,1238176480,2015,성숙기,2.2,0
2015,1238617394,2015,도입기,56.5,0
2015,1238617792,2014,도입기,56.5,0
2015,1248114925,2015,쇠퇴기,100.0,0
2015,1248120261,2013,도입기,56.5,1
2015,1248123216,2015,성장기,0.0,0
2015,1248130736,2015,성숙기,2.2,0
2015,1248131661,2014,성숙기,2.2,0
2015,1248133086,2015,도입기,56.5,0
2015,1248133091,2012,쇠퇴기,100.0,1
2015,1248141553,2015,성장기,0.0,0
2015,1248151459,2013,도입기,56.5,1
2015,1248157171,2015,쇠퇴기,100.0,0
2015,1248159048,2013,쇠퇴기,100.0,1
2015,1248159164,2015,성장기,0.0,1
2015,1248174302,2015,도입기,56.5,1
2015,1248187073,2015,성숙기,2.2,0
2015,1248189334,2013,성숙기,2.2,1
2015,1248631875,2015,성장기,0.0,0
2015,1248636905,2015,도입기,56.5,0
2015,1248652021,2015,성장기,0.0,0
2015,1248745610,2015,성숙기,2.2,0
2015,1258101888,2015,성장기,0.0,0
2015,1258102096,2015,조정기,33.7,0
2015,1258105093,2015,성장기,0.0,0
2015,1258105282,2015,성숙기,2.2,0
2015,1258118171,2015,도입기,56.5,0
2015,1258132251,2015,성장기,0.0,0
2015,1258133911,2015,성장기,0.0,0
2015,1258135340,2012,성숙기,2.2,0
2015,1258139180,2015,도입기,56.5,0
2015,1258155778,2015,성장기,0.0,0
2015,1258156286,2015,성숙기,2.2,0
2015,1258156888,2015,성숙기,2.2,1
2015,1258172549,2013,쇠퇴기,100.0,1
2015,1258178543,2015,성숙기,2.2,0
2015,1268102269,2015,성숙기,2.2,0
2015,1268103332,2012,성숙기,2.2,0
2015,1268104404,2015,성숙기,2.2,0
2015,1268113882,2015,성숙기,2.2,0
2015,1268124550,2015,성숙기,2.2,0
2015,1268132671,2015,성숙기,2.2,0
2015,1268155790,2015,성장기,0.0,0
2015,1268161273,2013,쇠퇴기,100.0,1
2015,1268166109,2015,조정기,33.7,1
2015,1268175516,2014,성숙기,2.2,0
2015,1268176515,2015,성장기,0.0,0
2015,1268185708,2012,성장기,0.0,1
2015,1268195491,2015,성장기,0.0,0
2015,1268197785,2015,성숙기,2.2,1
2015,1268601377,2015,성숙기,2.2,0
2015,1268606542,2015,성숙기,2.2,0
2015,1268607518,2015,성장기,0.0,0
2015,1268636352,2015,성장기,0.0,0
2015,1268640818,2015,쇠퇴기,100.0,0
2015,1268649352,2015,성숙기,2.2,0
2015,1268677028,2015,쇠퇴기,100.0,0
2015,1278112533,2013,성장기,0.0,1
2015,1278121503,2015,성숙기,2.2,0
2015,1278122569,2015,성숙기,2.2,0
2015,1278134503,2012,조정기,33.7,1
2015,1278135614,2015,성장기,0.0,0
2015,1278148915,2015,성장기,0.0,0
2015,1278150949,2015,성숙기,2.2,0
2015,1278152011,2015,도입기,56.5,0
2015,1278161937,2015,성장기,0.0,0
2015,1278163518,2015,성장기,0.0,0
2015,1278165613,2014,성숙기,2.2,0
2015,1278170775,2015,도입기,56.5,0
2015,1278175407,2013,성장기,0.0,0
2015,1278181118,2013,쇠퇴기,100.0,1
2015,1278193180,2015,도입기,56.5,0
2015,1278610281,2015,성장기,0.0,0
2015,1278619074,2015,성숙기,2.2,0
2015,1278622579,2015,성숙기,2.2,0
2015,1278629397,2014,성장기,0.0,0
2015,1278639819,2015,성장기,0.0,0
2015,1278643142,2015,도입기,56.5,0
2015,1288104773,2015,성숙기,2.2,0
2015,1288106465,2015,성장기,0.0,0
2015,1288115396,2013,성숙기,2.2,1
2015,1288124779,2015,성숙기,2.2,0
2015,1288133773,2012,성장기,0.0,1
2015,1288154593,2015,도입기,56.5,0
2015,1288155156,2015,성장기,0.0,0
2015,1288173187,2015,성숙기,2.2,0
2015,1288601747,2013,도입기,56.5,0
2015,1288667813,2015,도입기,56.5,0
2015,1298101027,2015,성숙기,2.2,0
2015,1298104193,2012,성숙기,2.2,1
2015,1298107244,2015,성숙기,2.2,0
2015,1298124016,2012,쇠퇴기,100.0,1
2015,1298127425,2015,성장기,0.0,0
2015,1298130202,2015,성장기,0.0,0
2015,1298147192,2015,성장기,0.0,0
2015,1298164930,2015,성장기,0.0,0
2015,1298610079,2013,조정기,33.7,0
2015,1298610176,2015,성장기,0.0,0
2015,1298621203,2015,조정기,33.7,0
2015,1308122395,2012,도입기,56.5,1
2015,1308142130,2015,성숙기,2.2,0
2015,1308144822,2015,성장기,0.0,0
2015,1308149851,2015,도입기,56.5,1
2015,1308152166,2015,성장기,0.0,0
2015,1308154937,2015,조정기,33.7,0
2015,1308620091,2015,성장기,0.0,0
2015,1308645923,2015,성장기,0.0,0
2015,1308676090,2015,성장기,0.0,0
