변수그룹,변수,F통계량,p값,유의성,Eta²,효과크기
기본 재무비율,부채비율,10.3228,1e-06,***,0.0254,소
기본 재무비율,총부채비율,68.1768,0.0,***,0.1468,대
기본 재무비율,장기부채비율,16.7727,0.0,***,0.0406,소
기본 재무비율,장기부채의존도,16.5578,0.0,***,0.0401,소
기본 재무비율,차입금의존도,84.0596,0.0,***,0.175,대
기본 재무비율,순차입금비율,13.8548,0.0,***,0.0338,소
기본 재무비율,금융부채비율,13.6076,0.0,***,0.0332,소
기본 재무비율,자기자본비율,60.2431,0.0,***,0.1319,중
기본 재무비율,유보율,16.085,0.0,***,0.039,소
기본 재무비율,자본잠식률,12.0245,0.0,***,0.0294,소
기본 재무비율,유동비율,34.2961,0.0,***,0.0796,중
기본 재무비율,당좌비율_추정,30.2391,0.0,***,0.0709,중
기본 재무비율,현금비율,35.2385,0.0,***,0.0817,중
기본 재무비율,순운전자본비율,41.982,0.0,***,0.0958,중
기본 재무비율,순운전자본회전율,0.7031,0.550224,n.s.,0.0018,소
기본 재무비율,금융비용부담률,32.0415,0.0,***,0.0748,중
기본 재무비율,비유동비율,9.6776,3e-06,***,0.0238,소
기본 재무비율,비유동장기적합률,10.9472,0.0,***,0.0269,소
기본 재무비율,유형자산비율,15.2449,0.0,***,0.037,소
기본 재무비율,유형자산부채비율,16.2111,0.0,***,0.0393,소
기본 재무비율,ROA,39.6116,0.0,***,0.0909,중
기본 재무비율,ROE,0.6738,0.568137,n.s.,0.0017,소
기본 재무비율,ROIC,32.7068,0.0,***,0.0762,중
기본 재무비율,총자본영업이익률,60.9184,0.0,***,0.1332,중
기본 재무비율,매출총이익률,8.7158,1e-05,***,0.0215,소
기본 재무비율,영업이익률,34.1064,0.0,***,0.0792,중
기본 재무비율,순이익률,22.2948,0.0,***,0.0533,소
기본 재무비율,EBITDA마진,36.2608,0.0,***,0.0838,중
기본 재무비율,현금ROA,149.895,0.0,***,0.2744,대
기본 재무비율,현금ROE,12.3889,0.0,***,0.0303,소
기본 재무비율,매출원가율,7.5483,5.3e-05,***,0.0187,소
기본 재무비율,판관비율,18.7792,0.0,***,0.0452,소
기본 재무비율,감가상각비율,8.4089,1.6e-05,***,0.0208,소
기본 재무비율,총자산회전율,11.9395,0.0,***,0.0292,소
기본 재무비율,유동자산회전율,7.7304,4.1e-05,***,0.0191,소
기본 재무비율,비유동자산회전율,6.3422,0.000289,***,0.0158,소
기본 재무비율,유형자산회전율,2.7539,0.041369,*,0.0069,소
기본 재무비율,자기자본회전율,2.1911,0.087403,n.s.,0.0055,소
기본 재무비율,투하자본회전율,10.2866,1e-06,***,0.0253,소
기본 재무비율,매출채권회전율,0.3031,0.823153,n.s.,0.0008,소
기본 재무비율,매출채권회수기간,9.4354,4e-06,***,0.0233,소
기본 재무비율,재고자산회전율,1.2955,0.274508,n.s.,0.0033,소
기본 재무비율,재고자산보유기간,13.592,0.0,***,0.0332,소
기본 재무비율,매입채무회전율,0.4537,0.714694,n.s.,0.0011,소
기본 재무비율,매입채무지급기간,9.3805,4e-06,***,0.0231,소
기본 재무비율,현금전환주기_CCC,11.3778,0.0,***,0.0279,소
기본 재무비율,영업CF_유동부채,108.0963,0.0,***,0.2143,대
기본 재무비율,영업CF_총부채,112.7155,0.0,***,0.2214,대
기본 재무비율,FCF,19.9193,0.0,***,0.0479,소
기본 재무비율,FCF_총자산,36.4365,0.0,***,0.0842,중
기본 재무비율,매출액증가율,7.4332,6.2e-05,***,0.0184,소
기본 재무비율,영업이익증가율,2.498,0.058244,n.s.,0.0063,소
기본 재무비율,순이익증가율,3.1931,0.022858,*,0.008,소
기본 재무비율,EBITDA증가율,2.6064,0.050399,n.s.,0.0065,소
기본 재무비율,총자산증가율,20.1984,0.0,***,0.0485,소
기본 재무비율,유형자산증가율,6.2675,0.000321,***,0.0156,소
기본 재무비율,자기자본증가율,11.5954,0.0,***,0.0284,소
기본 재무비율,부채증가율,12.921,0.0,***,0.0316,소
기본 재무비율,영업현금흐름증가율,26.9481,0.0,***,0.0637,중
기본 재무비율,FCF증가율,15.6336,0.0,***,0.0379,소
기본 재무비율,ROA변화,2.2662,0.079176,n.s.,0.0057,소
기본 재무비율,영업이익률변화,8.391,1.6e-05,***,0.0207,소
기본 재무비율,부채비율변화,4.1254,0.006371,**,0.0103,소
기본 재무비율,유동비율변화,1.6452,0.177187,n.s.,0.0041,소
전기대비_변화량(diff),종업원_diff,17.6352,0.0,***,0.0426,소
전기대비_변화량(diff),자산총계(요약)(백만원)_diff,32.4285,0.0,***,0.0756,중
전기대비_변화량(diff),투자활동으로 인한 현금흐름(요약)(백만원)_diff,31.5483,0.0,***,0.0737,중
전기대비_변화량(diff),재무활동으로 인한 현금흐름(요약)(백만원)_diff,2.2356,0.082441,n.s.,0.0056,소
전기대비_변화량(diff),부채비율_diff,10.3928,1e-06,***,0.0256,소
전기대비_변화량(diff),총부채비율_diff,71.6597,0.0,***,0.1531,대
전기대비_변화량(diff),장기부채비율_diff,17.2786,0.0,***,0.0418,소
전기대비_변화량(diff),장기부채의존도_diff,18.5629,0.0,***,0.0447,소
전기대비_변화량(diff),차입금의존도_diff,89.8227,0.0,***,0.1848,대
전기대비_변화량(diff),순차입금비율_diff,13.9565,0.0,***,0.034,소
전기대비_변화량(diff),금융부채비율_diff,13.7026,0.0,***,0.0334,소
전기대비_변화량(diff),자기자본비율_diff,63.7206,0.0,***,0.1385,중
전기대비_변화량(diff),유보율_diff,2.7431,0.04197,*,0.0069,소
전기대비_변화량(diff),자본잠식률_diff,2.2596,0.079866,n.s.,0.0057,소
전기대비_변화량(diff),유동비율_diff,38.5056,0.0,***,0.0886,중
전기대비_변화량(diff),당좌비율_추정_diff,33.9826,0.0,***,0.079,중
전기대비_변화량(diff),현금비율_diff,38.9575,0.0,***,0.0895,중
전기대비_변화량(diff),순운전자본비율_diff,48.1262,0.0,***,0.1083,중
전기대비_변화량(diff),순운전자본회전율_diff,2.2666,0.079132,n.s.,0.0057,소
전기대비_변화량(diff),금융비용부담률_diff,0.7523,0.521032,n.s.,0.0019,소
전기대비_변화량(diff),비유동비율_diff,9.8808,2e-06,***,0.0243,소
전기대비_변화량(diff),비유동장기적합률_diff,11.7822,0.0,***,0.0289,소
전기대비_변화량(diff),유형자산비율_diff,17.4305,0.0,***,0.0421,소
전기대비_변화량(diff),유형자산부채비율_diff,12.5581,0.0,***,0.0307,소
전기대비_변화량(diff),ROA_diff,37.4894,0.0,***,0.0864,중
전기대비_변화량(diff),ROE_diff,0.5925,0.619968,n.s.,0.0015,소
전기대비_변화량(diff),ROIC_diff,31.19,0.0,***,0.073,중
전기대비_변화량(diff),총자본영업이익률_diff,56.2558,0.0,***,0.1243,중
전기대비_변화량(diff),매출총이익률_diff,8.5802,1.2e-05,***,0.0212,소
전기대비_변화량(diff),영업이익률_diff,32.9933,0.0,***,0.0768,중
전기대비_변화량(diff),순이익률_diff,2.4001,0.06633,n.s.,0.006,소
전기대비_변화량(diff),EBITDA마진_diff,34.5362,0.0,***,0.0802,중
전기대비_변화량(diff),영업현금흐름비율_diff,26.8672,0.0,***,0.0635,중
전기대비_변화량(diff),현금ROA_diff,140.0174,0.0,***,0.2611,대
전기대비_변화량(diff),현금ROE_diff,12.4248,0.0,***,0.0304,소
전기대비_변화량(diff),매출원가율_diff,7.2645,7.9e-05,***,0.018,소
전기대비_변화량(diff),판관비율_diff,17.3614,0.0,***,0.042,소
전기대비_변화량(diff),감가상각비율_diff,9.9148,2e-06,***,0.0244,소
전기대비_변화량(diff),총자산회전율_diff,12.8605,0.0,***,0.0314,소
전기대비_변화량(diff),유동자산회전율_diff,7.1515,9.2e-05,***,0.0177,소
전기대비_변화량(diff),비유동자산회전율_diff,6.7551,0.000162,***,0.0168,소
전기대비_변화량(diff),유형자산회전율_diff,2.7907,0.039373,*,0.007,소
전기대비_변화량(diff),자기자본회전율_diff,1.9622,0.117875,n.s.,0.0049,소
전기대비_변화량(diff),투하자본회전율_diff,11.0202,0.0,***,0.0271,소
전기대비_변화량(diff),매출채권회전율_diff,2.5254,0.05615,n.s.,0.0063,소
전기대비_변화량(diff),매출채권회수기간_diff,1.6015,0.187295,n.s.,0.004,소
전기대비_변화량(diff),재고자산회전율_diff,1.7101,0.163119,n.s.,0.0043,소
전기대비_변화량(diff),재고자산보유기간_diff,0.2247,0.879265,n.s.,0.0006,소
전기대비_변화량(diff),매입채무회전율_diff,0.5166,0.670941,n.s.,0.0013,소
전기대비_변화량(diff),매입채무지급기간_diff,5.9776,0.000482,***,0.0149,소
전기대비_변화량(diff),현금전환주기_CCC_diff,0.2803,0.839639,n.s.,0.0007,소
전기대비_변화량(diff),영업CF_유동부채_diff,112.9963,0.0,***,0.2219,대
전기대비_변화량(diff),영업CF_총부채_diff,117.6397,0.0,***,0.2289,대
전기대비_변화량(diff),FCF_diff,44.3029,0.0,***,0.1005,중
전기대비_변화량(diff),FCF_총자산_diff,59.3307,0.0,***,0.1302,중
전기대비_변화량(diff),매출액증가율_diff,1.0602,0.365016,n.s.,0.0027,소
전기대비_변화량(diff),영업이익증가율_diff,1.052,0.368609,n.s.,0.0026,소
전기대비_변화량(diff),순이익증가율_diff,6.7015,0.000174,***,0.0166,소
전기대비_변화량(diff),EBITDA증가율_diff,1.6319,0.180209,n.s.,0.0041,소
전기대비_변화량(diff),총자산증가율_diff,11.1412,0.0,***,0.0273,소
전기대비_변화량(diff),유형자산증가율_diff,4.2845,0.005114,**,0.0107,소
전기대비_변화량(diff),자기자본증가율_diff,8.6348,1.1e-05,***,0.0213,소
전기대비_변화량(diff),부채증가율_diff,8.5483,1.3e-05,***,0.0211,소
전기대비_변화량(diff),영업현금흐름증가율_diff,36.938,0.0,***,0.0853,중
전기대비_변화량(diff),FCF증가율_diff,0.7735,0.508841,n.s.,0.0019,소
전기대비_변화량(diff),ROA변화_diff,2.4253,0.064146,n.s.,0.0061,소
전기대비_변화량(diff),영업이익률변화_diff,7.9968,2.8e-05,***,0.0198,소
전기대비_변화량(diff),부채비율변화_diff,4.5076,0.003754,**,0.0112,소
전기대비_변화량(diff),유동비율변화_diff,1.4839,0.217227,n.s.,0.0037,소
전기대비_변화량(diff),부실라벨_ICR3년_diff,54.2815,0.0,***,0.1205,중
전기대비_변화량(diff),업력_diff,5.3585,0.001148,**,0.0133,소
전기대비_변화량(diff),빅4감사_diff,1.7485,0.155304,n.s.,0.0044,소
전기대비_비율(ratio),종업원_ratio,17.4154,0.0,***,0.0421,소
전기대비_비율(ratio),자산총계(요약)(백만원)_ratio,2.1247,0.095357,n.s.,0.0053,소
전기대비_비율(ratio),투자활동으로 인한 현금흐름(요약)(백만원)_ratio,44.174,0.0,***,0.1003,중
전기대비_비율(ratio),재무활동으로 인한 현금흐름(요약)(백만원)_ratio,6.3006,0.000306,***,0.0156,소
전기대비_비율(ratio),부채비율_ratio,11.2,0.0,***,0.0275,소
