기준연도,생애주기,전체,부실,정상,부실률(%),위험점수_최종
2015,쇠퇴기,107,33,74,30.84,100.0
2015,조정기,114,33,81,28.95,91.3
2015,도입기,175,43,132,24.57,71.8
2015,성장기,180,12,168,6.67,0.5
2015,성숙기,230,15,215,6.52,0.0
2016,쇠퇴기,107,41,66,38.32,100.0
2016,도입기,168,52,116,30.95,73.2
2016,조정기,141,37,104,26.24,57.1
2016,성장기,190,16,174,8.42,2.5
2016,성숙기,253,19,234,7.51,0.0
2017,쇠퇴기,124,50,74,40.32,100.0
2017,도입기,173,59,114,34.1,78.4
2017,조정기,164,48,116,29.27,62.6
2017,성장기,177,19,158,10.73,8.3
2017,성숙기,265,20,245,7.55,0.0
2018,쇠퇴기,145,54,91,37.24,100.0
2018,도입기,209,67,142,32.06,78.6
2018,조정기,156,49,107,31.41,76.0
2018,성장기,177,21,156,11.86,5.2
2018,성숙기,263,27,236,10.27,0.0
2019,쇠퇴기,141,58,83,41.13,100.0
2019,도입기,222,83,139,37.39,85.7
2019,조정기,182,58,124,31.87,65.6
2019,성장기,195,24,171,12.31,2.6
2019,성숙기,272,31,241,11.4,0.0
2020,도입기,213,89,124,41.78,100.0
2020,쇠퇴기,169,69,100,40.83,96.4
2020,조정기,183,61,122,33.33,69.4
2020,성숙기,276,35,241,12.68,4.6
2020,성장기,245,27,218,11.02,0.0
2021,쇠퇴기,189,81,108,42.86,100.0
2021,도입기,247,100,147,40.49,90.8
2021,조정기,193,65,128,33.68,65.5
2021,성장기,241,34,207,14.11,1.6
2021,성숙기,280,38,242,13.57,0.0
2022,쇠퇴기,189,88,101,46.56,100.0
2022,도입기,242,105,137,43.39,89.4
2022,조정기,202,69,133,34.16,60.3
2022,성장기,224,36,188,16.07,10.6
2022,성숙기,357,42,315,11.76,0.0
2023,쇠퇴기,212,102,110,48.11,100.0
2023,도입기,245,113,132,46.12,93.3
2023,조정기,220,73,147,33.18,52.9
2023,성장기,190,40,150,21.05,19.4
2023,성숙기,347,46,301,13.26,0.0
2024,도입기,231,122,109,52.81,100.0
2024,쇠퇴기,233,114,119,48.93,88.3
2024,조정기,224,82,142,36.61,54.0
2024,성장기,156,42,114,26.92,29.8
2024,성숙기,370,50,320,13.51,0.0
