기준연도,사업자등록번호,회계년도,생애주기_최종,생애주기_점수,부실라벨_ICR3년
2015,1018122999,2015,성숙기,0.0,0
2015,1018130543,2015,성숙기,0.0,0
2015,1018158522,2015,성숙기,0.0,0
2015,1018175690,2012,도입기,71.8,1
2015,1018189665,2015,성장기,0.5,0
2015,1018625818,2015,도입기,71.8,0
2015,1018669795,2015,도입기,71.8,0
2015,1018677257,2015,도입기,71.8,0
2015,1018683690,2015,성장기,0.5,0
2015,1018689393,2015,도입기,71.8,0
2015,1028113611,2015,성숙기,0.0,0
2015,1028117373,2013,조정기,91.3,1
2015,1028119333,2015,성숙기,0.0,0
2015,1028122750,2015,성장기,0.5,0
2015,1028139834,2015,성장기,0.5,0
2015,1048117699,2015,성숙기,0.0,0
2015,1048125073,2014,성장기,0.5,1
2015,1048178774,2015,성장기,0.5,0
2015,1058111908,2015,성숙기,0.0,0
2015,1058129655,2015,성장기,0.5,0
2015,1058133940,2013,조정기,91.3,1
2015,1058134221,2012,조정기,91.3,1
2015,1058144563,2012,쇠퇴기,100.0,1
2015,1058158242,2015,성숙기,0.0,0
2015,1058163987,2015,성숙기,0.0,0
2015,1058164268,2015,성장기,0.5,0
2015,1058191770,2015,성숙기,0.0,0
2015,1058198905,2015,성숙기,0.0,0
2015,1058628379,2013,도입기,71.8,1
2015,1058664152,2015,성숙기,0.0,0
2015,1058670936,2015,성숙기,0.0,0
2015,1058693297,2015,성장기,0.5,0
2015,1058713039,2012,조정기,91.3,1
2015,1058724443,2015,성장기,0.5,0
2015,1058745002,2015,조정기,91.3,0
2015,1058752430,2015,도입기,71.8,0
2015,1068112268,2015,성숙기,0.0,0
2015,1068140328,2015,도입기,71.8,0
2015,1068151034,2012,쇠퇴기,100.0,1
2015,1068194111,2012,쇠퇴기,100.0,1
2015,1068630733,2015,성장기,0.5,0
2015,1068683360,2015,성장기,0.5,0
2015,1078111092,2014,쇠퇴기,100.0,1
2015,1078133868,2013,성장기,0.5,1
2015,1078159698,2015,성숙기,0.0,0
2015,1078161516,2014,조정기,91.3,1
2015,1078173540,2015,성숙기,0.0,0
2015,1078177250,2015,도입기,71.8,0
2015,1078636496,2015,조정기,91.3,0
2015,1078649026,2015,성숙기,0.0,0
2015,1078662238,2014,도입기,71.8,0
2015,1078755374,2015,도입기,71.8,0
2015,1088144470,2015,성숙기,0.0,0
2015,1088148326,2015,쇠퇴기,100.0,0
2015,1088177710,2015,성장기,0.5,0
2015,1088191594,2014,성숙기,0.0,0
2015,1098100683,2014,쇠퇴기,100.0,0
2015,1098109665,2015,성숙기,0.0,0
2015,1098124083,2015,성숙기,0.0,0
2015,1098127611,2015,성숙기,0.0,0
2015,1098129813,2015,쇠퇴기,100.0,0
2015,1098159281,2015,성숙기,0.0,0
2015,1098172213,2014,조정기,91.3,1
2015,1098194181,2015,성숙기,0.0,0
2015,1098601218,2015,도입기,71.8,1
2015,1108111875,2015,도입기,71.8,1
2015,1108127101,2015,성숙기,0.0,0
2015,1108144186,2015,도입기,71.8,0
2015,1108144982,2015,쇠퇴기,100.0,0
2015,1108175393,2015,성장기,0.5,0
2015,1108178537,2014,도입기,71.8,1
2015,1108182332,2015,성장기,0.5,0
2015,1118125222,2012,도입기,71.8,1
2015,1118128893,2014,성숙기,0.0,1
2015,1128115877,2015,성숙기,0.0,0
2015,1128118457,2015,성숙기,0.0,0
2015,1138106916,2014,성숙기,0.0,0
2015,1138107268,2015,성숙기,0.0,0
2015,1138110860,2015,조정기,91.3,0
2015,1138115768,2015,성장기,0.5,0
2015,1138117015,2015,성숙기,0.0,0
2015,1138130492,2015,조정기,91.3,0
2015,1138132786,2015,성숙기,0.0,0
2015,1138162897,2015,조정기,91.3,0
