변수그룹,변수,F통계량,p값,유의성,Eta²,효과크기
기본 재무비율,부채비율,75.9728,0.0,***,0.072,중
기본 재무비율,총부채비율,187.9621,0.0,***,0.1611,대
기본 재무비율,장기부채비율,64.9724,0.0,***,0.0622,중
기본 재무비율,장기부채의존도,89.9549,0.0,***,0.0842,중
기본 재무비율,차입금의존도,213.1293,0.0,***,0.1788,대
기본 재무비율,순차입금비율,75.4019,0.0,***,0.0715,중
기본 재무비율,금융부채비율,75.6889,0.0,***,0.0718,중
기본 재무비율,자기자본비율,175.1859,0.0,***,0.1518,대
기본 재무비율,유보율,55.8148,0.0,***,0.0539,소
기본 재무비율,자본잠식률,36.7224,0.0,***,0.0362,소
기본 재무비율,유동비율,54.7459,0.0,***,0.053,소
기본 재무비율,당좌비율_추정,50.0809,0.0,***,0.0487,소
기본 재무비율,현금비율,44.5001,0.0,***,0.0435,소
기본 재무비율,순운전자본비율,136.6163,0.0,***,0.1225,중
기본 재무비율,순운전자본회전율,10.6547,1e-06,***,0.0108,소
기본 재무비율,금융비용부담률,159.3318,0.0,***,0.14,중
기본 재무비율,비유동비율,78.2179,0.0,***,0.074,중
기본 재무비율,비유동장기적합률,62.2327,0.0,***,0.0598,소
기본 재무비율,유형자산비율,52.8343,0.0,***,0.0512,소
기본 재무비율,유형자산부채비율,57.0651,0.0,***,0.0551,소
기본 재무비율,ROA,294.1777,0.0,***,0.2311,대
기본 재무비율,ROE,62.1051,0.0,***,0.0597,소
기본 재무비율,ROIC,236.9948,0.0,***,0.1949,대
기본 재무비율,총자본영업이익률,386.8233,0.0,***,0.2832,대
기본 재무비율,매출총이익률,68.3864,0.0,***,0.0653,중
기본 재무비율,영업이익률,92.5864,0.0,***,0.0864,중
기본 재무비율,순이익률,93.5101,0.0,***,0.0872,중
기본 재무비율,EBITDA마진,88.3995,0.0,***,0.0828,중
기본 재무비율,현금ROA,596.4348,0.0,***,0.3786,대
기본 재무비율,현금ROE,35.0261,0.0,***,0.0345,소
기본 재무비율,매출원가율,53.161,0.0,***,0.0515,소
기본 재무비율,판관비율,109.2243,0.0,***,0.1004,중
기본 재무비율,감가상각비율,126.9838,0.0,***,0.1148,중
기본 재무비율,총자산회전율,77.913,0.0,***,0.0737,중
기본 재무비율,유동자산회전율,23.3169,0.0,***,0.0233,소
기본 재무비율,비유동자산회전율,40.0634,0.0,***,0.0393,소
기본 재무비율,유형자산회전율,11.6583,0.0,***,0.0118,소
기본 재무비율,자기자본회전율,1.5576,0.197639,n.s.,0.0016,소
기본 재무비율,투하자본회전율,53.7591,0.0,***,0.0521,소
기본 재무비율,매출채권회전율,3.3915,0.017265,*,0.0035,소
기본 재무비율,매출채권회수기간,47.233,0.0,***,0.046,소
기본 재무비율,재고자산회전율,3.6224,0.012571,*,0.0037,소
기본 재무비율,재고자산보유기간,58.1428,0.0,***,0.0561,소
기본 재무비율,매입채무회전율,2.0955,0.098716,n.s.,0.0021,소
기본 재무비율,매입채무지급기간,59.9236,0.0,***,0.0577,소
기본 재무비율,현금전환주기_CCC,51.6885,0.0,***,0.0501,소
기본 재무비율,영업CF_유동부채,344.223,0.0,***,0.2601,대
기본 재무비율,영업CF_총부채,331.2651,0.0,***,0.2528,대
기본 재무비율,FCF,61.8216,0.0,***,0.0594,소
기본 재무비율,FCF_총자산,188.3559,0.0,***,0.1614,대
기본 재무비율,매출액증가율,26.3411,0.0,***,0.0262,소
기본 재무비율,영업이익증가율,21.1353,0.0,***,0.0211,소
기본 재무비율,순이익증가율,19.6009,0.0,***,0.0196,소
기본 재무비율,EBITDA증가율,18.7056,0.0,***,0.0187,소
기본 재무비율,총자산증가율,68.0889,0.0,***,0.065,중
기본 재무비율,유형자산증가율,32.0205,0.0,***,0.0317,소
기본 재무비율,자기자본증가율,33.7609,0.0,***,0.0333,소
기본 재무비율,부채증가율,27.5836,0.0,***,0.0274,소
기본 재무비율,영업현금흐름증가율,58.095,0.0,***,0.056,소
기본 재무비율,FCF증가율,17.7811,0.0,***,0.0178,소
기본 재무비율,ROA변화,9.953,2e-06,***,0.0101,소
기본 재무비율,영업이익률변화,8.8803,7e-06,***,0.009,소
