변수그룹,변수,F통계량,p값,유의성,Eta²,효과크기
기본 재무비율,부채비율,9.7431,2e-06,***,0.0257,소
기본 재무비율,총부채비율,45.2826,0.0,***,0.109,중
기본 재무비율,장기부채비율,6.7951,0.000154,***,0.018,소
기본 재무비율,장기부채의존도,8.7105,1e-05,***,0.023,소
기본 재무비율,차입금의존도,58.1931,0.0,***,0.1359,중
기본 재무비율,순차입금비율,12.3354,0.0,***,0.0323,소
기본 재무비율,금융부채비율,12.1504,0.0,***,0.0318,소
기본 재무비율,자기자본비율,37.7077,0.0,***,0.0925,중
기본 재무비율,유보율,12.5973,0.0,***,0.0329,소
기본 재무비율,자본잠식률,10.258,1e-06,***,0.027,소
기본 재무비율,유동비율,24.5487,0.0,***,0.0622,중
기본 재무비율,당좌비율_추정,24.8241,0.0,***,0.0629,중
기본 재무비율,현금비율,19.0798,0.0,***,0.049,소
기본 재무비율,순운전자본비율,31.5802,0.0,***,0.0786,중
기본 재무비율,순운전자본회전율,2.2038,0.086003,n.s.,0.0059,소
기본 재무비율,금융비용부담률,24.7899,0.0,***,0.0628,중
기본 재무비율,비유동비율,10.2047,1e-06,***,0.0268,소
기본 재무비율,비유동장기적합률,13.8324,0.0,***,0.036,소
기본 재무비율,유형자산비율,7.3903,6.6e-05,***,0.0196,소
기본 재무비율,유형자산부채비율,18.1297,0.0,***,0.0467,소
기본 재무비율,ROA,23.9319,0.0,***,0.0608,중
기본 재무비율,ROE,3.6174,0.012832,*,0.0097,소
기본 재무비율,ROIC,29.5397,0.0,***,0.0739,중
기본 재무비율,총자본영업이익률,41.6951,0.0,***,0.1013,중
기본 재무비율,매출총이익률,21.0033,0.0,***,0.0537,소
기본 재무비율,영업이익률,16.8679,0.0,***,0.0436,소
기본 재무비율,순이익률,16.8912,0.0,***,0.0437,소
기본 재무비율,EBITDA마진,21.7102,0.0,***,0.0554,소
기본 재무비율,현금ROA,139.9298,0.0,***,0.2744,대
기본 재무비율,현금ROE,20.173,0.0,***,0.0517,소
기본 재무비율,매출원가율,25.2418,0.0,***,0.0639,중
기본 재무비율,판관비율,20.2367,0.0,***,0.0519,소
기본 재무비율,감가상각비율,10.7481,1e-06,***,0.0282,소
기본 재무비율,총자산회전율,8.4795,1.4e-05,***,0.0224,소
기본 재무비율,유동자산회전율,1.83,0.139909,n.s.,0.0049,소
기본 재무비율,비유동자산회전율,3.6286,0.012636,*,0.0097,소
기본 재무비율,유형자산회전율,3.1192,0.025295,*,0.0084,소
기본 재무비율,자기자본회전율,1.485,0.216966,n.s.,0.004,소
기본 재무비율,투하자본회전율,8.5279,1.3e-05,***,0.0225,소
기본 재무비율,매출채권회전율,1.6619,0.173509,n.s.,0.0045,소
기본 재무비율,매출채권회수기간,4.4204,0.004246,**,0.0118,소
기본 재무비율,재고자산회전율,3.8317,0.009565,**,0.0102,소
기본 재무비율,재고자산보유기간,8.2645,1.9e-05,***,0.0218,소
기본 재무비율,매입채무회전율,3.6553,0.012184,*,0.0098,소
기본 재무비율,매입채무지급기간,7.4169,6.4e-05,***,0.0197,소
기본 재무비율,현금전환주기_CCC,5.3119,0.001229,**,0.0142,소
기본 재무비율,영업CF_유동부채,87.279,0.0,***,0.1909,대
기본 재무비율,영업CF_총부채,92.0462,0.0,***,0.1992,대
