기준연도,생애주기,전체,부실,정상,부실률(%),위험점수_최종
2015,쇠퇴기,82,31,51,37.8,100.0
2015,도입기,149,49,100,32.89,81.4
2015,조정기,115,24,91,20.87,39.5
2015,성숙기,318,31,287,9.75,4.9
2015,성장기,174,14,160,8.05,0.0
2016,쇠퇴기,92,35,57,38.04,100.0
2016,도입기,152,50,102,32.89,79.8
2016,조정기,138,27,111,19.57,32.0
2016,성숙기,322,38,284,11.8,6.9
2016,성장기,178,17,161,9.55,0.0
2017,도입기,163,61,102,37.42,100.0
2017,쇠퇴기,116,37,79,31.9,77.0
2017,조정기,139,32,107,23.02,42.6
2017,성숙기,315,41,274,13.02,7.3
2017,성장기,185,20,165,10.81,0.0
2018,쇠퇴기,103,47,56,45.63,100.0
2018,도입기,190,64,126,33.68,58.8
2018,조정기,146,34,112,23.29,26.8
2018,성숙기,331,48,283,14.5,2.2
2018,성장기,183,25,158,13.66,0.0
2019,도입기,173,77,96,44.51,100.0
2019,쇠퇴기,121,53,68,43.8,97.4
2019,조정기,155,39,116,25.16,34.1
2019,성숙기,359,57,302,15.88,6.8
2019,성장기,186,25,161,13.44,0.0
2020,도입기,178,85,93,47.75,100.0
2020,쇠퇴기,127,56,71,44.09,87.4
2020,조정기,162,40,122,24.69,27.6
2020,성숙기,363,64,299,17.63,8.5
2020,성장기,196,28,168,14.29,0.0
2021,쇠퇴기,152,59,93,38.82,100.0
2021,도입기,243,86,157,35.39,83.0
2021,조정기,169,44,125,26.04,39.4
2021,성숙기,323,68,255,21.05,17.8
2021,성장기,191,32,159,16.75,0.0
2022,쇠퇴기,139,60,79,43.17,100.0
2022,도입기,230,87,143,37.83,78.1
2022,조정기,179,45,134,25.14,30.6
2022,성숙기,370,71,299,19.19,10.3
2022,성장기,212,34,178,16.04,0.0
2023,쇠퇴기,153,64,89,41.83,100.0
2023,도입기,228,92,136,40.35,93.1
2023,조정기,162,46,116,28.4,40.6
2023,성장기,184,36,148,19.57,5.6
2023,성숙기,404,73,331,18.07,0.0
2024,쇠퇴기,152,67,85,44.08,100.0
2024,도입기,234,100,134,42.74,93.8
2024,조정기,189,48,141,25.4,20.2
2024,성장기,177,39,138,22.03,7.4
2024,성숙기,379,76,303,20.05,0.0
