변수그룹,변수,F통계량,p값,유의성,Eta²,효과크기
기본 재무비율,부채비율,39.4981,0.0,***,0.0672,중
기본 재무비율,총부채비율,108.8088,0.0,***,0.1657,대
기본 재무비율,장기부채비율,47.6293,0.0,***,0.08,중
기본 재무비율,장기부채의존도,21.6093,0.0,***,0.0379,소
기본 재무비율,차입금의존도,110.8192,0.0,***,0.1682,대
기본 재무비율,순차입금비율,58.5346,0.0,***,0.0965,중
기본 재무비율,금융부채비율,58.3095,0.0,***,0.0962,중
기본 재무비율,자기자본비율,104.4957,0.0,***,0.1601,대
기본 재무비율,유보율,23.7671,0.0,***,0.0416,소
기본 재무비율,자본잠식률,15.947,0.0,***,0.0283,소
기본 재무비율,유동비율,46.1099,0.0,***,0.0776,중
기본 재무비율,당좌비율_추정,45.9335,0.0,***,0.0773,중
기본 재무비율,현금비율,46.6548,0.0,***,0.0785,중
기본 재무비율,순운전자본비율,67.8887,0.0,***,0.1102,중
기본 재무비율,순운전자본회전율,2.749,0.04151,*,0.005,소
기본 재무비율,금융비용부담률,70.0797,0.0,***,0.1134,중
기본 재무비율,비유동비율,33.145,0.0,***,0.057,소
기본 재무비율,비유동장기적합률,50.7749,0.0,***,0.0848,중
기본 재무비율,유형자산비율,15.835,0.0,***,0.0281,소
기본 재무비율,유형자산부채비율,42.1143,0.0,***,0.0714,중
기본 재무비율,ROA,71.0703,0.0,***,0.1148,중
기본 재무비율,ROE,15.2596,0.0,***,0.0271,소
기본 재무비율,ROIC,68.6888,0.0,***,0.1114,중
기본 재무비율,총자본영업이익률,106.6963,0.0,***,0.163,대
기본 재무비율,매출총이익률,53.7867,0.0,***,0.0894,중
기본 재무비율,영업이익률,58.9737,0.0,***,0.0972,중
기본 재무비율,순이익률,42.9962,0.0,***,0.0728,중
기본 재무비율,EBITDA마진,59.4222,0.0,***,0.0978,중
기본 재무비율,현금ROA,250.5999,0.0,***,0.3138,대
기본 재무비율,현금ROE,5.2434,0.001331,**,0.0095,소
기본 재무비율,매출원가율,55.8633,0.0,***,0.0925,중
기본 재무비율,판관비율,22.9711,0.0,***,0.0402,소
기본 재무비율,감가상각비율,14.9364,0.0,***,0.0265,소
기본 재무비율,총자산회전율,21.1696,0.0,***,0.0372,소
기본 재무비율,유동자산회전율,12.3986,0.0,***,0.0221,소
기본 재무비율,비유동자산회전율,13.5521,0.0,***,0.0241,소
기본 재무비율,유형자산회전율,7.0512,0.000104,***,0.0127,소
기본 재무비율,자기자본회전율,9.4311,4e-06,***,0.0169,소
기본 재무비율,투하자본회전율,10.8431,0.0,***,0.0194,소
기본 재무비율,매출채권회전율,1.3235,0.265052,n.s.,0.0024,소
기본 재무비율,매출채권회수기간,20.0342,0.0,***,0.0353,소
기본 재무비율,재고자산회전율,3.7815,0.010167,*,0.0069,소
기본 재무비율,재고자산보유기간,11.6906,0.0,***,0.0209,소
기본 재무비율,매입채무회전율,1.0814,0.35579,n.s.,0.002,소
기본 재무비율,매입채무지급기간,19.2131,0.0,***,0.0339,소
기본 재무비율,현금전환주기_CCC,11.5391,0.0,***,0.0206,소
기본 재무비율,영업CF_유동부채,142.5536,0.0,***,0.2064,대
기본 재무비율,영업CF_총부채,125.9522,0.0,***,0.1869,대
기본 재무비율,FCF,52.8702,0.0,***,0.088,중
기본 재무비율,FCF_총자산,42.3459,0.0,***,0.0717,중
기본 재무비율,매출액증가율,13.0219,0.0,***,0.0232,소
기본 재무비율,영업이익증가율,3.4858,0.015261,*,0.0063,소
기본 재무비율,순이익증가율,3.7433,0.010716,*,0.0068,소
기본 재무비율,EBITDA증가율,3.1854,0.022999,*,0.0058,소
기본 재무비율,총자산증가율,68.0756,0.0,***,0.1105,중
기본 재무비율,유형자산증가율,44.2628,0.0,***,0.0747,중
