기준연도,생애주기,전체,부실,정상,부실률(%),위험점수_최종
2015,쇠퇴기,102,37,65,36.27,100.0
2015,도입기,174,43,131,24.71,56.6
2015,조정기,139,26,113,18.71,36.0
2015,성숙기,344,37,307,10.76,10.5
2015,성장기,302,22,280,7.28,0.0
2016,쇠퇴기,125,44,81,35.2,100.0
2016,도입기,173,46,127,26.59,65.5
2016,조정기,146,32,114,21.92,48.0
2016,성숙기,420,40,380,9.52,5.4
2016,성장기,293,23,270,7.85,0.0
2017,쇠퇴기,153,54,99,35.29,100.0
2017,도입기,201,58,143,28.86,72.9
2017,조정기,178,37,141,20.79,41.2
2017,성숙기,415,48,367,11.57,8.0
2017,성장기,315,29,286,9.21,0.0
2018,쇠퇴기,179,62,117,34.64,100.0
2018,도입기,209,65,144,31.1,83.8
2018,조정기,179,40,139,22.35,46.2
2018,성숙기,459,53,406,11.55,4.0
2018,성장기,325,34,291,10.46,0.0
2019,쇠퇴기,182,73,109,40.11,100.0
2019,도입기,207,71,136,34.3,77.1
2019,조정기,208,46,162,22.12,33.1
2019,성숙기,501,62,439,12.38,1.7
2019,성장기,321,38,283,11.84,0.0
2020,쇠퇴기,213,82,131,38.5,100.0
2020,도입기,219,75,144,34.25,81.8
2020,조정기,224,50,174,22.32,34.6
2020,성숙기,481,68,413,14.14,5.3
2020,성장기,350,44,306,12.57,0.0
2021,쇠퇴기,238,87,151,36.55,100.0
2021,도입기,255,80,175,31.37,74.5
2021,조정기,229,53,176,23.14,36.6
2021,성숙기,501,76,425,15.17,2.8
2021,성장기,352,51,301,14.49,0.0
2022,쇠퇴기,242,91,151,37.6,100.0
2022,도입기,248,85,163,34.27,84.2
2022,조정기,248,56,192,22.58,32.8
2022,성장기,367,60,307,16.35,7.8
2022,성숙기,558,80,478,14.34,0.0
2023,쇠퇴기,241,96,145,39.83,100.0
2023,도입기,257,92,165,35.8,82.2
2023,조정기,240,66,174,27.5,47.7
2023,성장기,343,68,275,19.83,18.2
2023,성숙기,582,86,496,14.78,0.0
2024,쇠퇴기,232,104,128,44.83,100.0
2024,도입기,238,105,133,44.12,97.3
2024,조정기,237,71,166,29.96,47.2
2024,성장기,327,79,248,24.16,28.7
2024,성숙기,629,91,538,14.47,0.0
