기준연도,사업자등록번호,회계년도,생애주기_최종,생애주기_점수,부실라벨_ICR3년
2015,1018139656,2015,성장기,0.0,0
2015,1028101153,2013,성장기,0.0,1
2015,1048163193,2015,조정기,36.0,0
2015,1048607667,2015,조정기,36.0,0
2015,1048617961,2012,성숙기,10.5,1
2015,1058195188,2015,성숙기,10.5,0
2015,1058674757,2012,성숙기,10.5,0
2015,1068113006,2015,성숙기,10.5,0
2015,1068125254,2015,성장기,0.0,0
2015,1068161298,2015,성숙기,10.5,0
2015,1068175491,2015,성장기,0.0,0
2015,1078112086,2015,성숙기,10.5,0
2015,1078122925,2015,성숙기,10.5,0
2015,1078136472,2015,성숙기,10.5,0
2015,1078146795,2015,성숙기,10.5,0
2015,1078150625,2015,조정기,36.0,0
2015,1078162010,2014,도입기,56.6,1
2015,1078601717,2015,쇠퇴기,100.0,1
2015,1078610443,2015,성숙기,10.5,0
2015,1078611990,2015,쇠퇴기,100.0,0
2015,1078677594,2015,성장기,0.0,0
2015,1078719529,2013,성장기,0.0,1
2015,1098168363,2015,성숙기,10.5,0
2015,1098617840,2015,성장기,0.0,0
2015,1128136590,2015,성숙기,10.5,0
2015,1138100023,2015,성숙기,10.5,0
2015,1138113362,2015,도입기,56.6,0
2015,1138113590,2015,성숙기,10.5,0
2015,1138117524,2015,성숙기,10.5,0
2015,1138126611,2015,성장기,0.0,0
2015,1138143003,2014,쇠퇴기,100.0,1
2015,1138145184,2014,성숙기,10.5,0
2015,1138149287,2015,성숙기,10.5,0
2015,1138157564,2015,성숙기,10.5,0
2015,1138165083,2015,도입기,56.6,0
2015,1138186491,2015,성장기,0.0,0
2015,1138602327,2015,조정기,36.0,0
2015,1138615346,2015,성장기,0.0,0
2015,1148165558,2015,성숙기,10.5,0
2015,1148179542,2015,조정기,36.0,0
2015,1148192813,2015,성장기,0.0,0
2015,1168105575,2015,성숙기,10.5,0
2015,1168115957,2015,조정기,36.0,0
2015,1168122797,2015,성숙기,10.5,1
2015,1178155215,2015,성숙기,10.5,0
2015,1178164320,2015,성숙기,10.5,0
2015,1188102953,2015,성숙기,10.5,0
2015,1188103646,2015,성장기,0.0,0
2015,1188109811,2014,쇠퇴기,100.0,0
2015,1188114181,2015,성숙기,10.5,0
2015,1188119809,2013,성장기,0.0,0
2015,1198101578,2015,성장기,0.0,0
2015,1198115387,2015,도입기,56.6,0
2015,1198125551,2015,성숙기,10.5,0
2015,1198155259,2015,도입기,56.6,0
2015,1198179469,2014,조정기,36.0,0
2015,1198180684,2015,쇠퇴기,100.0,0
2015,1198183186,2015,쇠퇴기,100.0,0
2015,1198603509,2015,조정기,36.0,0
2015,1198604401,2015,조정기,36.0,0
2015,1208179187,2015,조정기,36.0,0
2015,1208675982,2015,성장기,0.0,0
2015,1208752157,2015,성장기,0.0,0
2015,1218161813,2015,성숙기,10.5,0
2015,1218170947,2013,조정기,36.0,1
2015,1228106434,2015,쇠퇴기,100.0,1
2015,1228107132,2013,쇠퇴기,100.0,1
2015,1228113463,2015,성장기,0.0,0
