변수그룹,변수,F통계량,p값,유의성,Eta²,효과크기
기본 재무비율,부채비율,36.077,0.0,***,0.0401,소
기본 재무비율,총부채비율,135.6427,0.0,***,0.1358,중
기본 재무비율,장기부채비율,29.8213,0.0,***,0.0334,소
기본 재무비율,장기부채의존도,51.2185,0.0,***,0.056,소
기본 재무비율,차입금의존도,179.4227,0.0,***,0.1721,대
기본 재무비율,순차입금비율,36.2754,0.0,***,0.0403,소
기본 재무비율,금융부채비율,36.2499,0.0,***,0.0403,소
기본 재무비율,자기자본비율,122.1636,0.0,***,0.124,중
기본 재무비율,유보율,54.5263,0.0,***,0.0594,소
기본 재무비율,자본잠식률,39.8134,0.0,***,0.0441,소
기본 재무비율,유동비율,68.4596,0.0,***,0.0735,중
기본 재무비율,당좌비율_추정,68.7655,0.0,***,0.0738,중
기본 재무비율,현금비율,54.9472,0.0,***,0.0599,소
기본 재무비율,순운전자본비율,108.9361,0.0,***,0.1121,중
기본 재무비율,순운전자본회전율,0.9846,0.398968,n.s.,0.0011,소
기본 재무비율,금융비용부담률,82.0187,0.0,***,0.0868,중
기본 재무비율,비유동비율,36.9383,0.0,***,0.041,소
기본 재무비율,비유동장기적합률,52.4321,0.0,***,0.0573,소
기본 재무비율,유형자산비율,43.8859,0.0,***,0.0484,소
기본 재무비율,유형자산부채비율,34.0985,0.0,***,0.038,소
기본 재무비율,ROA,122.0768,0.0,***,0.1239,중
기본 재무비율,ROE,14.6807,0.0,***,0.0167,소
기본 재무비율,ROIC,117.0706,0.0,***,0.1195,중
기본 재무비율,총자본영업이익률,199.0918,0.0,***,0.1875,대
기본 재무비율,매출총이익률,87.0018,0.0,***,0.0916,중
기본 재무비율,영업이익률,91.7434,0.0,***,0.0961,중
기본 재무비율,순이익률,64.9082,0.0,***,0.07,중
기본 재무비율,EBITDA마진,97.8413,0.0,***,0.1018,중
기본 재무비율,현금ROA,443.6223,0.0,***,0.3395,대
기본 재무비율,현금ROE,17.4982,0.0,***,0.0199,소
기본 재무비율,매출원가율,81.321,0.0,***,0.0861,중
기본 재무비율,판관비율,50.3888,0.0,***,0.0552,소
기본 재무비율,감가상각비율,35.6086,0.0,***,0.0396,소
기본 재무비율,총자산회전율,36.4914,0.0,***,0.0406,소
기본 재무비율,유동자산회전율,13.7005,0.0,***,0.0156,소
기본 재무비율,비유동자산회전율,47.1536,0.0,***,0.0518,소
기본 재무비율,유형자산회전율,26.0488,0.0,***,0.0293,소
기본 재무비율,자기자본회전율,1.8136,0.142509,n.s.,0.0021,소
기본 재무비율,투하자본회전율,26.5291,0.0,***,0.0298,소
기본 재무비율,매출채권회전율,1.3654,0.251517,n.s.,0.0016,소
기본 재무비율,매출채권회수기간,36.4017,0.0,***,0.0405,소
기본 재무비율,재고자산회전율,1.3883,0.244453,n.s.,0.0016,소
기본 재무비율,재고자산보유기간,13.3373,0.0,***,0.0152,소
기본 재무비율,매입채무회전율,1.0923,0.351075,n.s.,0.0013,소
기본 재무비율,매입채무지급기간,32.4392,0.0,***,0.0362,소
기본 재무비율,현금전환주기_CCC,16.5734,0.0,***,0.0188,소
기본 재무비율,영업CF_유동부채,260.3787,0.0,***,0.2318,대
기본 재무비율,영업CF_총부채,259.589,0.0,***,0.2312,대
기본 재무비율,FCF,106.2543,0.0,***,0.1096,중
기본 재무비율,FCF_총자산,111.616,0.0,***,0.1145,중
기본 재무비율,매출액증가율,15.4052,0.0,***,0.0175,소
기본 재무비율,영업이익증가율,8.1018,2.3e-05,***,0.0093,소
기본 재무비율,순이익증가율,15.9605,0.0,***,0.0182,소
