기준연도,생애주기,전체,부실,정상,부실률(%),위험점수_최종
2015,쇠퇴기,221,62,159,28.05,100.0
2015,도입기,275,58,217,21.09,65.4
2015,조정기,229,30,199,13.1,28.5
2015,성숙기,537,42,495,7.82,5.6
2015,성장기,417,27,390,6.47,0.0
2016,쇠퇴기,244,71,173,29.1,100.0
2016,도입기,286,74,212,25.87,82.9
2016,조정기,270,43,227,15.93,33.5
2016,성장기,419,38,381,9.07,2.2
2016,성숙기,596,51,545,8.56,0.0
2017,쇠퇴기,248,85,163,34.27,100.0
2017,도입기,325,89,236,27.38,70.3
2017,조정기,288,54,234,18.75,35.9
2017,성장기,458,43,415,9.39,1.7
2017,성숙기,641,57,584,8.89,0.0
2018,쇠퇴기,303,108,195,35.64,100.0
2018,도입기,344,103,241,29.94,75.8
2018,조정기,305,62,243,20.33,38.0
2018,성장기,453,45,408,9.93,1.0
2018,성숙기,686,66,620,9.62,0.0
2019,쇠퇴기,297,133,164,44.78,100.0
2019,도입기,365,116,249,31.78,58.1
2019,조정기,338,69,269,20.41,25.7
2019,성장기,463,52,411,11.23,2.1
2019,성숙기,752,78,674,10.37,0.0
2020,쇠퇴기,332,145,187,43.67,100.0
2020,도입기,368,128,240,34.78,68.6
2020,조정기,371,74,297,19.95,22.0
2020,성장기,500,62,438,12.4,0.8
2020,성숙기,744,90,654,12.1,0.0
2021,쇠퇴기,359,160,199,44.57,100.0
2021,도입기,398,145,253,36.43,71.8
2021,조정기,397,84,313,21.16,24.6
2021,성장기,513,66,447,12.87,1.9
2021,성숙기,790,96,694,12.15,0.0
2022,쇠퇴기,383,174,209,45.43,100.0
2022,도입기,446,164,282,36.77,70.4
2022,조정기,401,89,312,22.19,26.1
2022,성장기,553,76,477,13.74,3.1
2022,성숙기,831,104,727,12.52,0.0
2023,쇠퇴기,400,186,214,46.5,100.0
2023,도입기,469,192,277,40.94,81.1
2023,조정기,422,94,328,22.27,24.8
2023,성장기,463,83,380,17.93,13.2
2023,성숙기,860,110,750,12.79,0.0
2024,쇠퇴기,390,202,188,51.79,100.0
2024,도입기,447,221,226,49.44,92.8
2024,조정기,405,102,303,25.19,27.2
2024,성장기,466,95,371,20.39,16.0
2024,성숙기,906,119,787,13.13,0.0
