기준연도,사업자등록번호,회계년도,생애주기_최종,생애주기_점수,부실라벨_ICR3년
2015,1018136120,2012,성장기,0.0,0
2015,1018137944,2015,성숙기,5.6,0
2015,1018172432,2015,성숙기,5.6,0
2015,1018185242,2012,성숙기,5.6,0
2015,1018665289,2015,조정기,28.5,0
2015,1028141868,2015,성숙기,5.6,0
2015,1048134422,2015,성숙기,5.6,0
2015,1048171655,2015,성숙기,5.6,0
2015,1048642437,2015,성숙기,5.6,0
2015,1058125362,2015,성숙기,5.6,0
2015,1058140174,2015,쇠퇴기,100.0,0
2015,1058153311,2015,성숙기,5.6,0
2015,1058161015,2015,성장기,0.0,0
2015,1058167246,2015,도입기,65.4,0
2015,1058174771,2015,쇠퇴기,100.0,1
2015,1058185147,2015,성장기,0.0,0
2015,1058738796,2015,조정기,28.5,1
2015,1068128552,2015,성장기,0.0,0
2015,1068141079,2015,성숙기,5.6,0
2015,1068147224,2015,성장기,0.0,0
2015,1068175604,2015,성장기,0.0,0
2015,1068199741,2015,성장기,0.0,0
2015,1068623061,2015,성장기,0.0,0
2015,1068640809,2015,성숙기,5.6,0
2015,1078118678,2015,성숙기,5.6,0
2015,1078122376,2015,성숙기,5.6,0
2015,1078131588,2013,성숙기,5.6,1
2015,1078132520,2015,성숙기,5.6,0
2015,1078135721,2015,쇠퇴기,100.0,0
2015,1078136263,2015,성장기,0.0,0
2015,1078137317,2015,성숙기,5.6,0
2015,1078141621,2015,쇠퇴기,100.0,0
2015,1078145758,2015,도입기,65.4,0
2015,1078155620,2014,조정기,28.5,1
2015,1078166530,2014,도입기,65.4,1
2015,1078171881,2015,성장기,0.0,0
2015,1078182845,2015,쇠퇴기,100.0,0
2015,1078191169,2015,성장기,0.0,0
2015,1078192381,2015,도입기,65.4,0
2015,1078609418,2013,도입기,65.4,0
2015,1078610860,2015,성숙기,5.6,0
2015,1078621858,2014,도입기,65.4,0
2015,1078635162,2013,조정기,28.5,0
2015,1078650391,2015,성장기,0.0,0
2015,1078715799,2013,쇠퇴기,100.0,1
2015,1098114912,2015,쇠퇴기,100.0,0
2015,1098135222,2015,성장기,0.0,0
2015,1098145190,2015,성숙기,5.6,0
2015,1098154215,2015,쇠퇴기,100.0,0
2015,1098154914,2012,성숙기,5.6,0
2015,1098160401,2014,도입기,65.4,1
2015,1098161813,2015,성숙기,5.6,0
2015,1098169421,2015,성장기,0.0,0
2015,1098183914,2015,성장기,0.0,0
2015,1098605820,2015,성숙기,5.6,0
2015,1098632332,2015,성장기,0.0,0
2015,1108117530,2015,쇠퇴기,100.0,0
2015,1108137628,2014,성숙기,5.6,0
2015,1108144662,2015,도입기,65.4,0
2015,1108156305,2015,쇠퇴기,100.0,0
2015,1128141787,2015,도입기,65.4,0
2015,1128151761,2015,성숙기,5.6,0
2015,1138100800,2015,성숙기,5.6,0
2015,1138102583,2015,조정기,28.5,0
2015,1138105178,2015,성숙기,5.6,0
2015,1138105993,2015,성장기,0.0,0
2015,1138106390,2015,쇠퇴기,100.0,0
2015,1138114148,2014,도입기,65.4,1
2015,1138116826,2015,성숙기,5.6,0
2015,1138117000,2015,조정기,28.5,0
2015,1138117320,2015,성숙기,5.6,0
2015,1138117882,2015,쇠퇴기,100.0,0
2015,1138118616,2015,도입기,65.4,0
2015,1138127717,2015,성숙기,5.6,0
2015,1138128787,2015,쇠퇴기,100.0,0
2015,1138132675,2015,도입기,65.4,0
2015,1138135954,2015,조정기,28.5,0
2015,1138138965,2015,쇠퇴기,100.0,0
2015,1138140078,2015,성숙기,5.6,0
2015,1138141698,2015,성장기,0.0,0
2015,1138142362,2015,성장기,0.0,0
2015,1138142737,2014,조정기,28.5,0
2015,1138143717,2014,쇠퇴기,100.0,1
2015,1138145767,2015,조정기,28.5,0
2015,1138146091,2012,성숙기,5.6,1
2015,1138146257,2015,쇠퇴기,100.0,0
2015,1138146602,2014,도입기,65.4,1
2015,1138146733,2015,조정기,28.5,0
2015,1138149161,2015,성장기,0.0,0
2015,1138149759,2013,성숙기,5.6,0
2015,1138150523,2013,쇠퇴기,100.0,1
2015,1138151406,2015,성장기,0.0,0
2015,1138151686,2015,성장기,0.0,0
2015,1138151954,2015,조정기,28.5,0
2015,1138154363,2015,성숙기,5.6,0
2015,1138157749,2015,성숙기,5.6,0
2015,1138158132,2015,성장기,0.0,0
2015,1138158748,2015,성숙기,5.6,0
2015,1138159048,2015,쇠퇴기,100.0,0
2015,1138162499,2015,도입기,65.4,0
2015,1138164051,2015,조정기,28.5,0
2015,1138165119,2015,도입기,65.4,0
2015,1138184469,2015,성장기,0.0,0
2015,1138184760,2015,성숙기,5.6,0
2015,1138185449,2015,조정기,28.5,0
2015,1138186074,2015,쇠퇴기,100.0,1
2015,1138188335,2015,성숙기,5.6,0
2015,1138196403,2015,조정기,28.5,0
2015,1138610787,2015,조정기,28.5,0
2015,1148145488,2015,성숙기,5.6,0
2015,1148172331,2015,조정기,28.5,0
2015,1148192507,2015,성장기,0.0,0
2015,1148638599,2015,도입기,65.4,0
2015,1168104862,2015,성장기,0.0,0
2015,1168127133,2015,성숙기,5.6,0
2015,1168133386,2015,도입기,65.4,0
2015,1168154120,2015,성숙기,5.6,0
2015,1168162862,2015,성숙기,5.6,0
2015,1168169870,2015,성숙기,5.6,0
2015,1168173001,2015,성숙기,5.6,0
2015,1168174878,2015,도입기,65.4,0
2015,1178118582,2015,쇠퇴기,100.0,0
2015,1178130460,2015,도입기,65.4,0
2015,1188100334,2015,도입기,65.4,0
2015,1188102308,2015,도입기,65.4,1
2015,1188103836,2015,성숙기,5.6,0
2015,1188107040,2015,성숙기,5.6,0
2015,1188113858,2015,성숙기,5.6,0
2015,1198102937,2015,조정기,28.5,0
2015,1198104411,2015,성장기,0.0,0
2015,1198105477,2014,조정기,28.5,1
2015,1198109513,2015,성숙기,5.6,0
2015,1198110096,2015,성장기,0.0,0
2015,1198113512,2015,성숙기,5.6,0
2015,1198115960,2015,성숙기,5.6,0
2015,1198117217,2015,쇠퇴기,100.0,0
2015,1198119874,2014,성장기,0.0,1
2015,1198119990,2012,조정기,28.5,1
2015,1198120352,2015,성장기,0.0,0
2015,1198121201,2015,성숙기,5.6,0
2015,1198128922,2015,성장기,0.0,0
2015,1198129483,2015,성장기,0.0,0
2015,1198129839,2012,쇠퇴기,100.0,0
2015,1198130563,2015,성숙기,5.6,0
2015,1198138212,2015,성장기,0.0,0
2015,1198139036,2015,성장기,0.0,0
2015,1198140192,2015,성숙기,5.6,0
2015,1198140227,2015,성숙기,5.6,0
2015,1198141283,2015,성숙기,5.6,0
2015,1198145498,2015,성숙기,5.6,0
2015,1198151777,2015,성장기,0.0,0
