변수그룹,변수,F통계량,p값,유의성,Eta²,효과크기
기본 재무비율,부채비율,37.709,0.0,***,0.0381,소
기본 재무비율,총부채비율,100.2558,0.0,***,0.0952,중
기본 재무비율,장기부채비율,37.4123,0.0,***,0.0378,소
기본 재무비율,장기부채의존도,49.0334,0.0,***,0.049,소
기본 재무비율,차입금의존도,149.0603,0.0,***,0.1353,중
기본 재무비율,순차입금비율,38.3936,0.0,***,0.0387,소
기본 재무비율,금융부채비율,38.1539,0.0,***,0.0385,소
기본 재무비율,자기자본비율,86.8662,0.0,***,0.0836,중
기본 재무비율,유보율,48.6667,0.0,***,0.0486,소
기본 재무비율,자본잠식률,34.0487,0.0,***,0.0345,소
기본 재무비율,유동비율,69.8748,0.0,***,0.0683,중
기본 재무비율,당좌비율_추정,69.2143,0.0,***,0.0677,중
기본 재무비율,현금비율,49.1523,0.0,***,0.0491,소
기본 재무비율,순운전자본비율,80.939,0.0,***,0.0783,중
기본 재무비율,순운전자본회전율,9.0716,6e-06,***,0.0094,소
기본 재무비율,금융비용부담률,90.8109,0.0,***,0.087,중
기본 재무비율,비유동비율,41.395,0.0,***,0.0416,소
기본 재무비율,비유동장기적합률,38.8567,0.0,***,0.0392,소
기본 재무비율,유형자산비율,26.6052,0.0,***,0.0272,소
기본 재무비율,유형자산부채비율,31.7373,0.0,***,0.0322,소
기본 재무비율,ROA,155.3045,0.0,***,0.1402,대
기본 재무비율,ROE,14.3488,0.0,***,0.0148,소
기본 재무비율,ROIC,52.5968,0.0,***,0.0523,소
기본 재무비율,총자본영업이익률,222.8763,0.0,***,0.1896,대
기본 재무비율,매출총이익률,64.762,0.0,***,0.0637,중
기본 재무비율,영업이익률,44.9423,0.0,***,0.0451,소
기본 재무비율,순이익률,45.9686,0.0,***,0.046,소
기본 재무비율,EBITDA마진,50.6134,0.0,***,0.0504,소
기본 재무비율,현금ROA,457.4133,0.0,***,0.3244,대
기본 재무비율,현금ROE,14.0565,0.0,***,0.0145,소
기본 재무비율,매출원가율,67.1573,0.0,***,0.0659,중
기본 재무비율,판관비율,79.7164,0.0,***,0.0772,중
기본 재무비율,감가상각비율,58.6892,0.0,***,0.058,소
기본 재무비율,총자산회전율,54.5502,0.0,***,0.0542,소
기본 재무비율,유동자산회전율,22.592,0.0,***,0.0232,소
기본 재무비율,비유동자산회전율,38.3892,0.0,***,0.0387,소
기본 재무비율,유형자산회전율,11.9917,0.0,***,0.0124,소
기본 재무비율,자기자본회전율,3.8884,0.008709,**,0.0041,소
기본 재무비율,투하자본회전율,43.5309,0.0,***,0.0437,소
기본 재무비율,매출채권회전율,0.6088,0.609294,n.s.,0.0006,소
기본 재무비율,매출채권회수기간,44.0188,0.0,***,0.0442,소
기본 재무비율,재고자산회전율,6.4005,0.000256,***,0.0067,소
