기준연도,생애주기,전체,부실,정상,부실률(%),위험점수_최종
2015,쇠퇴기,234,109,125,46.58,100.0
2015,도입기,341,119,222,34.9,63.7
2015,조정기,302,58,244,19.21,21.2
2015,성장기,496,52,444,10.48,0.3
2015,성숙기,638,66,572,10.34,0.0
2016,쇠퇴기,276,127,149,46.01,100.0
2016,도입기,388,136,252,35.05,64.5
2016,조정기,311,70,241,22.51,28.3
2016,성장기,488,65,423,13.32,4.6
2016,성숙기,664,76,588,11.45,0.0
2017,쇠퇴기,299,145,154,48.49,100.0
2017,도입기,404,156,248,38.61,68.9
2017,조정기,307,82,225,26.71,35.3
2017,성장기,508,71,437,13.98,3.5
2017,성숙기,745,93,652,12.48,0.0
2018,쇠퇴기,356,169,187,47.47,100.0
2018,도입기,456,183,273,40.13,74.9
2018,조정기,319,88,231,27.59,36.1
2018,성장기,516,78,438,15.12,2.1
2018,성숙기,741,106,635,14.3,0.0
2019,쇠퇴기,361,183,178,50.69,100.0
2019,도입기,450,205,245,45.56,83.8
2019,조정기,341,99,242,29.03,36.8
2019,성장기,544,85,459,15.62,3.9
2019,성숙기,814,113,701,13.88,0.0
2020,쇠퇴기,387,206,181,53.23,100.0
2020,도입기,487,230,257,47.23,81.3
2020,조정기,386,107,279,27.72,27.8
2020,성숙기,770,125,645,16.23,0.8
2020,성장기,592,94,498,15.88,0.0
2021,쇠퇴기,427,223,204,52.22,100.0
2021,도입기,554,253,301,45.67,79.0
2021,조정기,412,116,296,28.16,29.2
2021,성숙기,779,131,648,16.82,1.3
2021,성장기,608,99,509,16.28,0.0
2022,쇠퇴기,451,234,217,51.88,100.0
2022,도입기,606,275,331,45.38,78.8
2022,조정기,409,124,285,30.32,34.6
2022,성장기,608,108,500,17.76,2.6
2022,성숙기,833,139,694,16.69,0.0
2023,쇠퇴기,478,252,226,52.72,100.0
2023,도입기,624,315,309,50.48,92.7
2023,조정기,409,132,277,32.27,38.8
2023,성장기,544,114,430,20.96,9.9
2023,성숙기,853,143,710,16.76,0.0
2024,도입기,593,347,246,58.52,100.0
2024,쇠퇴기,478,275,203,57.53,97.0
2024,조정기,450,148,302,32.89,30.6
2024,성장기,518,127,391,24.52,11.5
2024,성숙기,869,166,703,19.1,0.0
