변수그룹,변수,F통계량,p값,유의성,Eta²,효과크기
기본 재무비율,부채비율,27.3495,0.0,***,0.0383,소
기본 재무비율,총부채비율,83.3687,0.0,***,0.1083,중
기본 재무비율,장기부채비율,21.5669,0.0,***,0.0305,소
기본 재무비율,장기부채의존도,37.2305,0.0,***,0.0515,소
기본 재무비율,차입금의존도,118.6088,0.0,***,0.1474,대
기본 재무비율,순차입금비율,32.0237,0.0,***,0.0446,소
기본 재무비율,금융부채비율,32.1378,0.0,***,0.0447,소
기본 재무비율,자기자본비율,78.1203,0.0,***,0.1022,중
기본 재무비율,유보율,35.4639,0.0,***,0.0491,소
기본 재무비율,자본잠식률,17.7743,0.0,***,0.0252,소
기본 재무비율,유동비율,42.4941,0.0,***,0.0583,소
기본 재무비율,당좌비율_추정,42.6468,0.0,***,0.0585,소
기본 재무비율,현금비율,39.0238,0.0,***,0.0538,소
기본 재무비율,순운전자본비율,58.0822,0.0,***,0.078,중
기본 재무비율,순운전자본회전율,4.0422,0.007068,**,0.0059,소
기본 재무비율,금융비용부담률,64.6371,0.0,***,0.0861,중
기본 재무비율,비유동비율,28.1502,0.0,***,0.0394,소
기본 재무비율,비유동장기적합률,46.9634,0.0,***,0.064,중
기본 재무비율,유형자산비율,32.2975,0.0,***,0.0449,소
기본 재무비율,유형자산부채비율,24.7469,0.0,***,0.0348,소
기본 재무비율,ROA,80.0922,0.0,***,0.1045,중
기본 재무비율,ROE,15.8228,0.0,***,0.0225,소
기본 재무비율,ROIC,56.4602,0.0,***,0.076,중
기본 재무비율,총자본영업이익률,106.4815,0.0,***,0.1343,중
기본 재무비율,매출총이익률,45.3812,0.0,***,0.062,중
기본 재무비율,영업이익률,50.2542,0.0,***,0.0682,중
기본 재무비율,순이익률,49.3458,0.0,***,0.0671,중
기본 재무비율,EBITDA마진,54.0498,0.0,***,0.073,중
기본 재무비율,현금ROA,271.3261,0.0,***,0.2833,대
기본 재무비율,현금ROE,6.4709,0.000234,***,0.0093,소
기본 재무비율,매출원가율,40.0304,0.0,***,0.0551,소
기본 재무비율,판관비율,65.2711,0.0,***,0.0868,중
기본 재무비율,감가상각비율,41.52,0.0,***,0.057,소
기본 재무비율,총자산회전율,30.8356,0.0,***,0.043,소
기본 재무비율,유동자산회전율,10.3167,1e-06,***,0.0148,소
기본 재무비율,비유동자산회전율,19.9227,0.0,***,0.0282,소
기본 재무비율,유형자산회전율,5.5254,0.00089,***,0.008,소
기본 재무비율,자기자본회전율,4.8952,0.002155,**,0.0071,소
기본 재무비율,투하자본회전율,15.6241,0.0,***,0.0223,소
기본 재무비율,매출채권회전율,8.8529,8e-06,***,0.0127,소
기본 재무비율,매출채권회수기간,30.3156,0.0,***,0.0423,소
기본 재무비율,재고자산회전율,3.4699,0.015555,*,0.005,소
기본 재무비율,재고자산보유기간,38.7733,0.0,***,0.0535,소
기본 재무비율,매입채무회전율,3.477,0.015405,*,0.005,소
기본 재무비율,매입채무지급기간,27.6567,0.0,***,0.0387,소
기본 재무비율,현금전환주기_CCC,33.383,0.0,***,0.0464,소
