기준연도,생애주기,전체,부실,정상,부실률(%),위험점수_최종
2015,쇠퇴기,151,71,80,47.02,100.0
2015,도입기,222,76,146,34.23,61.9
2015,조정기,133,27,106,20.3,25.5
2015,성숙기,524,52,472,9.92,1.6
2015,성장기,532,49,483,9.21,0.0
2016,쇠퇴기,150,77,73,51.33,100.0
2016,도입기,220,87,133,39.55,66.9
2016,조정기,147,33,114,22.45,25.3
2016,성장기,547,58,489,10.6,0.4
2016,성숙기,576,60,516,10.42,0.0
2017,쇠퇴기,174,87,87,50.0,100.0
2017,도입기,241,100,141,41.49,74.2
2017,조정기,189,47,142,24.87,29.8
2017,성장기,528,69,459,13.07,2.4
2017,성숙기,586,70,516,11.95,0.0
2018,쇠퇴기,190,98,92,51.58,100.0
2018,도입기,281,117,164,41.64,69.5
2018,조정기,192,53,139,27.6,31.4
2018,성장기,528,83,445,15.72,3.0
2018,성숙기,598,86,512,14.38,0.0
2019,쇠퇴기,216,116,100,53.7,100.0
2019,도입기,268,139,129,51.87,94.2
2019,조정기,233,72,161,30.9,34.8
2019,성장기,509,107,402,21.02,10.9
2019,성숙기,642,104,538,16.2,0.0
2020,쇠퇴기,226,121,105,53.54,100.0
2020,도입기,308,151,157,49.03,84.0
2020,조정기,257,84,173,32.68,31.5
2020,성장기,547,123,424,22.49,2.9
2020,성숙기,598,128,470,21.4,0.0
2021,쇠퇴기,255,126,129,49.41,100.0
2021,도입기,337,163,174,48.37,95.8
2021,조정기,266,89,177,33.46,39.4
2021,성장기,517,141,376,27.27,18.4
2021,성숙기,637,137,500,21.51,0.0
2022,쇠퇴기,262,138,124,52.67,100.0
2022,도입기,350,180,170,51.43,95.3
2022,조정기,277,98,179,35.38,39.8
2022,성장기,506,154,352,30.43,24.4
2022,성숙기,685,151,534,22.04,0.0
2023,도입기,336,199,137,59.23,100.0
2023,쇠퇴기,241,140,101,58.09,96.3
2023,조정기,291,99,192,34.02,26.8
2023,성장기,509,162,347,31.83,21.3
2023,성숙기,703,161,542,22.9,0.0
2024,도입기,335,212,123,63.28,100.0
2024,쇠퇴기,247,145,102,58.7,86.1
2024,조정기,283,109,174,38.52,32.1
2024,성장기,502,171,331,34.06,21.6
2024,성숙기,713,173,540,24.26,0.0
