변수그룹,변수,F통계량,p값,유의성,Eta²,효과크기
기본 재무비율,부채비율,24.6209,0.0,***,0.0688,중
기본 재무비율,총부채비율,28.8432,0.0,***,0.0796,중
기본 재무비율,장기부채비율,23.6584,0.0,***,0.0663,중
기본 재무비율,장기부채의존도,7.3165,7.4e-05,***,0.0215,소
기본 재무비율,차입금의존도,25.5289,0.0,***,0.0711,중
기본 재무비율,순차입금비율,24.0063,0.0,***,0.0672,중
기본 재무비율,금융부채비율,24.5475,0.0,***,0.0686,중
기본 재무비율,자기자본비율,29.0808,0.0,***,0.0802,중
기본 재무비율,유보율,6.1482,0.000384,***,0.0181,소
기본 재무비율,자본잠식률,5.365,0.001148,**,0.0158,소
기본 재무비율,유동비율,5.5979,0.000829,***,0.0165,소
기본 재무비율,당좌비율_추정,6.6928,0.000179,***,0.0197,소
기본 재무비율,현금비율,8.8471,9e-06,***,0.0259,소
기본 재무비율,순운전자본비율,33.9271,0.0,***,0.0924,중
기본 재무비율,순운전자본회전율,1.5708,0.194819,n.s.,0.0047,소
기본 재무비율,금융비용부담률,52.6284,0.0,***,0.1364,중
기본 재무비율,비유동비율,24.2774,0.0,***,0.0679,중
기본 재무비율,비유동장기적합률,21.1776,0.0,***,0.0597,소
기본 재무비율,유형자산비율,11.8643,0.0,***,0.0344,소
기본 재무비율,유형자산부채비율,9.0092,7e-06,***,0.0263,소
기본 재무비율,ROA,64.7259,0.0,***,0.1626,대
기본 재무비율,ROE,15.3471,0.0,***,0.044,소
기본 재무비율,ROIC,86.9851,0.0,***,0.207,대
기본 재무비율,총자본영업이익률,109.1034,0.0,***,0.2466,대
기본 재무비율,매출총이익률,59.7992,0.0,***,0.1521,대
기본 재무비율,영업이익률,47.025,0.0,***,0.1236,중
기본 재무비율,순이익률,53.2067,0.0,***,0.1376,중
기본 재무비율,EBITDA마진,58.2532,0.0,***,0.1488,대
기본 재무비율,현금ROA,172.4671,0.0,***,0.341,대
기본 재무비율,현금ROE,1.7435,0.156406,n.s.,0.0052,소
기본 재무비율,매출원가율,59.8032,0.0,***,0.1521,대
기본 재무비율,판관비율,46.4729,0.0,***,0.1224,중
기본 재무비율,감가상각비율,38.5914,0.0,***,0.1038,중
기본 재무비율,총자산회전율,3.433,0.016545,*,0.0102,소
기본 재무비율,유동자산회전율,5.7514,0.000669,***,0.017,소
기본 재무비율,비유동자산회전율,0.6724,0.56903,n.s.,0.002,소
기본 재무비율,유형자산회전율,1.8797,0.131286,n.s.,0.0056,소
기본 재무비율,자기자본회전율,3.2329,0.021722,*,0.0096,소
기본 재무비율,투하자본회전율,5.4379,0.001037,**,0.0161,소
기본 재무비율,매출채권회전율,10.8142,1e-06,***,0.0314,소
기본 재무비율,매출채권회수기간,16.3448,0.0,***,0.0467,소
기본 재무비율,재고자산회전율,12.4333,0.0,***,0.036,소
기본 재무비율,재고자산보유기간,9.6464,3e-06,***,0.0281,소
기본 재무비율,매입채무회전율,11.0942,0.0,***,0.0322,소
기본 재무비율,매입채무지급기간,11.1925,0.0,***,0.0325,소
기본 재무비율,현금전환주기_CCC,13.6037,0.0,***,0.0392,소
기본 재무비율,영업CF_유동부채,120.4165,0.0,***,0.2654,대
기본 재무비율,영업CF_총부채,61.4389,0.0,***,0.1556,대
기본 재무비율,FCF,30.4379,0.0,***,0.0837,중
기본 재무비율,FCF_총자산,81.7883,0.0,***,0.197,대
기본 재무비율,매출액증가율,14.1009,0.0,***,0.0406,소
기본 재무비율,영업이익증가율,4.5943,0.00335,**,0.0136,소
기본 재무비율,순이익증가율,12.7949,0.0,***,0.037,소
기본 재무비율,EBITDA증가율,5.221,0.001403,**,0.0154,소
기본 재무비율,총자산증가율,33.2995,0.0,***,0.0908,중
기본 재무비율,유형자산증가율,26.3326,0.0,***,0.0732,중
기본 재무비율,자기자본증가율,11.3239,0.0,***,0.0329,소
기본 재무비율,부채증가율,42.5649,0.0,***,0.1132,중
기본 재무비율,영업현금흐름증가율,15.323,0.0,***,0.0439,소
기본 재무비율,FCF증가율,12.0856,0.0,***,0.035,소
기본 재무비율,ROA변화,2.4482,0.062325,n.s.,0.0073,소
기본 재무비율,영업이익률변화,0.6952,0.555071,n.s.,0.0021,소
기본 재무비율,부채비율변화,3.8087,0.009898,**,0.0113,소
기본 재무비율,유동비율변화,1.6498,0.176279,n.s.,0.0049,소
