기준연도,사업자등록번호,회계년도,생애주기_최종,생애주기_점수,부실라벨_ICR3년
2015,1018194173,2015,성숙기,8.0,0
2015,1018608726,2015,도입기,30.9,0
2015,1018646259,2015,성숙기,8.0,0
2015,1018659676,2015,도입기,30.9,0
2015,1018664320,2015,도입기,30.9,0
2015,1018667540,2015,도입기,30.9,1
2015,1018673756,2015,도입기,30.9,0
2015,1018687357,2015,도입기,30.9,0
2015,1048142392,2015,성숙기,8.0,0
2015,1048148528,2015,성장기,0.0,0
2015,1048193251,2015,조정기,30.6,0
2015,1048600873,2012,성숙기,8.0,1
2015,1048609423,2012,성숙기,8.0,1
2015,1048609909,2013,성숙기,8.0,1
2015,1048610255,2013,성숙기,8.0,1
2015,1048610293,2013,성숙기,8.0,1
2015,1048611837,2015,성숙기,8.0,0
2015,1048612777,2015,성숙기,8.0,1
2015,1048615129,2015,조정기,30.6,0
2015,1048624593,2015,도입기,30.9,0
2015,1048625985,2015,쇠퇴기,100.0,0
2015,1048626868,2015,쇠퇴기,100.0,0
2015,1048631041,2015,성숙기,8.0,1
2015,1048632093,2015,조정기,30.6,0
2015,1048635858,2015,성장기,0.0,0
2015,1048642193,2015,성숙기,8.0,0
2015,1048644231,2015,성숙기,8.0,0
2015,1048644473,2015,조정기,30.6,0
2015,1048655233,2015,성숙기,8.0,0
2015,1048658166,2015,도입기,30.9,0
2015,1058137529,2015,성숙기,8.0,0
2015,1058735241,2013,성숙기,8.0,0
2015,1058788753,2015,성장기,0.0,0
2015,1058799449,2015,성숙기,8.0,0
2015,1058805195,2015,성장기,0.0,0
2015,1068146657,2015,성숙기,8.0,0
2015,1078111689,2013,조정기,30.6,0
2015,1078678327,2015,쇠퇴기,100.0,0
2015,1078681725,2012,도입기,30.9,1
2015,1078700578,2015,성숙기,8.0,0
2015,1078700603,2014,성숙기,8.0,0
2015,1078700980,2015,조정기,30.6,0
2015,1078711401,2015,조정기,30.6,0
2015,1078797864,2015,성장기,0.0,0
2015,1078807919,2015,도입기,30.9,0
2015,1098100586,2015,조정기,30.6,0
2015,1098118000,2015,성숙기,8.0,0
2015,1098131605,2015,성숙기,8.0,0
2015,1098137588,2015,성숙기,8.0,0
