변수그룹,변수,F통계량,p값,유의성,Eta²,효과크기
기본 재무비율,부채비율,110.4938,0.0,***,0.0714,중
기본 재무비율,총부채비율,101.6171,0.0,***,0.066,중
기본 재무비율,장기부채비율,106.9904,0.0,***,0.0693,중
기본 재무비율,장기부채의존도,19.3943,0.0,***,0.0133,소
기본 재무비율,차입금의존도,196.9927,0.0,***,0.1205,중
기본 재무비율,순차입금비율,111.5885,0.0,***,0.072,중
기본 재무비율,금융부채비율,113.2254,0.0,***,0.073,중
기본 재무비율,자기자본비율,58.354,0.0,***,0.039,소
기본 재무비율,유보율,38.3402,0.0,***,0.026,소
기본 재무비율,자본잠식률,31.6844,0.0,***,0.0216,소
기본 재무비율,유동비율,11.6732,0.0,***,0.0081,소
기본 재무비율,당좌비율_추정,21.8584,0.0,***,0.015,소
기본 재무비율,현금비율,34.3377,0.0,***,0.0233,소
기본 재무비율,순운전자본비율,34.1605,0.0,***,0.0232,소
기본 재무비율,순운전자본회전율,36.3943,0.0,***,0.0247,소
기본 재무비율,금융비용부담률,72.4669,0.0,***,0.048,소
기본 재무비율,비유동비율,50.3123,0.0,***,0.0338,소
기본 재무비율,비유동장기적합률,61.5877,0.0,***,0.0411,소
기본 재무비율,유형자산비율,18.9418,0.0,***,0.013,소
기본 재무비율,유형자산부채비율,21.6694,0.0,***,0.0148,소
기본 재무비율,ROA,88.3029,0.0,***,0.0579,소
기본 재무비율,ROE,11.7658,0.0,***,0.0081,소
기본 재무비율,ROIC,38.9162,0.0,***,0.0264,소
기본 재무비율,총자본영업이익률,109.8436,0.0,***,0.071,중
기본 재무비율,매출총이익률,42.6001,0.0,***,0.0288,소
기본 재무비율,영업이익률,76.4654,0.0,***,0.0505,소
기본 재무비율,순이익률,59.0978,0.0,***,0.0395,소
기본 재무비율,EBITDA마진,74.358,0.0,***,0.0492,소
기본 재무비율,현금ROA,222.6433,0.0,***,0.1341,중
기본 재무비율,현금ROE,32.0753,0.0,***,0.0218,소
기본 재무비율,매출원가율,41.7084,0.0,***,0.0282,소
기본 재무비율,판관비율,76.6501,0.0,***,0.0506,소
기본 재무비율,감가상각비율,75.7754,0.0,***,0.0501,소
기본 재무비율,총자산회전율,124.3112,0.0,***,0.0796,중
기본 재무비율,유동자산회전율,133.6042,0.0,***,0.085,중
기본 재무비율,비유동자산회전율,11.1087,0.0,***,0.0077,소
기본 재무비율,유형자산회전율,3.8694,0.008912,**,0.0027,소
기본 재무비율,자기자본회전율,18.8551,0.0,***,0.0129,소
기본 재무비율,투하자본회전율,68.4129,0.0,***,0.0454,소
기본 재무비율,매출채권회전율,51.8995,0.0,***,0.0348,소
기본 재무비율,매출채권회수기간,56.4566,0.0,***,0.0378,소
기본 재무비율,재고자산회전율,48.4038,0.0,***,0.0326,소
기본 재무비율,재고자산보유기간,54.9644,0.0,***,0.0368,소
기본 재무비율,매입채무회전율,6.8588,0.000132,***,0.0047,소
기본 재무비율,매입채무지급기간,86.8125,0.0,***,0.0569,소
기본 재무비율,현금전환주기_CCC,53.5849,0.0,***,0.0359,소
기본 재무비율,영업CF_유동부채,228.0552,0.0,***,0.1369,중
기본 재무비율,영업CF_총부채,248.4959,0.0,***,0.1474,대
기본 재무비율,FCF,82.0535,0.0,***,0.054,소
기본 재무비율,FCF_총자산,73.5741,0.0,***,0.0487,소
기본 재무비율,매출액증가율,13.5748,0.0,***,0.0094,소
기본 재무비율,영업이익증가율,19.5858,0.0,***,0.0134,소
기본 재무비율,순이익증가율,16.5816,0.0,***,0.0114,소
기본 재무비율,EBITDA증가율,14.1139,0.0,***,0.0097,소
기본 재무비율,총자산증가율,63.7628,0.0,***,0.0425,소
기본 재무비율,유형자산증가율,3.8221,0.009515,**,0.0027,소
기본 재무비율,자기자본증가율,44.1652,0.0,***,0.0298,소
기본 재무비율,부채증가율,67.9912,0.0,***,0.0452,소
기본 재무비율,영업현금흐름증가율,79.2729,0.0,***,0.0523,소
기본 재무비율,FCF증가율,46.315,0.0,***,0.0312,소
기본 재무비율,ROA변화,4.231,0.005393,**,0.0029,소
기본 재무비율,영업이익률변화,3.4545,0.015798,*,0.0024,소
기본 재무비율,부채비율변화,17.1795,0.0,***,0.0118,소
기본 재무비율,유동비율변화,11.7154,0.0,***,0.0081,소
