변수그룹,변수,비교,평균(A),평균(B),평균차(A-B),F(Scheffe),p값,유의성
기본 재무비율,부채비율,도입기 vs 성장기,12694.5144,3361.5259,9332.9885,125.4946,0.0,***
기본 재무비율,부채비율,도입기 vs 성숙기,12694.5144,2813.472,9881.0423,305.1919,0.0,***
기본 재무비율,부채비율,도입기 vs 쇠퇴기,12694.5144,7363.0267,5331.4877,78.5676,0.0,***
기본 재무비율,부채비율,성장기 vs 성숙기,3361.5259,2813.472,548.0539,0.4582,0.928,n.s.
기본 재무비율,부채비율,성장기 vs 쇠퇴기,3361.5259,7363.0267,-4001.5008,22.9581,0.0,***
기본 재무비율,부채비율,성숙기 vs 쇠퇴기,2813.472,7363.0267,-4549.5547,64.0291,0.0,***
기본 재무비율,총부채비율,도입기 vs 성장기,90.2445,64.5139,25.7306,88.8889,0.0,***
기본 재무비율,총부채비율,도입기 vs 성숙기,90.2445,59.3808,30.8637,277.4786,0.0,***
기본 재무비율,총부채비율,도입기 vs 쇠퇴기,90.2445,78.4365,11.808,35.914,0.0,***
기본 재무비율,총부채비율,성장기 vs 성숙기,64.5139,59.3808,5.1332,3.7456,0.2904,n.s.
기본 재무비율,총부채비율,성장기 vs 쇠퇴기,64.5139,78.4365,-13.9226,25.8997,0.0,***
기본 재무비율,총부채비율,성숙기 vs 쇠퇴기,59.3808,78.4365,-19.0557,104.6782,0.0,***
기본 재무비율,장기부채비율,도입기 vs 성장기,3626.44,1143.8551,2482.5849,115.25,0.0,***
기본 재무비율,장기부채비율,도입기 vs 성숙기,3626.44,905.1057,2721.3343,300.4556,0.0,***
기본 재무비율,장기부채비율,도입기 vs 쇠퇴기,3626.44,1881.6619,1744.7781,109.2134,0.0,***
기본 재무비율,장기부채비율,성장기 vs 성숙기,1143.8551,905.1057,238.7494,1.1285,0.7702,n.s.
기본 재무비율,장기부채비율,성장기 vs 쇠퇴기,1143.8551,1881.6619,-737.8068,10.1304,0.0176,*
기본 재무비율,장기부채비율,성숙기 vs 쇠퇴기,905.1057,1881.6619,-976.5562,38.2898,0.0,***
기본 재무비율,장기부채의존도,도입기 vs 성장기,27.4503,20.6603,6.79,16.2816,0.001,**
기본 재무비율,장기부채의존도,도입기 vs 성숙기,27.4503,18.9809,8.4694,54.9605,0.0,***
기본 재무비율,장기부채의존도,도입기 vs 쇠퇴기,27.4503,23.6713,3.779,9.6754,0.0216,*
기본 재무비율,장기부채의존도,성장기 vs 성숙기,20.6603,18.9809,1.6794,1.0546,0.788,n.s.
기본 재무비율,장기부채의존도,성장기 vs 쇠퇴기,20.6603,23.6713,-3.011,3.1863,0.3639,n.s.
기본 재무비율,장기부채의존도,성숙기 vs 쇠퇴기,18.9809,23.6713,-4.6904,16.6818,0.0008,***
기본 재무비율,차입금의존도,도입기 vs 성장기,62.9586,33.0505,29.9081,204.0225,0.0,***
기본 재무비율,차입금의존도,도입기 vs 성숙기,62.9586,29.3867,33.5719,557.7463,0.0,***
기본 재무비율,차입금의존도,도입기 vs 쇠퇴기,62.9586,43.445,19.5136,166.625,0.0,***
기본 재무비율,차입금의존도,성장기 vs 성숙기,33.0505,29.3867,3.6638,3.2417,0.356,n.s.
기본 재무비율,차입금의존도,성장기 vs 쇠퇴기,33.0505,43.445,-10.3945,24.5251,0.0,***
기본 재무비율,차입금의존도,성숙기 vs 쇠퇴기,29.3867,43.445,-14.0583,96.7879,0.0,***
기본 재무비율,순차입금비율,도입기 vs 성장기,7116.5873,1858.4313,5258.1559,131.563,0.0,***
기본 재무비율,순차입금비율,도입기 vs 성숙기,7116.5873,1684.0905,5432.4968,304.684,0.0,***
기본 재무비율,순차입금비율,도입기 vs 쇠퇴기,7116.5873,4239.7328,2876.8545,75.5554,0.0,***
기본 재무비율,순차입금비율,성장기 vs 성숙기,1858.4313,1684.0905,174.3409,0.1531,0.9848,n.s.
기본 재무비율,순차입금비율,성장기 vs 쇠퇴기,1858.4313,4239.7328,-2381.3014,26.8536,0.0,***
기본 재무비율,순차입금비율,성숙기 vs 쇠퇴기,1684.0905,4239.7328,-2555.6423,66.7303,0.0,***
기본 재무비율,금융부채비율,도입기 vs 성장기,7483.8144,1963.2431,5520.5713,133.7298,0.0,***
기본 재무비율,금융부채비율,도입기 vs 성숙기,7483.8144,1788.9865,5694.8279,308.7488,0.0,***
기본 재무비율,금융부채비율,도입기 vs 쇠퇴기,7483.8144,4487.1091,2996.7053,75.5982,0.0,***
기본 재무비율,금융부채비율,성장기 vs 성숙기,1963.2431,1788.9865,174.2566,0.1411,0.9865,n.s.
기본 재무비율,금융부채비율,성장기 vs 쇠퇴기,1963.2431,4487.1091,-2523.866,27.8163,0.0,***
기본 재무비율,금융부채비율,성숙기 vs 쇠퇴기,1788.9865,4487.1091,-2698.1226,68.5867,0.0,***
기본 재무비율,자기자본비율,도입기 vs 성장기,6.4148,33.4128,-26.998,52.4683,0.0,***
기본 재무비율,자기자본비율,도입기 vs 성숙기,6.4148,37.881,-31.4662,154.6338,0.0,***
기본 재무비율,자기자본비율,도입기 vs 쇠퇴기,6.4148,17.1942,-10.7794,16.0466,0.0011,**
기본 재무비율,자기자본비율,성장기 vs 성숙기,33.4128,37.881,-4.4681,1.5215,0.6773,n.s.
기본 재무비율,자기자본비율,성장기 vs 쇠퇴기,33.4128,17.1942,16.2187,18.8439,0.0003,***
기본 재무비율,자기자본비율,성숙기 vs 쇠퇴기,37.881,17.1942,20.6868,66.1417,0.0,***
기본 재무비율,유보율,도입기 vs 성장기,-452.3729,1221.0877,-1673.4606,43.783,0.0,***
기본 재무비율,유보율,도입기 vs 성숙기,-452.3729,1310.4683,-1762.8412,105.4107,0.0,***
기본 재무비율,유보율,도입기 vs 쇠퇴기,-452.3729,473.375,-925.748,25.7053,0.0,***
기본 재무비율,유보율,성장기 vs 성숙기,1221.0877,1310.4683,-89.3806,0.1322,0.9877,n.s.
기본 재무비율,유보율,성장기 vs 쇠퇴기,1221.0877,473.375,747.7127,8.6986,0.0337,*
기본 재무비율,유보율,성숙기 vs 쇠퇴기,1310.4683,473.375,837.0932,23.5222,0.0,***
기본 재무비율,자본잠식률,도입기 vs 성장기,-169.4476,-1598.0943,1428.6467,38.8886,0.0,***
기본 재무비율,자본잠식률,도입기 vs 성숙기,-169.4476,-1603.2912,1433.8436,84.9884,0.0,***
기본 재무비율,자본잠식률,도입기 vs 쇠퇴기,-169.4476,-895.5374,726.0898,19.2715,0.0002,***
기본 재무비율,자본잠식률,성장기 vs 성숙기,-1598.0943,-1603.2912,5.1969,0.0005,1.0,n.s.
기본 재무비율,자본잠식률,성장기 vs 쇠퇴기,-1598.0943,-895.5374,-702.5569,9.3593,0.025,*
기본 재무비율,자본잠식률,성숙기 vs 쇠퇴기,-1603.2912,-895.5374,-707.7538,20.4924,0.0001,***
기본 재무비율,유동비율,도입기 vs 성장기,344.1218,320.3117,23.8101,0.1368,0.9871,n.s.
기본 재무비율,유동비율,도입기 vs 성숙기,344.1218,566.7279,-222.6061,25.9416,0.0,***
기본 재무비율,유동비율,도입기 vs 쇠퇴기,344.1218,514.5219,-170.4001,13.4413,0.0038,**
기본 재무비율,유동비율,성장기 vs 성숙기,320.3117,566.7279,-246.4162,15.5123,0.0014,**
기본 재무비율,유동비율,성장기 vs 쇠퇴기,320.3117,514.5219,-194.2102,9.0571,0.0287,*
기본 재무비율,유동비율,성숙기 vs 쇠퇴기,566.7279,514.5219,52.206,1.412,0.7027,n.s.
기본 재무비율,당좌비율_추정,도입기 vs 성장기,181.7077,253.2974,-71.5897,2.5547,0.4656,n.s.
기본 재무비율,당좌비율_추정,도입기 vs 성숙기,181.7077,416.3123,-234.6046,59.5255,0.0,***
기본 재무비율,당좌비율_추정,도입기 vs 쇠퇴기,181.7077,358.8024,-177.0947,29.993,0.0,***
기본 재무비율,당좌비율_추정,성장기 vs 성숙기,253.2974,416.3123,-163.0149,14.0248,0.0029,**
기본 재무비율,당좌비율_추정,성장기 vs 쇠퇴기,253.2974,358.8024,-105.505,5.522,0.1375,n.s.
기본 재무비율,당좌비율_추정,성숙기 vs 쇠퇴기,416.3123,358.8024,57.5098,3.5399,0.3158,n.s.
기본 재무비율,현금비율,도입기 vs 성장기,28.5146,49.2972,-20.7826,5.33,0.1493,n.s.
기본 재무비율,현금비율,도입기 vs 성숙기,28.5146,89.6595,-61.1449,100.1004,0.0,***
기본 재무비율,현금비율,도입기 vs 쇠퇴기,28.5146,63.9175,-35.4029,29.6737,0.0,***
기본 재무비율,현금비율,성장기 vs 성숙기,49.2972,89.6595,-40.3623,21.2854,0.0001,***
기본 재무비율,현금비율,성장기 vs 쇠퇴기,49.2972,63.9175,-14.6203,2.6251,0.4532,n.s.
기본 재무비율,현금비율,성숙기 vs 쇠퇴기,89.6595,63.9175,25.742,17.5579,0.0006,***
기본 재무비율,순운전자본비율,도입기 vs 성장기,2.4681,11.2305,-8.7624,7.2201,0.0654,n.s.
기본 재무비율,순운전자본비율,도입기 vs 성숙기,2.4681,23.9638,-21.4957,94.2719,0.0,***
기본 재무비율,순운전자본비율,도입기 vs 쇠퇴기,2.4681,8.8771,-6.409,7.4103,0.0601,n.s.
기본 재무비율,순운전자본비율,성장기 vs 성숙기,11.2305,23.9638,-12.7333,16.1426,0.0011,**
기본 재무비율,순운전자본비율,성장기 vs 쇠퇴기,11.2305,8.8771,2.3534,0.5183,0.9148,n.s.
기본 재무비율,순운전자본비율,성숙기 vs 쇠퇴기,23.9638,8.8771,15.0867,45.9558,0.0,***
기본 재무비율,순운전자본회전율,도입기 vs 성장기,2.6411,3.8303,-1.1892,9.1045,0.028,*
기본 재무비율,순운전자본회전율,도입기 vs 성숙기,2.6411,4.9405,-2.2994,73.8457,0.0,***
기본 재무비율,순운전자본회전율,도입기 vs 쇠퇴기,2.6411,2.5089,0.1322,0.216,0.975,n.s.
기본 재무비율,순운전자본회전율,성장기 vs 성숙기,3.8303,4.9405,-1.1101,8.3999,0.0386,*
기본 재무비율,순운전자본회전율,성장기 vs 쇠퇴기,3.8303,2.5089,1.3215,11.1878,0.0108,*
기본 재무비율,순운전자본회전율,성숙기 vs 쇠퇴기,4.9405,2.5089,2.4316,81.7274,0.0,***
기본 재무비율,금융비용부담률,도입기 vs 성장기,1097.3417,88.1456,1009.1961,73.4276,0.0,***
기본 재무비율,금융비용부담률,도입기 vs 성숙기,1097.3417,27.5206,1069.8211,179.0253,0.0,***
기본 재무비율,금융비용부담률,도입기 vs 쇠퇴기,1097.3417,792.066,305.2757,12.8901,0.0049,**
기본 재무비율,금융비용부담률,성장기 vs 성숙기,88.1456,27.5206,60.625,0.2805,0.9636,n.s.
기본 재무비율,금융비용부담률,성장기 vs 쇠퇴기,88.1456,792.066,-703.9204,35.5519,0.0,***
기본 재무비율,금융비용부담률,성숙기 vs 쇠퇴기,27.5206,792.066,-764.5454,90.4838,0.0,***
기본 재무비율,비유동비율,도입기 vs 성장기,4481.5672,1441.098,3040.4691,54.4512,0.0,***
기본 재무비율,비유동비율,도입기 vs 성숙기,4481.5672,1239.7233,3241.8438,134.3057,0.0,***
기본 재무비율,비유동비율,도입기 vs 쇠퇴기,4481.5672,3125.1535,1356.4137,20.7909,0.0001,***
기본 재무비율,비유동비율,성장기 vs 성숙기,1441.098,1239.7233,201.3747,0.2529,0.9686,n.s.
기본 재무비율,비유동비율,성장기 vs 쇠퇴기,1441.098,3125.1535,-1684.0554,16.6244,0.0009,***
기본 재무비율,비유동비율,성숙기 vs 쇠퇴기,1239.7233,3125.1535,-1885.4301,44.9576,0.0,***
기본 재무비율,비유동장기적합률,도입기 vs 성장기,269.0064,127.6444,141.362,56.55,0.0,***
기본 재무비율,비유동장기적합률,도입기 vs 성숙기,269.0064,102.5147,166.4917,170.1908,0.0,***
기본 재무비율,비유동장기적합률,도입기 vs 쇠퇴기,269.0064,199.0853,69.9211,26.5428,0.0,***
기본 재무비율,비유동장기적합률,성장기 vs 성숙기,127.6444,102.5147,25.1297,1.8921,0.5951,n.s.
기본 재무비율,비유동장기적합률,성장기 vs 쇠퇴기,127.6444,199.0853,-71.4409,14.3737,0.0025,**
기본 재무비율,비유동장기적합률,성숙기 vs 쇠퇴기,102.5147,199.0853,-96.5706,56.6648,0.0,***
기본 재무비율,유형자산비율,도입기 vs 성장기,19.5701,25.1607,-5.5906,13.8208,0.0032,**
기본 재무비율,유형자산비율,도입기 vs 성숙기,19.5701,16.1034,3.4667,11.53,0.0092,**
기본 재무비율,유형자산비율,도입기 vs 쇠퇴기,19.5701,15.0156,4.5545,17.5974,0.0005,***
기본 재무비율,유형자산비율,성장기 vs 성숙기,25.1607,16.1034,9.0573,38.4069,0.0,***
기본 재무비율,유형자산비율,성장기 vs 쇠퇴기,25.1607,15.0156,10.1451,45.2928,0.0,***
기본 재무비율,유형자산비율,성숙기 vs 쇠퇴기,16.1034,15.0156,1.0877,1.1234,0.7714,n.s.
기본 재무비율,유형자산부채비율,도입기 vs 성장기,27.8266,46.268,-18.4414,38.8952,0.0,***
기본 재무비율,유형자산부채비율,도입기 vs 성숙기,27.8266,39.4922,-11.6656,33.7681,0.0,***
기본 재무비율,유형자산부채비율,도입기 vs 쇠퇴기,27.8266,29.7107,-1.8841,0.7789,0.8545,n.s.
기본 재무비율,유형자산부채비율,성장기 vs 성숙기,46.268,39.4922,6.7758,5.5594,0.1353,n.s.
기본 재무비율,유형자산부채비율,성장기 vs 쇠퇴기,46.268,29.7107,16.5574,31.2029,0.0,***
기본 재무비율,유형자산부채비율,성숙기 vs 쇠퇴기,39.4922,29.7107,9.7815,23.495,0.0,***
기본 재무비율,ROA,도입기 vs 성장기,-4.7591,-0.9687,-3.7904,17.4389,0.0006,***
기본 재무비율,ROA,도입기 vs 성숙기,-4.7591,1.7623,-6.5213,111.9974,0.0,***
기본 재무비율,ROA,도입기 vs 쇠퇴기,-4.7591,-7.8355,3.0764,22.0398,0.0001,***
기본 재무비율,ROA,성장기 vs 성숙기,-0.9687,1.7623,-2.7309,9.5846,0.0225,*
기본 재무비율,ROA,성장기 vs 쇠퇴기,-0.9687,-7.8355,6.8668,56.96,0.0,***
기본 재무비율,ROA,성숙기 vs 쇠퇴기,1.7623,-7.8355,9.5977,240.0754,0.0,***
기본 재무비율,ROE,도입기 vs 성장기,38.3109,8.3547,29.9562,20.8535,0.0001,***
기본 재무비율,ROE,도입기 vs 성숙기,38.3109,22.0388,16.2721,13.3499,0.004,**
기본 재무비율,ROE,도입기 vs 쇠퇴기,38.3109,13.864,24.4468,26.6451,0.0,***
기본 재무비율,ROE,성장기 vs 성숙기,8.3547,22.0388,-13.684,4.6072,0.2031,n.s.
기본 재무비율,ROE,성장기 vs 쇠퇴기,8.3547,13.864,-5.5093,0.702,0.8727,n.s.
기본 재무비율,ROE,성숙기 vs 쇠퇴기,22.0388,13.864,8.1747,3.3344,0.343,n.s.
기본 재무비율,ROIC,도입기 vs 성장기,-6.7832,-2.5445,-4.2387,2.8197,0.4204,n.s.
기본 재무비율,ROIC,도입기 vs 성숙기,-6.7832,0.633,-7.4162,18.7274,0.0003,***
기본 재무비율,ROIC,도입기 vs 쇠퇴기,-6.7832,-17.6438,10.8606,35.5144,0.0,***
기본 재무비율,ROIC,성장기 vs 성숙기,-2.5445,0.633,-3.1775,1.6776,0.6419,n.s.
