기준연도,사업자등록번호,회계년도,생애주기_최종,생애주기_점수,부실라벨_ICR3년
2015,1018100452,2015,조정기,57.8,0
2015,1018116293,2015,성장기,0.0,0
2015,1018118587,2012,도입기,47.4,1
2015,1018122169,2015,성숙기,17.5,0
2015,1018132274,2014,쇠퇴기,100.0,0
2015,1018134928,2015,성숙기,17.5,0
2015,1018154491,2015,성숙기,17.5,0
2015,1018177650,2015,도입기,47.4,0
2015,1018178362,2012,성숙기,17.5,1
2015,1018195129,2014,조정기,57.8,1
2015,1018603420,2015,조정기,57.8,0
2015,1018617472,2012,조정기,57.8,1
2015,1018618980,2015,도입기,47.4,0
2015,1018623483,2015,조정기,57.8,0
2015,1018628362,2015,도입기,47.4,0
2015,1018631566,2015,도입기,47.4,0
2015,1018632060,2015,조정기,57.8,1
2015,1018633230,2014,성숙기,17.5,1
2015,1018634108,2012,조정기,57.8,1
2015,1018642063,2014,성장기,0.0,1
2015,1018660606,2015,성장기,0.0,0
2015,1018666745,2015,성숙기,17.5,1
2015,1018668006,2015,도입기,47.4,0
2015,1018670332,2015,도입기,47.4,0
2015,1018671705,2015,조정기,57.8,0
2015,1018672456,2015,성숙기,17.5,1
2015,1018674890,2015,성숙기,17.5,0
2015,1018684914,2015,도입기,47.4,0
2015,1018685529,2015,성장기,0.0,0
2015,1028101906,2013,쇠퇴기,100.0,0
2015,1028115088,2015,도입기,47.4,0
2015,1028122615,2015,성장기,0.0,0
2015,1028126998,2015,성장기,0.0,0
2015,1028129132,2015,성숙기,17.5,0
2015,1028129433,2012,쇠퇴기,100.0,0
2015,1028134936,2013,도입기,47.4,0
2015,1028136050,2015,도입기,47.4,0
2015,1028137710,2015,쇠퇴기,100.0,0
2015,1048100771,2012,조정기,57.8,1
2015,1048109980,2015,도입기,47.4,0
2015,1048118121,2015,쇠퇴기,100.0,0
2015,1048131309,2012,쇠퇴기,100.0,1
2015,1048142238,2012,도입기,47.4,1
2015,1048142465,2012,쇠퇴기,100.0,1
2015,1048158180,2015,성장기,0.0,0
2015,1048164571,2015,쇠퇴기,100.0,0
2015,1048164794,2012,성숙기,17.5,1
2015,1048168072,2015,성숙기,17.5,0
2015,1048173406,2015,도입기,47.4,1
2015,1048183369,2015,성숙기,17.5,0
2015,1048199648,2015,도입기,47.4,0
2015,1048607463,2015,쇠퇴기,100.0,0
2015,1048611991,2014,조정기,57.8,1
2015,1048614362,2015,성숙기,17.5,0
2015,1048614644,2014,조정기,57.8,1
2015,1048620748,2012,조정기,57.8,1
2015,1048621451,2015,도입기,47.4,0
2015,1048625272,2015,성장기,0.0,0
2015,1048625286,2015,도입기,47.4,0
2015,1048625312,2015,조정기,57.8,1
2015,1048625404,2015,도입기,47.4,0
2015,1048625419,2015,도입기,47.4,0
2015,1048638345,2015,도입기,47.4,0
2015,1048639892,2015,성숙기,17.5,0
2015,1048640351,2015,조정기,57.8,0
2015,1048640647,2014,도입기,47.4,1
2015,1058106123,2015,성숙기,17.5,0
2015,1058111500,2015,쇠퇴기,100.0,0
2015,1058112659,2015,성장기,0.0,0
2015,1058113022,2015,성숙기,17.5,0
2015,1058117479,2015,도입기,47.4,0
2015,1058123234,2015,성숙기,17.5,0
2015,1058129640,2015,도입기,47.4,0
2015,1058130768,2015,성숙기,17.5,0
2015,1058143701,2014,조정기,57.8,0
2015,1058147352,2015,성숙기,17.5,0
2015,1058148157,2015,쇠퇴기,100.0,0
2015,1058154625,2015,조정기,57.8,0
2015,1058156661,2015,쇠퇴기,100.0,0
2015,1058162805,2015,성숙기,17.5,0
2015,1058171420,2015,조정기,57.8,0
2015,1058172190,2015,성숙기,17.5,0
2015,1058172278,2015,쇠퇴기,100.0,0
2015,1058174543,2015,조정기,57.8,0
2015,1058175028,2015,쇠퇴기,100.0,0
2015,1058178307,2015,도입기,47.4,0
2015,1058179252,2015,성숙기,17.5,0
2015,1058195117,2015,성장기,0.0,0
2015,1058617343,2012,쇠퇴기,100.0,1
2015,1058622638,2015,도입기,47.4,0
2015,1058625329,2015,성숙기,17.5,0
2015,1058654426,2014,쇠퇴기,100.0,0
2015,1058664133,2014,성숙기,17.5,1
2015,1058673535,2015,쇠퇴기,100.0,0
2015,1058734067,2015,성숙기,17.5,0
2015,1058740268,2014,쇠퇴기,100.0,1
2015,1058768650,2015,성숙기,17.5,0
2015,1058769038,2014,도입기,47.4,0
2015,1068100044,2012,쇠퇴기,100.0,1
2015,1068127271,2015,성숙기,17.5,0
2015,1068132769,2012,성숙기,17.5,1
2015,1068133808,2015,쇠퇴기,100.0,0
2015,1068136649,2015,도입기,47.4,0
2015,1068151257,2015,성장기,0.0,0
2015,1068165557,2015,쇠퇴기,100.0,0
2015,1068180878,2015,성숙기,17.5,0
2015,1068186926,2013,도입기,47.4,1
2015,1068193280,2015,성숙기,17.5,0
2015,1068608570,2013,조정기,57.8,1
2015,1068610120,2015,성숙기,17.5,0
2015,1068611610,2012,성숙기,17.5,1
2015,1068623488,2012,성숙기,17.5,0
2015,1068651489,2015,도입기,47.4,0
2015,1068678625,2014,조정기,57.8,1
2015,1068685596,2015,성장기,0.0,0
2015,1068685785,2015,성숙기,17.5,1
2015,1068708975,2015,도입기,47.4,0
2015,1078117437,2015,조정기,57.8,0
2015,1078132326,2015,조정기,57.8,0
2015,1078133946,2015,조정기,57.8,0
2015,1078136322,2012,조정기,57.8,1
2015,1078137239,2015,조정기,57.8,0
2015,1078139445,2015,성장기,0.0,0
2015,1078140340,2015,성숙기,17.5,0
2015,1078150794,2015,성숙기,17.5,0
2015,1078160797,2015,성숙기,17.5,0
2015,1078164755,2013,조정기,57.8,1
2015,1078164911,2015,쇠퇴기,100.0,0
2015,1078168348,2012,쇠퇴기,100.0,1
2015,1078177148,2014,조정기,57.8,0
2015,1078193207,2015,성숙기,17.5,0
2015,1078198352,2012,도입기,47.4,1
2015,1078611651,2015,조정기,57.8,0
2015,1078622008,2015,쇠퇴기,100.0,0
2015,1078649292,2015,성숙기,17.5,0
2015,1078650450,2015,도입기,47.4,0
2015,1078657088,2015,쇠퇴기,100.0,0
2015,1078658995,2015,쇠퇴기,100.0,0
2015,1078660924,2015,쇠퇴기,100.0,1
2015,1078662150,2012,조정기,57.8,1
2015,1078666082,2012,쇠퇴기,100.0,1
2015,1078672508,2012,도입기,47.4,1
2015,1078676260,2015,쇠퇴기,100.0,0
2015,1078678216,2015,조정기,57.8,0
2015,1078680935,2015,조정기,57.8,0
2015,1078683174,2015,쇠퇴기,100.0,0
2015,1078692673,2015,성숙기,17.5,0
2015,1078702450,2012,조정기,57.8,1
2015,1078709109,2013,쇠퇴기,100.0,1
2015,1078712773,2013,쇠퇴기,100.0,1
2015,1078715839,2013,성숙기,17.5,1
2015,1078722043,2015,성숙기,17.5,0
2015,1078822924,2015,조정기,57.8,0
2015,1088124154,2012,쇠퇴기,100.0,0
2015,1088138925,2015,조정기,57.8,0
2015,1088139676,2015,조정기,57.8,0
2015,1088147079,2012,쇠퇴기,100.0,1
2015,1088153019,2015,성숙기,17.5,0
2015,1088165140,2012,조정기,57.8,0
2015,1088166251,2015,쇠퇴기,100.0,0
2015,1088166741,2012,성숙기,17.5,1
2015,1088192249,2014,성숙기,17.5,0
2015,1098113214,2015,성숙기,17.5,0
2015,1098115809,2012,성숙기,17.5,1
2015,1098128677,2014,성장기,0.0,0
2015,1098139058,2015,성장기,0.0,0
2015,1098143173,2015,성숙기,17.5,0
2015,1098144338,2014,조정기,57.8,0
2015,1098144793,2015,도입기,47.4,0
2015,1098146622,2015,성장기,0.0,0
2015,1098148412,2013,성숙기,17.5,0
2015,1098160342,2015,도입기,47.4,0
2015,1098171058,2015,성장기,0.0,0
2015,1098178541,2014,성숙기,17.5,0
2015,1098617520,2015,쇠퇴기,100.0,0
2015,1098631876,2014,조정기,57.8,0
2015,1098632327,2015,성숙기,17.5,0
2015,1098637716,2015,도입기,47.4,0
2015,1098643237,2015,도입기,47.4,0
2015,1108100214,2015,쇠퇴기,100.0,0
2015,1108107293,2013,쇠퇴기,100.0,1
2015,1108114611,2015,성장기,0.0,0
2015,1108120715,2012,성장기,0.0,0
2015,1108122052,2015,성숙기,17.5,0
2015,1108128212,2014,조정기,57.8,0
2015,1108128978,2013,성숙기,17.5,1
2015,1108131639,2015,성숙기,17.5,0
2015,1108132720,2012,쇠퇴기,100.0,1
2015,1108132943,2015,성숙기,17.5,0
2015,1108145695,2015,성숙기,17.5,0
2015,1108147811,2012,조정기,57.8,1
2015,1108148635,2013,조정기,57.8,0
2015,1108150897,2014,성장기,0.0,1
2015,1108154025,2013,조정기,57.8,0
2015,1108171155,2015,성숙기,17.5,0
2015,1108173809,2012,조정기,57.8,1
2015,1108174375,2013,조정기,57.8,0
2015,1108185979,2012,쇠퇴기,100.0,1
2015,1108186702,2015,도입기,47.4,0
2015,1108186997,2012,쇠퇴기,100.0,1
2015,1108188898,2012,도입기,47.4,1
2015,1108199449,2015,성장기,0.0,1
