기준연도,사업자등록번호,회계년도,생애주기_최종,생애주기_점수,부실라벨_ICR3년
2015,0008110041,2015,도입기,75.7,0
2015,0008120009,2012,성숙기,3.2,1
2015,1018105122,2012,쇠퇴기,100.0,1
2015,1018106586,2015,도입기,75.7,1
2015,1018116269,2015,성숙기,3.2,0
2015,1018116478,2015,도입기,75.7,0
2015,1018117953,2015,성숙기,3.2,0
2015,1018118781,2015,성숙기,3.2,0
2015,1018119311,2015,쇠퇴기,100.0,0
2015,1018119742,2015,성숙기,3.2,0
2015,1018121379,2015,조정기,32.8,0
2015,1018121627,2015,성숙기,3.2,0
2015,1018122854,2015,쇠퇴기,100.0,0
2015,1018124696,2015,성숙기,3.2,0
2015,1018124906,2015,도입기,75.7,0
2015,1018125905,2015,성숙기,3.2,0
2015,1018133711,2014,쇠퇴기,100.0,1
2015,1018135174,2015,성숙기,3.2,0
2015,1018139753,2015,성숙기,3.2,0
2015,1018145255,2015,조정기,32.8,0
2015,1018146818,2015,성숙기,3.2,0
2015,1018151140,2015,쇠퇴기,100.0,0
2015,1018152964,2015,성장기,0.0,0
2015,1018153885,2015,도입기,75.7,0
2015,1018156562,2015,성장기,0.0,0
2015,1018157557,2015,성장기,0.0,0
2015,1018162216,2015,성숙기,3.2,0
2015,1018162671,2015,성장기,0.0,0
2015,1018163684,2015,조정기,32.8,0
2015,1018168210,2012,성장기,0.0,1
2015,1018170486,2012,성숙기,3.2,0
2015,1018181154,2015,쇠퇴기,100.0,0
2015,1018182546,2012,도입기,75.7,0
2015,1018185747,2012,쇠퇴기,100.0,1
2015,1018188569,2012,조정기,32.8,0
2015,1018197791,2015,성장기,0.0,0
2015,1018602042,2015,성장기,0.0,0
2015,1018604088,2015,성숙기,3.2,0
2015,1018605258,2015,성숙기,3.2,0
2015,1018606164,2015,조정기,32.8,0
2015,1018607256,2015,성장기,0.0,0
2015,1018608274,2015,성숙기,3.2,0
2015,1018608916,2015,도입기,75.7,1
2015,1018610616,2015,도입기,75.7,0
2015,1018614757,2015,성숙기,3.2,0
2015,1018614887,2015,성장기,0.0,0
2015,1018614946,2015,조정기,32.8,0
2015,1018616997,2012,쇠퇴기,100.0,0
2015,1018617259,2015,도입기,75.7,0
2015,1018617910,2015,성장기,0.0,0
2015,1018624901,2015,성숙기,3.2,0
2015,1018629930,2012,도입기,75.7,1
