변수그룹,변수,F통계량,p값,유의성,Eta²,효과크기
기본 재무비율,부채비율,5.3408,0.001209,**,0.0208,소
기본 재무비율,총부채비율,6.2205,0.000356,***,0.0242,소
기본 재무비율,장기부채비율,6.2961,0.00032,***,0.0244,소
기본 재무비율,장기부채의존도,2.75,0.041853,*,0.0108,소
기본 재무비율,차입금의존도,21.4318,0.0,***,0.0786,중
기본 재무비율,순차입금비율,5.3838,0.001139,**,0.021,소
기본 재무비율,금융부채비율,5.2654,0.001342,**,0.0205,소
기본 재무비율,자기자본비율,5.3994,0.001114,**,0.021,소
기본 재무비율,유보율,9.1905,6e-06,***,0.0353,소
기본 재무비율,자본잠식률,3.6418,0.012541,*,0.0143,소
기본 재무비율,유동비율,5.7008,0.000733,***,0.0222,소
기본 재무비율,당좌비율_추정,5.6931,0.000741,***,0.0221,소
기본 재무비율,현금비율,8.5099,1.5e-05,***,0.0328,소
기본 재무비율,순운전자본비율,7.8668,3.6e-05,***,0.0304,소
기본 재무비율,순운전자본회전율,4.6635,0.003085,**,0.0182,소
기본 재무비율,금융비용부담률,16.2442,0.0,***,0.0607,중
기본 재무비율,비유동비율,5.1583,0.001556,**,0.0201,소
기본 재무비율,비유동장기적합률,4.0002,0.007684,**,0.0157,소
기본 재무비율,유형자산비율,22.0611,0.0,***,0.0807,중
기본 재무비율,유형자산부채비율,1.2805,0.279936,n.s.,0.0051,소
기본 재무비율,ROA,18.6152,0.0,***,0.069,중
기본 재무비율,ROE,2.6628,0.047023,*,0.0105,소
기본 재무비율,ROIC,10.9679,0.0,***,0.0418,소
기본 재무비율,총자본영업이익률,37.7975,0.0,***,0.1307,중
기본 재무비율,매출총이익률,5.7227,0.000711,***,0.0223,소
기본 재무비율,영업이익률,16.8808,0.0,***,0.0629,중
기본 재무비율,순이익률,16.4137,0.0,***,0.0613,중
기본 재무비율,EBITDA마진,17.6532,0.0,***,0.0656,중
기본 재무비율,현금ROA,88.8144,0.0,***,0.2611,대
기본 재무비율,현금ROE,2.9388,0.032494,*,0.0116,소
기본 재무비율,매출원가율,5.5873,0.000858,***,0.0217,소
기본 재무비율,판관비율,22.6656,0.0,***,0.0827,중
기본 재무비율,감가상각비율,12.3609,0.0,***,0.0469,소
기본 재무비율,총자산회전율,13.5702,0.0,***,0.0512,소
기본 재무비율,유동자산회전율,3.9536,0.008191,**,0.0155,소
기본 재무비율,비유동자산회전율,11.0878,0.0,***,0.0423,소
기본 재무비율,유형자산회전율,6.6868,0.000186,***,0.0259,소
기본 재무비율,자기자본회전율,10.3209,1e-06,***,0.0394,소
기본 재무비율,투하자본회전율,12.5683,0.0,***,0.0476,소
기본 재무비율,매출채권회전율,0.9316,0.424881,n.s.,0.0037,소
기본 재무비율,매출채권회수기간,7.5295,5.7e-05,***,0.0291,소
기본 재무비율,재고자산회전율,1.9914,0.113839,n.s.,0.0079,소
기본 재무비율,재고자산보유기간,7.1981,9.1e-05,***,0.0278,소
기본 재무비율,매입채무회전율,2.95,0.032008,*,0.0116,소
기본 재무비율,매입채무지급기간,4.6049,0.003345,**,0.018,소
기본 재무비율,현금전환주기_CCC,0.7934,0.497726,n.s.,0.0031,소
기본 재무비율,영업CF_유동부채,58.1766,0.0,***,0.188,대
기본 재무비율,영업CF_총부채,76.2095,0.0,***,0.2327,대
기본 재무비율,FCF,8.7687,1e-05,***,0.0337,소
기본 재무비율,FCF_총자산,16.12,0.0,***,0.0603,중
기본 재무비율,매출액증가율,8.5745,1.3e-05,***,0.033,소
기본 재무비율,영업이익증가율,1.6135,0.184824,n.s.,0.0064,소
기본 재무비율,순이익증가율,5.5807,0.000866,***,0.0217,소
기본 재무비율,EBITDA증가율,3.7303,0.011115,*,0.0146,소
기본 재무비율,총자산증가율,32.4375,0.0,***,0.1143,중
기본 재무비율,유형자산증가율,19.5144,0.0,***,0.072,중
기본 재무비율,자기자본증가율,2.7846,0.039961,*,0.011,소
기본 재무비율,부채증가율,35.1483,0.0,***,0.1227,중
기본 재무비율,영업현금흐름증가율,13.5835,0.0,***,0.0513,소
기본 재무비율,FCF증가율,5.0218,0.00188,**,0.0196,소
기본 재무비율,ROA변화,0.2777,0.841546,n.s.,0.0011,소
기본 재무비율,영업이익률변화,4.9695,0.002021,**,0.0194,소
기본 재무비율,부채비율변화,6.0232,0.000468,***,0.0234,소
기본 재무비율,유동비율변화,2.0924,0.099821,n.s.,0.0083,소
