기준연도,생애주기,전체,부실,정상,부실률(%),위험점수_최종
2015,도입기,141,61,80,43.26,100.0
2015,쇠퇴기,27,11,16,40.74,86.9
2015,조정기,44,17,27,38.64,76.2
2015,성장기,114,32,82,28.07,25.7
2015,성숙기,153,34,119,22.22,0.0
2016,도입기,153,75,78,49.02,100.0
2016,쇠퇴기,36,16,20,44.44,78.0
2016,조정기,52,23,29,44.23,77.0
2016,성장기,114,37,77,32.46,24.9
2016,성숙기,175,46,129,26.29,0.0
2017,도입기,158,97,61,61.39,100.0
2017,조정기,61,26,35,42.62,36.3
2017,쇠퇴기,46,18,28,39.13,25.7
2017,성장기,117,39,78,33.33,8.9
2017,성숙기,186,56,130,30.11,0.0
2018,도입기,184,118,66,64.13,100.0
2018,조정기,64,31,33,48.44,47.5
2018,쇠퇴기,43,18,25,41.86,27.8
2018,성장기,125,46,79,36.8,13.5
2018,성숙기,192,61,131,31.77,0.0
2019,도입기,188,133,55,70.74,100.0
2019,쇠퇴기,48,26,22,54.17,51.6
2019,조정기,85,39,46,45.88,30.2
2019,성장기,117,52,65,44.44,26.7
2019,성숙기,210,69,141,32.86,0.0
2020,도입기,224,147,77,65.62,100.0
2020,쇠퇴기,66,34,32,51.52,46.9
2020,성장기,112,54,58,48.21,35.5
2020,조정기,89,42,47,47.19,32.0
2020,성숙기,191,71,120,37.17,0.0
2021,도입기,226,155,71,68.58,100.0
2021,쇠퇴기,74,37,37,50.0,30.7
2021,조정기,96,45,51,46.88,20.3
2021,성장기,130,58,72,44.62,12.9
2021,성숙기,195,79,116,40.51,0.0
2022,도입기,243,174,69,71.6,100.0
2022,쇠퇴기,70,45,25,64.29,75.5
2022,조정기,101,51,50,50.5,33.8
2022,성장기,138,62,76,44.93,18.5
2022,성숙기,220,83,137,37.73,0.0
2023,도입기,235,184,51,78.3,100.0
2023,쇠퇴기,74,46,28,62.16,56.5
2023,조정기,99,52,47,52.53,33.8
2023,성장기,127,65,62,51.18,30.8
2023,성숙기,237,86,151,36.29,0.0
2024,도입기,230,192,38,83.48,100.0
2024,쇠퇴기,75,50,25,66.67,58.3
2024,성장기,127,72,55,56.69,36.7
2024,조정기,100,54,46,54.0,31.2
2024,성숙기,240,89,151,37.08,0.0
